Gene = Selenot
index = 962
Annotated 5SS: [  238  8706  9443 11898 13685]
Annotated 3SS: [ 8594  9315 11809 13530 14058]
SMsplice 5SS: [  238  8706  9443 10169 11898 13685]
SMsplice 3SS: [ 8594  9315 10027 11809 13530 14058]
top_k =  1000
Partition function (log Z): -0.037387519301781635

Sorted 5' Splice Sites (High to Low Probability):
Position 8706: 0.9911724583670238
Position 11898: 0.9575654811325879
Position 238: 0.9199281182000055
Position 13685: 0.8887904867240852
Position 9443: 0.8075053675826731
Position 6507: 0.439929618446498
Position 10169: 0.32237698656229224
Position 9723: 0.3208876286687349
Position 10126: 0.22120059777427667
Position 10134: 0.14950988708134788
Position 5337: 0.05757296440149065
Position 2489: 0.05540473122960703
Position 681: 0.04799720796657595
Position 1994: 0.042703771488614234
Position 6446: 0.04022288409259377
Position 13072: 0.03651722110984276
Position 10194: 0.02827642362775918
Position 4980: 0.028115474599595635
Position 11328: 0.025782291687444458
Position 242: 0.02490787847689834
Position 5395: 0.017122719402979714
Position 7109: 0.013664616885624897
Position 3237: 0.012980062107020617
Position 16269: 0.010911015764429903
Position 5799: 0.010264251719529431
Position 9844: 0.010066545775424996
Position 1203: 0.009945353994434246
Position 202: 0.009195503936563824
Position 14126: 0.009168584273170112
Position 10964: 0.007734167008405774
Position 11874: 0.0077063858454053695
Position 7130: 0.00724382773005389
Position 4568: 0.006634160702679312
Position 15274: 0.005920413706601836
Position 9826: 0.004586461972651252
Position 9686: 0.004465265464130684
Position 1392: 0.004170662011959558
Position 5026: 0.003997507914111114
Position 9084: 0.003972409742815677
Position 4895: 0.0036084209394493215
Position 6909: 0.0034798590031502384
Position 358: 0.0030161305666260223
Position 15041: 0.0030109913029609655
Position 9529: 0.0029789680927509404
Position 13415: 0.0028517857356107168
Position 7994: 0.0027520060805491203
Position 7268: 0.0025486319072541277
Position 10827: 0.0025085209025680283
Position 2161: 0.002495169803155766
Position 13689: 0.0023913441081391588
Position 11922: 0.0023208518935624884
Position 5294: 0.002318209028555849
Position 5276: 0.0022026317625079158
Position 10691: 0.0022025453578185332
Position 13292: 0.002139746001296058
Position 12446: 0.001990915605974603
Position 11397: 0.0019498061755514771
Position 11556: 0.0019243394785532014
Position 5686: 0.0018859820748972282
Position 11474: 0.0018817137116937514
Position 11862: 0.001820620992162239
Position 14231: 0.0017330485615759741
Position 1200: 0.0016539482557920756
Position 7611: 0.0015729688691768703
Position 10256: 0.001539670264152244
