Gene = C130079G13Rik
index = 194
Annotated 5SS: [ 293 1746 3843 6513 7535]
Annotated 3SS: [ 1537  3619  6442  7362 10912]
SMsplice 5SS: [ 293 3843]
SMsplice 3SS: [3619 7718]
top_k =  1000
Partition function (log Z): -5.500515056804989

Sorted 5' Splice Sites (High to Low Probability):
Position 293: 0.9940890730338537
Position 3843: 0.9734562813865589
Position 7535: 0.5891659131930636
Position 6513: 0.38567296731342626
Position 7290: 0.2474687130656105
Position 2424: 0.16988755433295827
Position 7242: 0.16255664229920236
Position 2981: 0.1308139446401711
Position 1746: 0.09540747475754044
Position 3120: 0.0901775270020585
Position 1999: 0.08415826150965318
Position 3314: 0.06765534716990995
Position 3220: 0.0601155073584204
Position 1372: 0.04939803967615831
Position 6613: 0.0463702135688179
Position 6836: 0.03648946455106986
Position 6321: 0.022375756542759626
Position 6317: 0.022165566223088625
Position 10135: 0.020029908120983708
Position 3031: 0.019051935157825765
Position 6325: 0.018040016408903233
Position 3505: 0.013765291854671902
Position 3060: 0.010727413547800256
Position 2638: 0.00982049055754285
Position 4034: 0.008142797953986989
Position 75: 0.007366164225397457
Position 3027: 0.006867880717521019
Position 1727: 0.006323798050070547
Position 1076: 0.0052841204736765734
Position 856: 0.00449291917140052
Position 7542: 0.004106308920356758
Position 6671: 0.004004563491100877
Position 7224: 0.003595979091313411
Position 7506: 0.0035271010492202793
Position 6648: 0.0032313623063763824
Position 5966: 0.0027873912280195435
Position 7881: 0.002736313856269044
Position 2838: 0.002464806034833531
Position 636: 0.0017633703957220684
Position 2343: 0.0015154528168198956
Position 1801: 0.0014567273855660675
Position 2454: 0.0012229111284697486
Position 5287: 0.0012224256552497291
Position 3752: 0.001204521821072024
Position 9: 0.0011860525306092654
Position 4130: 0.001161243933212417
Position 629: 0.0010714072233917072
Position 2323: 0.0010472288858044358
Position 7853: 0.0009889671804628618
Position 3040: 0.0009728234112973557
Position 5710: 0.0009661058591314651
Position 903: 0.0009599699067292403
Position 5044: 0.0007629958880493931
Position 5048: 0.0007292239127386685
Position 5930: 0.0006955127444905082
Position 181: 0.0005087295904752569
Position 8367: 0.000499753729884684
Position 7631: 0.00044788338722397304
Position 3458: 0.0004288368953436521
Position 5040: 0.00042687415610918606
Position 1680: 0.0004044516320373131
Position 4475: 0.0003634093092826343
Position 3722: 0.00033697231201574093
Position 5036: 0.00033171770521631675
Position 3816: 0.0003078967709727077
Position 5874: 0.0003050239760467639
Position 251: 0.00028764653944168237
Position 7913: 0.00028755909779286094
Position 3800: 0.0002849474520970332
Position 2022: 0.00027842598896355895
Position 742: 0.00027090091085860916
Position 1206: 0.0002671567594530781
Position 7864: 0.0002645098083053266
Position 6329: 0.0002515709681737698
Position 3020: 0.00021930984163047267
Position 2518: 0.00020992154860434632
Position 4: 0.00020251333114006606
Position 599: 0.00017435088605869862
Position 905: 0.0001682727911219085
Position 1471: 0.00014531600313701673
Position 3847: 0.00012022562150307708
Position 2360: 0.0001103561501403998
Position 1629: 0.00010844206989736851
Position 1452: 0.00010572508748619076
Position 3224: 9.877805851074973e-05
Position 316: 9.614982857193044e-05
Position 2472: 9.563389946089545e-05
Position 2402: 8.61452905684392e-05
Position 951: 8.354288263131794e-05
Position 3093: 6.261051993685567e-05
Position 2842: 5.569416823639034e-05
Position 3008: 5.206302867601569e-05
Position 1415: 5.001919759340708e-05
Position 2753: 4.992006358881522e-05
Position 2994: 4.9630370085929754e-05
Position 14: 4.875219448304149e-05
Position 6564: 4.500496401801715e-05
Position 2999: 4.222556698051684e-05
Position 604: 3.710053394567276e-05
Position 3819: 2.8427830984746462e-05
Position 849: 2.735178936757256e-05
Position 147: 2.6823606984931112e-05
Position 1060: 2.2150856600204207e-05
