Gene = Dap3
index = 319
Annotated 5SS: [  547  7640 14266 16850 19503 19939 21019 21968 22206 23404 24143 25121]
Annotated 3SS: [ 7585 14160 16747 19393 19845 20887 21886 22046 23343 24052 25002 26500]
SMsplice 5SS: [  547 13831 14266 16850 21019 25121]
SMsplice 3SS: [13739 14160 16747 20887 25002 26500]
top_k =  1000
Partition function (log Z): -7.288200553982833

Sorted 5' Splice Sites (High to Low Probability):
Position 14266: 0.9943701747656293
Position 21019: 0.8223005598031593
Position 547: 0.7871025795274081
Position 16850: 0.7430544938201299
Position 25121: 0.685719732914029
Position 13831: 0.64684781137694
Position 22206: 0.43070959755866517
Position 19618: 0.4192990925818402
Position 7670: 0.3893035472028097
Position 26583: 0.3514081302336641
Position 21968: 0.3258323033511299
Position 19939: 0.31687411767582435
Position 299: 0.30813224482923884
Position 19503: 0.3043100197858909
Position 24525: 0.28115928222719233
Position 13935: 0.19772814968781394
Position 24821: 0.18444246106901793
Position 15532: 0.15443567027394298
Position 7640: 0.1509960725755381
Position 907: 0.09982610974344157
Position 5473: 0.08937168097563289
Position 7735: 0.0882575987854225
Position 15022: 0.0712478917757827
Position 26662: 0.06316150632754057
Position 6865: 0.05305652798541734
Position 2228: 0.050236128888182734
Position 23404: 0.04568503438447621
Position 16837: 0.04193152288665342
Position 24143: 0.04010695603853394
Position 26960: 0.03971144593790294
Position 24458: 0.03881587207485613
Position 22023: 0.033271405687119
Position 170: 0.030713656781231186
Position 9129: 0.03056649818448893
Position 21476: 0.028975808785276835
Position 29411: 0.026903668613772202
Position 502: 0.02575736359390283
Position 18116: 0.02432378721688939
Position 27736: 0.023131168496867263
Position 12229: 0.022480464662873727
Position 26638: 0.022323625699020997
Position 16252: 0.019366888567488603
Position 24442: 0.018026228770521166
Position 3597: 0.016682347486446043
Position 17431: 0.015433324826660098
Position 24857: 0.013240807751770044
Position 7411: 0.01299867368013609
Position 4927: 0.011691092837657104
Position 7141: 0.011258181207397317
Position 18894: 0.010849685415195915
Position 17127: 0.010568613405034684
Position 1246: 0.009295622806134479
Position 19487: 0.009145979171905877
Position 16050: 0.00864651517866833
Position 6554: 0.007967386261340954
Position 15591: 0.007301744490271574
Position 16900: 0.006818997064584437
Position 26422: 0.006148719179975667
Position 15262: 0.005282494708681689
Position 16517: 0.004762213830067889
Position 19192: 0.004083570662922984
Position 18081: 0.003993831448320506
Position 15026: 0.003832647104921285
Position 7163: 0.003547923651808402
Position 6732: 0.0029621036359842976
Position 25978: 0.002831028861053947
Position 22305: 0.002645134359407941
Position 14279: 0.0022016688143247152
Position 17260: 0.0019562693124112944
Position 21547: 0.0017736230568419298
Position 268: 0.0015139368485037627
Position 16243: 0.001481713791575772
Position 18510: 0.0013850925379508157
Position 7772: 0.0011654574862635888
Position 17303: 0.0008764451637387357
Position 720: 0.0005236625685054558
Position 23536: 0.0004311832338816674
Position 23540: 0.0003011548037097465
Position 22059: 0.0002367411216341006
Position 734: 0.00020541223982561692
Position 763: 0.0001696101085564411
Position 22524: 0.00013951957168893562
Position 951: 0.00011196515545310619
Position 945: 0.0001002573546644086
Position 430: 9.317069678103397e-05
Position 2873: 8.415097773876132e-05
Position 2184: 7.992547776934674e-05
Position 645: 7.899368744329547e-05
Position 728: 7.6887319280015e-05
Position 27275: 7.101548535906255e-05
Position 22: 7.064835290097028e-05
Position 478: 6.573695650175196e-05
Position 2943: 6.453673973204714e-05
Position 382: 5.3456567641321335e-05
Position 527: 5.189359256079601e-05
Position 22540: 5.037559100585041e-05
Position 4141: 4.434149800258507e-05
Position 374: 4.263676617229917e-05
Position 2854: 4.142488048660198e-05
Position 1058: 3.994598368609155e-05
Position 4169: 3.978855313672627e-05
Position 892: 3.733259682061399e-05
Position 1156: 3.518302177143718e-05
Position 4360: 3.389151353343743e-05
Position 512: 3.320013184362673e-05
Position 2559: 3.241194538949983e-05
Position 1973: 3.186468521051077e-05
Position 4294: 2.7644542635475316e-05
Position 4174: 2.6536091203459625e-05
Position 1309: 2.6341500949425307e-05
Position 506: 2.1766979208868766e-05
Position 4136: 2.028331434061839e-05
