Gene = Cox5a
index = 292
Annotated 5SS: [  137  7794  9084 10514]
Annotated 3SS: [ 7676  8961 10389 11002]
SMsplice 5SS: [  137  7794  9084 10514]
SMsplice 3SS: [ 7676  8961 10389 11002]
top_k =  1000
Partition function (log Z): 0.5008524877687173

Sorted 5' Splice Sites (High to Low Probability):
Position 7794: 0.9961989141298202
Position 137: 0.9389113675769237
Position 9084: 0.87417203735265
Position 10514: 0.8296809023189695
Position 8879: 0.5830605746970594
Position 3301: 0.37760273052226534
Position 497: 0.21914794569006601
Position 8696: 0.20699041723985195
Position 8221: 0.1957407159867981
Position 10923: 0.11402108636540782
Position 8499: 0.10351178913788665
Position 4531: 0.07564965592143287
Position 360: 0.06370605265528884
Position 5517: 0.05354978795848132
Position 8273: 0.02466890076869091
Position 8278: 0.023602735142415072
Position 142: 0.023213316950374402
Position 635: 0.02142979437443716
Position 2888: 0.016464067568941518
Position 5697: 0.015295615430882925
Position 9038: 0.014746725195509788
Position 4570: 0.013935339029482198
Position 10314: 0.013336513115239267
Position 6829: 0.011346063722685247
Position 8929: 0.009711480432589667
Position 2664: 0.009221194156521242
Position 9075: 0.009208960473748723
Position 10898: 0.008758751853379753
Position 1038: 0.007642502113620736
Position 10666: 0.007252382823640568
Position 1074: 0.006689830452604304
Position 534: 0.005113911384035146
Position 4959: 0.00479020448141682
Position 6415: 0.004601098731244625
Position 10889: 0.004074040202127985
Position 9698: 0.003634213829167187
Position 5378: 0.0035876020590991436
Position 4307: 0.003422981820763917
Position 9122: 0.003044660298730323
Position 10879: 0.0027642590719521493
Position 9947: 0.0027332462001844033
Position 8764: 0.0024533197482403393
Position 9320: 0.0022286995689233743
Position 8080: 0.0021025012081768665
Position 7350: 0.001955470342890663
Position 1749: 0.0019113473731878323
Position 6610: 0.001911014058802396
Position 6659: 0.0019004446306982452
Position 1585: 0.001880283708363853
Position 8423: 0.0017990380853883557
Position 8687: 0.0017427489865755178
Position 9107: 0.0017302656709206683
Position 1405: 0.0016860859776514918
Position 719: 0.0015278583941171282
Position 3061: 0.0014221089387189726
Position 6843: 0.0013764368759419622
Position 2635: 0.0012720717464982123
Position 9953: 0.0012066915470880905
Position 8849: 0.0009768304980316913
Position 2713: 0.0009729414595298286
Position 10536: 0.000948500961426108
Position 1651: 0.0009406582335517507
Position 8269: 0.0009315210107147845
Position 10334: 0.0008454058790258068
Position 10911: 0.0007889338464429539
Position 10864: 0.0006412198054938095
Position 10105: 0.0006341314551336203
Position 10560: 0.0006136071755419984
Position 10847: 0.0005716596878606427
Position 7788: 0.0005400121279284828
Position 7811: 0.0005342788815922608
Position 297: 0.000529021284628309
Position 8523: 0.0005234240133614666
Position 271: 0.0004582599627293349
Position 8742: 0.0003653768219201316
Position 10500: 0.00034662094964257406
Position 1007: 0.00026263563475660047
Position 8512: 0.00025263543960325356
Position 9887: 0.000249923580428784
Position 7951: 0.000242026433755467
Position 262: 0.00023499168654473465
Position 10836: 0.0001842024493511834
Position 10129: 0.00015325699612448468
Position 1846: 0.00014426117342091795
Position 8475: 0.00013847584612891128
Position 2704: 0.00012162180642155098
Position 4137: 0.00011867464298739583
Position 10623: 9.46948898184953e-05
Position 780: 9.332612461753147e-05
Position 8292: 9.077049483202415e-05
Position 4064: 8.85977447237667e-05
Position 562: 7.838969808141252e-05
Position 2165: 7.416794661574348e-05
Position 9088: 6.470901284694023e-05
Position 9769: 6.225832738870501e-05
Position 3145: 3.59615097403639e-05
Position 7883: 3.54780228951045e-05
Position 355: 2.961904804004155e-05
Position 8485: 2.707425265547903e-05
Position 10594: 2.5873973357517594e-05
Position 10642: 2.4040049421499364e-05
Position 2710: 1.7768826749519478e-05
Position 74: 1.208351456565348e-05
Position 7974: 1.1551922718845822e-05
Position 3105: 1.1414920330761012e-05
Position 170: 1.1089070316517291e-05
Position 275: 9.368452566697592e-06
Position 3719: 7.1932904720420395e-06
Position 292: 6.82465781935953e-06
Position 656: 3.919443300636064e-06
Position 181: 2.9265827225107052e-06
Position 30: 2.9013441216880588e-06
Position 1619: 1.8324149975464113e-06
Position 378: 1.7485823096599598e-06
Position 880: 1.506780867770244e-06
Position 1641: 1.023413989502118e-06
Position 172: 9.401938031330013e-07
Position 700: 8.0270965276511e-07
Position 362: 7.462422500586529e-07
Position 68: 7.457168290630883e-07
Position 806: 7.106211790444826e-07
Position 364: 6.945846880423047e-07
Position 804: 5.189452840804759e-07
Position 645: 4.32439144114391e-07
Position 766: 2.9602075295676305e-07
Position 421: 2.8957361271480877e-07
Position 40: 2.563356269747168e-07
Position 46: 2.543141178645332e-07
Position 285: 2.403749663087093e-07
Position 16: 2.1006536235184924e-07
Position 679: 1.5077897202758393e-07
Position 705: 1.4766781708761438e-07
Position 410: 1.0314810440124119e-07
Position 1208: 5.511197300885399e-08
Position 1376: 5.313451315266889e-08
Position 827: 4.607982744715452e-08
Position 463: 3.5184616524266335e-08
Position 37: 2.124566512933659e-08
Position 295: 4.488381709778619e-09
Position 427: 2.5389243994210872e-09
Position 616: 3.924786446106588e-11
Position 618: 1.7710103289727074e-11
Position 2012: 8.081819475205175e-12
Position 1954: 5.057340940746461e-12
Position 1931: 4.63393506575408e-12
Position 1526: 4.580164691598291e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7676: 0.9971939195798687
Position 8961: 0.8896946034451663
Position 11002: 0.8126899050396459
Position 10389: 0.5133346450656638
Position 8805: 0.375438834306464
Position 3043: 0.2340591012237999
Position 10787: 0.21216417391434592
Position 8607: 0.1896891135460324
Position 448: 0.17761682250681338
Position 10369: 0.16298600136715108
Position 10256: 0.12483100034020911
Position 8778: 0.10725320469172168
Position 8041: 0.10183523306412144
Position 8156: 0.08719381067932838
Position 8629: 0.07116510861469481
Position 10434: 0.06241283319677715
Position 8382: 0.061994485969911424
Position 4226: 0.05695107078858243
Position 8021: 0.04060838821024422
Position 8356: 0.03790922622038054
Position 410: 0.03790204251105629
Position 5430: 0.030179781153613493
Position 4377: 0.02864605283540686
Position 10588: 0.026247279512795204
Position 8687: 0.026149215451467575
Position 8732: 0.02136281665673335
Position 5267: 0.020869865720107416
Position 213: 0.017001420524559198
Position 3236: 0.01695361511105385
Position 6562: 0.01653395928812785
Position 3266: 0.01569909275666579
Position 2795: 0.015016056486716441
Position 8129: 0.014828020010757904
Position 10757: 0.014814196125645886
Position 3087: 0.014087555718197383
Position 920: 0.013877367279168997
Position 3212: 0.013389940587481644
Position 2553: 0.012646967156201304
Position 3185: 0.012290148510654589
Position 3128: 0.01217205611961822
Position 271: 0.011723301170394251
Position 5591: 0.011002300992222453
