Gene = Pgam5
index = 812
Annotated 5SS: [ 236 2801 3977 4148 4376]
Annotated 3SS: [2621 3850 4058 4244 9449]
SMsplice 5SS: [ 236 3977 4148 4376]
SMsplice 3SS: [3850 4058 4241 9449]
top_k =  1000
Partition function (log Z): -1.8015085258216197

Sorted 5' Splice Sites (High to Low Probability):
Position 4376: 0.9612494984711065
Position 3977: 0.9291139360903442
Position 236: 0.9234100554331963
Position 4148: 0.7654888956181667
Position 2801: 0.6368825472102977
Position 2974: 0.36052663652027894
Position 2962: 0.11647770570637367
Position 6593: 0.07298665880572182
Position 8854: 0.0724536495137532
Position 7946: 0.07089531418917856
Position 3801: 0.05932922240653154
Position 698: 0.0518428546169031
Position 251: 0.04058919020264769
Position 7749: 0.03934963235606171
Position 1330: 0.037545001503780845
Position 6947: 0.03663372488138391
Position 1113: 0.035372472885622244
Position 2814: 0.033321829024791444
Position 654: 0.0314212459214283
Position 9517: 0.0253315922100792
Position 4095: 0.025267432642348358
Position 5629: 0.019045748541429448
Position 9594: 0.011764061004375602
Position 129: 0.010981830604672787
Position 4849: 0.010796918993223976
Position 6317: 0.009734501831977315
Position 3851: 0.009318722632047055
Position 9145: 0.009271369689703157
Position 3182: 0.008786924604169114
Position 3742: 0.00778124760951774
Position 2966: 0.007284694352263599
Position 4372: 0.006697807174108633
Position 8708: 0.006175097223758331
Position 9567: 0.005566321524162406
Position 8764: 0.005501667842318119
Position 4521: 0.005067234332338753
Position 572: 0.004722257913237016
Position 483: 0.004675239543183548
Position 9473: 0.004646345424238934
Position 9533: 0.004191248172746913
Position 2516: 0.00396943472847479
Position 2826: 0.00388524415980531
Position 1818: 0.0032462036180594955
Position 3835: 0.0031170689785651193
Position 9953: 0.0030275099972595985
Position 3151: 0.00273524471716603
Position 8639: 0.00256574721619024
Position 999: 0.0025200376973486985
Position 334: 0.002403204921807467
Position 8459: 0.0017289515502296204
Position 302: 0.0017236512791914047
Position 3158: 0.0016511146737454784
Position 5117: 0.0015644838019942058
Position 31: 0.0015412865910912343
Position 3747: 0.001528024375334792
Position 9811: 0.0015207455285242844
Position 663: 0.001293410426633059
Position 4771: 0.001284408091980987
Position 1087: 0.0012676681433186877
Position 3172: 0.001260820009100434
Position 145: 0.0011776861195184815
Position 8933: 0.0010664362609867192
Position 2751: 0.0010193848843796157
Position 4404: 0.0009595310032012044
Position 2397: 0.0009199531802855447
Position 7343: 0.0007482626463663519
Position 4434: 0.0006880233553390098
Position 9383: 0.000649508710953154
