Gene = Mei4
index = 669
Annotated 5SS: [   248  26698  63964 115588]
Annotated 3SS: [ 26451  63427 115455 161848]
SMsplice 5SS: [   248   5975   9706  28003  35701  63964  71823  86908  90806 101676
 115588 133356 144540 145496 153283 160244]
SMsplice 3SS: [  5842   9608  27908  35565  63427  71733  86733  90647 101451 115482
 133259 144407 145331 153117 160166 161848]
top_k =  1000
Partition function (log Z): -95.4610570008967

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.9135762827776949
Position 5975: 0.7749574008572885
Position 9706: 0.4196552392663674
Position 1882: 0.26648279595695257
Position 6202: 0.22418940646222021
Position 11802: 0.1595015159280705
Position 6216: 0.12794533331650415
Position 6186: 0.09762668585224608
Position 12361: 0.08067636541275336
Position 6440: 0.06389439557107301
Position 8396: 0.05732880230011135
Position 4261: 0.046670828261945047
Position 13156: 0.04393213974669008
Position 208: 0.042505234940208185
Position 8552: 0.03049513016155603
Position 1736: 0.028329980551164487
Position 4277: 0.02744210877830641
Position 9259: 0.02135199098742459
Position 6048: 0.01985144818047292
Position 1055: 0.01756786583919399
Position 8356: 0.016156791121801062
Position 9482: 0.012083606774309353
Position 1732: 0.008983166976275382
Position 572: 0.008750267110296278
Position 2415: 0.008459190783945848
Position 3426: 0.008298026452491314
Position 528: 0.007057128367044273
Position 677: 0.006589563189776055
Position 9447: 0.006092901887072769
Position 12517: 0.005843757695819769
Position 688: 0.005795039786412677
Position 293: 0.005420353683721815
Position 5516: 0.004877354909080734
Position 8457: 0.00470469938467399
Position 11395: 0.004345765559452758
Position 5308: 0.003969953575343616
Position 3256: 0.0030651971520158443
Position 7039: 0.0024890645805603793
Position 563: 0.0023784084826920203
Position 4754: 0.001917183724693266
Position 610: 0.001909842419587312
Position 6524: 0.0018786559264047623
Position 8598: 0.001603211947720806
Position 683: 0.0015222950735345076
Position 2977: 0.00132972223281775
Position 347: 0.001314434492377661
Position 4759: 0.0010994817622315392
Position 3520: 0.00086856297696599
Position 395: 0.0008536909937654176
