Gene = Rab3gap1
index = 880
Annotated 5SS: [   57   208  5383 20516 22324 32926 35065 41178 46948 49517 50869 56048
 56669 58777 59349 61672 62306 65782 68793 69313 69529 69918 70376]
Annotated 3SS: [  151  5306 20382 22244 32805 34898 41077 46865 49447 50794 55954 56501
 58686 59175 61616 61933 65643 68564 69215 69424 69801 70272 73600]
SMsplice 5SS: [   57   208   772  5383 20516 22324 35065 41178 46948 56048 56258 56669
 58777 61672 62306 65782 68793 69300 69529 69918 70376]
SMsplice 3SS: [  151   676  5306 20382 22244 34898 41077 46865 55954 56185 56533 58686
 61616 61933 65643 68564 69215 69456 69801 70272 73600]
top_k =  1000
Partition function (log Z): -38.97887730152304

Sorted 5' Splice Sites (High to Low Probability):
Position 5383: 0.9877797794860643
Position 57: 0.8927679857752734
Position 772: 0.6459314071803506
Position 208: 0.6162601171251781
Position 8662: 0.6065317184275637
Position 20516: 0.5263222414875517
Position 17774: 0.40958583363350437
Position 22324: 0.39721293494404764
Position 17666: 0.3371045703446227
Position 346: 0.33177002600767946
Position 11000: 0.2546852838860409
Position 10551: 0.23272134444807277
Position 7800: 0.08736722259043449
Position 2647: 0.06897803381403425
Position 4525: 0.06396356091720828
Position 1920: 0.05297244490964865
Position 3376: 0.05292599437521632
Position 1927: 0.046811033769712
Position 255: 0.04410283524535598
Position 2661: 0.041853527604005444
Position 3710: 0.03689438275896163
Position 1698: 0.03468635680149943
Position 3908: 0.026743763030209138
Position 4179: 0.017625592015503573
Position 9163: 0.016996787133853695
Position 10359: 0.014301008371312027
Position 1893: 0.011389462922685797
Position 4920: 0.009834719213180517
Position 2991: 0.00948341839030636
Position 2229: 0.009254466431496113
Position 1287: 0.008486844706911129
Position 2330: 0.007344932795975745
Position 3292: 0.006537911330651154
Position 1364: 0.005968608833702513
Position 947: 0.005167104164082222
Position 9750: 0.0051102119093595685
Position 52: 0.004560538190385975
Position 8162: 0.0038404224832369986
Position 638: 0.003773709058916552
Position 4474: 0.0037193183700189535
Position 9579: 0.0034881901797918155
Position 1779: 0.0034817320765634444
Position 4470: 0.0033963528572190423
Position 1059: 0.003152106078507229
Position 10715: 0.002921138225620792
Position 10168: 0.002912254700871511
Position 2423: 0.002828478858420145
Position 4530: 0.0023658036196978044
Position 12583: 0.002355662104993928
Position 1688: 0.002090470722500428
Position 2638: 0.0020161873933777635
Position 817: 0.0017124681501610984
Position 1572: 0.001531819818333367
Position 3691: 0.0013465312317568212
Position 4513: 0.0010394477718123705
Position 788: 0.0009937528569651753
Position 2720: 0.0009586262508197544
Position 943: 0.0008625464695889846
Position 431: 0.0007942492352160753
Position 2212: 0.0006751235801285293
Position 381: 0.0006100072171501409
Position 5400: 0.0005949654979215679
Position 1591: 0.0005803281419949129
Position 2604: 0.0005107482084955605
Position 105: 0.0004989141717182
