Gene = Cfap300
index = 256
Annotated 5SS: [  154   415  5364 15723 16862 18924]
Annotated 3SS: [  332  5287 15555 16688 18856 20278]
SMsplice 5SS: [  195   415  5364 15723 16862]
SMsplice 3SS: [  332  5287 15555 16688 20278]
top_k =  1000
Partition function (log Z): -8.512686476845273

Sorted 5' Splice Sites (High to Low Probability):
Position 5364: 0.9715192854626182
Position 195: 0.7656708744276052
Position 415: 0.7537514265919004
Position 16862: 0.7273380744453422
Position 15723: 0.6733468205026911
Position 2422: 0.2902273975125045
Position 16857: 0.22401144413160293
Position 154: 0.17602551921274603
Position 18924: 0.16906453216521433
Position 419: 0.13870503908382298
Position 7424: 0.10640385303820342
Position 9356: 0.10558272176962448
Position 4614: 0.09086126740222689
Position 15985: 0.07447864177368298
Position 199: 0.042367599553805924
Position 1438: 0.03687024732008129
Position 1135: 0.024961218611403362
Position 1131: 0.014330193964991423
Position 4870: 0.014302290035802209
Position 3853: 0.01385730447258715
Position 694: 0.011380625939269041
Position 17418: 0.009838910649952385
Position 19698: 0.007779424545593553
Position 2158: 0.007020741340030333
Position 9004: 0.0057905855316777435
Position 7025: 0.005661942476390733
Position 16889: 0.005498350525757659
Position 1066: 0.005010585192394845
Position 4908: 0.004673590312180828
Position 1893: 0.004571466695892273
Position 8842: 0.004460510590202136
Position 515: 0.003571354134508588
Position 3320: 0.003206919939900028
Position 1359: 0.002813756438744738
Position 9103: 0.0026370771469846686
Position 3135: 0.0022272075157212887
Position 3388: 0.0022261199759957134
Position 2589: 0.001882367801353029
Position 625: 0.0018683983660306356
Position 753: 0.001830385020420376
Position 5064: 0.0017940458230011462
Position 8053: 0.0017892337011192747
Position 4893: 0.0014997315071518264
Position 747: 0.0013610699435577904
Position 1516: 0.0010829006106497015
Position 4589: 0.0010581297849695775
Position 1675: 0.0009790112290562212
Position 779: 0.0009759289303840922
Position 4960: 0.0009659450719722617
Position 3000: 0.0009102370868015368
Position 4366: 0.0006621078330709861
Position 174: 0.0006342312169590803
Position 5012: 0.0005073713709044718
Position 259: 0.0004982961942537961
Position 4315: 0.00044024082441265614
Position 698: 0.0004142740264366723
Position 247: 0.0003602333090727081
Position 253: 0.0003267785835192201
Position 989: 0.00030662008481810454
Position 3750: 0.00026851174788722934
Position 4337: 0.0002479392797528951
Position 1609: 0.00024498574302564267
Position 3359: 0.00024298497485142985
Position 650: 0.00023222791990041493
Position 7237: 0.00022612801653322512
Position 4572: 0.0002155452002983383
Position 724: 0.00019927952756192068
Position 226: 8.247415368306487e-05
Position 9889: 6.293988168228487e-05
