Gene = Adpgk
index = 101
Annotated 5SS: [  309  6194 11994 18791 21679 22294]
Annotated 3SS: [ 5967 11930 18669 21481 22194 23172]
SMsplice 5SS: [  309  6194 11994 18791 19261]
SMsplice 3SS: [ 5967 11930 18669 19180 22194]
top_k =  1000
Partition function (log Z): -5.700701520242076

Sorted 5' Splice Sites (High to Low Probability):
Position 18791: 0.9268298980878328
Position 309: 0.9112269907818212
Position 11994: 0.9046933109995333
Position 22294: 0.764380913598956
Position 6194: 0.7293434115235213
Position 19261: 0.7014562151708015
Position 21679: 0.3568907684352469
Position 9592: 0.27942885028451653
Position 6928: 0.2645446402594698
Position 16774: 0.2588093904103385
Position 6241: 0.2569532674962593
Position 17028: 0.22232717684056277
Position 8713: 0.17884906400383782
Position 19826: 0.15898522537703494
Position 2133: 0.13650528900545197
Position 9581: 0.12268586085523367
Position 9612: 0.09425071949501282
Position 3554: 0.08652411058831287
Position 9653: 0.08266674589339881
Position 21399: 0.08074527439056818
Position 1364: 0.08068648691159898
Position 16726: 0.07090667065510442
Position 1098: 0.06616783876736992
Position 18808: 0.06433302681647918
Position 19278: 0.04977191030476575
Position 5149: 0.04404840057205419
Position 2138: 0.03303116283665877
Position 13201: 0.030181495118186994
Position 4715: 0.029760014854775235
Position 20774: 0.028727286059510845
Position 23907: 0.0270630483456884
Position 3401: 0.02581437538275526
Position 4437: 0.02509051132519944
Position 22080: 0.024332329214612015
Position 58: 0.02387709577869567
Position 12313: 0.02123740052489421
Position 20858: 0.021080928974550196
Position 66: 0.017774381069030773
Position 22714: 0.017133186941330165
Position 3937: 0.016879384771433407
Position 854: 0.015207812775563781
Position 3414: 0.014211178488948666
Position 21571: 0.013058677688315336
Position 483: 0.01219037622672775
Position 3366: 0.010451630972455085
Position 20173: 0.01040533246767463
Position 5199: 0.0103587585346078
Position 427: 0.009432518172822996
Position 23296: 0.008489086454942446
Position 4801: 0.008255502064894999
Position 13811: 0.008077692755299666
Position 609: 0.007676112104331539
Position 4207: 0.007286429916183872
Position 4336: 0.006566211384777936
Position 1406: 0.005374242949729499
Position 3498: 0.0052769808748616845
Position 20833: 0.00496583139487825
Position 3779: 0.004572976324503545
Position 3734: 0.004384810198929096
Position 1933: 0.004178973869700544
Position 5620: 0.003848907276845298
Position 5127: 0.0036045815288527315
Position 19311: 0.0034013355247060305
Position 3418: 0.003359807560881974
Position 3671: 0.003169250336513439
Position 18853: 0.0031535189210214047
Position 1521: 0.0024693555619699726
Position 19268: 0.002115896700663006
Position 5502: 0.0020365721847072273
Position 19325: 0.0019778203965729116
Position 20795: 0.0019434872575021603
Position 23797: 0.0017927599921469264
Position 833: 0.0017919308826726858
Position 5511: 0.0017323741456364517
Position 902: 0.0017323060147858406
Position 4756: 0.001613442583914367
Position 19739: 0.0015202917785786727
Position 1332: 0.0014790881252323138
Position 22892: 0.0013704069135179768
Position 8261: 0.0011276602041617315
Position 18835: 0.0010259132331641512
Position 7259: 0.000989889240097014
Position 22926: 0.0008308179331989563
Position 21788: 0.0007759339774806551
Position 355: 0.0007195896004508137
Position 19437: 0.0007193762845076116
Position 19314: 0.0005758720011048161
Position 22655: 0.0004640814539370824
Position 6597: 0.0004352215843674297
Position 6607: 0.00042120048066709867
Position 22327: 0.00035597873759321975
Position 371: 0.0003381531379615295
Position 21116: 0.0002210388384144334
Position 652: 0.0002194399175038873
Position 703: 0.00021208089970787565
Position 499: 0.0002083522904129039
Position 387: 0.0001552081434536668
Position 561: 0.00014949109478869973
Position 99: 0.00014155511381302592
Position 4014: 0.00011990299661643982
Position 870: 0.00010518810100734547
Position 1013: 9.979431551983434e-05
Position 12451: 7.862516428508644e-05
Position 12679: 5.608703343274809e-05
Position 997: 4.470964321575732e-05
Position 464: 4.048273244891969e-05
Position 2914: 3.935249985770599e-05
Position 4135: 3.919265363111182e-05
Position 20308: 1.9255179194718144e-05
Position 3473: 1.5441501179960953e-05
Position 1915: 1.5171603545919945e-05
Position 2396: 1.3332640737472615e-05
Position 2611: 1.2865687338600322e-05
Position 217: 9.045541355032963e-06
Position 298: 8.716465354266298e-06
Position 754: 8.48222953974427e-06
Position 313: 8.096700517424602e-06
Position 549: 7.284431071640168e-06
Position 211: 6.174508538817435e-06
Position 3769: 5.8709797816107264e-06
Position 124: 5.670908096754782e-06
Position 839: 4.667139514184478e-06
Position 942: 4.4881399404663966e-06
Position 416: 4.471937682952673e-06
Position 790: 4.314363621257027e-06
Position 48: 3.618725948629901e-06
Position 228: 3.5629588182467038e-06
Position 418: 3.4881389092217766e-06
Position 304: 3.081207235059904e-06
Position 446: 2.601740533815111e-06
Position 7025: 2.2329647419539115e-06
Position 70: 1.0720761732714566e-06
Position 390: 8.729607687006922e-07
Position 68: 7.823109588246659e-07
Position 398: 6.483496701800876e-07
Position 133: 5.043895555898346e-07
Position 674: 4.800328517058725e-07
Position 135: 3.797488920813609e-07
Position 621: 2.975548301554774e-07
Position 569: 2.734753853419696e-07
Position 601: 2.267031984491077e-07
Position 576: 1.1552877183444747e-07
Position 84: 1.1127096915318775e-07
Position 684: 9.339582569967249e-08
Position 695: 7.552269105069405e-08
Position 392: 4.226715042738357e-08
Position 542: 1.1180392621805226e-08
Position 572: 9.616237197022713e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 18669: 0.9900222658992877
Position 11930: 0.9023849889670776
Position 22194: 0.8959599939301106
Position 19180: 0.7801257755213827
Position 5967: 0.6874822679914964
Position 9493: 0.3253644087155868
Position 9465: 0.2536677678125751
Position 21481: 0.2399374678132529
Position 16898: 0.22232717684056277
Position 6016: 0.1806393983361039
Position 16591: 0.17137419206863672
Position 21309: 0.13285874122165683
Position 16534: 0.12822106766772348
Position 3320: 0.12401740328886673
Position 23998: 0.1220419274958815
Position 8555: 0.1214205885097574
Position 5939: 0.11641836531282522
Position 19731: 0.10818497995016704
Position 6815: 0.0964780500697855
Position 21353: 0.08404288655725986
Position 24245: 0.08233809117120122
Position 22997: 0.07770164512703827
Position 2014: 0.07534656333277176
Position 22601: 0.06279892949014845
Position 5040: 0.05801176577959009
Position 23692: 0.05619465866411233
Position 24063: 0.05491333502637467
Position 8405: 0.05285381443420496
Position 22363: 0.05117009490123418
Position 6770: 0.04563794523088155
Position 23078: 0.04336855787988477
Position 6839: 0.04050414171394564
Position 23665: 0.03739108946345074
Position 2039: 0.03425942578113061
Position 20532: 0.031851707547438886
Position 16717: 0.030120801329082684
Position 21937: 0.030092917365262085
Position 1254: 0.029836660482861946
Position 23366: 0.028866471715771225
Position 13073: 0.028352390580155293
Position 1984: 0.028344443763492235
Position 6786: 0.027833507992599142
Position 23972: 0.026441828602963964
Position 20702: 0.02631650392437593
Position 6801: 0.026052785582440594
Position 23175: 0.025416743615298398
Position 4226: 0.021622119220877364
Position 4553: 0.020919054060126376
Position 681: 0.020861868504963188
Position 24190: 0.01870020505780315
Position 23099: 0.01817397594240478
Position 3255: 0.017543744954017084
Position 19617: 0.016851756020884522
Position 2011: 0.016795879302949655
Position 19698: 0.016647801279714367
Position 1206: 0.01652127381568654
Position 12177: 0.015251539793756508
Position 1225: 0.014196226467349873
Position 4535: 0.014115573026238431
Position 6690: 0.013092888409632658
Position 23326: 0.01246804630291207
Position 24372: 0.011942677372918233
Position 24138: 0.011442761187307757
Position 1210: 0.011020435166696648
Position 3552: 0.010824334322852049
Position 4076: 0.009992169303680434
Position 24176: 0.009573168971792483
Position 21584: 0.00933247476521449
Position 23214: 0.009265732111328941
Position 1838: 0.008960034230150446
Position 23172: 0.008883074211682019
Position 1173: 0.008672396146686754
Position 22929: 0.00848224714783304
Position 584: 0.00843482791428026
Position 22234: 0.008408494743824602
Position 3712: 0.00826213816654998
Position 5375: 0.007617853607188975
Position 20247: 0.007609630129130044
Position 20631: 0.00740165540752632
Position 759: 0.007367364885739432
Position 23231: 0.007127933010721354
Position 23707: 0.007106871770421034
Position 6820: 0.007072689295076252
Position 24119: 0.00703496056118704
Position 21505: 0.0069482298327720885
Position 21269: 0.006796837799791449
Position 19738: 0.006699839646080294
Position 1012: 0.006350368549083518
Position 1076: 0.005903346976819305
Position 22702: 0.005475227089773068
Position 795: 0.005383649999678033
Position 12207: 0.0048955404424575934
Position 970: 0.004766500593612968
Position 6473: 0.004727184792304582
Position 8462: 0.004574661059875499
Position 18739: 0.004471988590452804
Position 23647: 0.00441106562890726
Position 13674: 0.004309622962736956
Position 20773: 0.0042076604448548684
Position 6873: 0.003912793334747722
Position 3828: 0.00389348894297479
Position 24302: 0.003877664908757279
Position 13401: 0.003773593929225639
Position 1936: 0.003645521389778123
Position 24146: 0.003644595377022584
Position 20047: 0.0035597466441134058
Position 2110: 0.0034271813574762097
Position 4305: 0.0033822277095483097
Position 638: 0.0033252318346194813
Position 19416: 0.0033057464735779473
Position 23561: 0.0032128842994051687
Position 23235: 0.003024115256583581
Position 24196: 0.0028670219071777877
Position 22466: 0.0026837001511200646
Position 3414: 0.002451939929152313
Position 897: 0.0024238163210374584
Position 4170: 0.0023594416035069236
Position 11671: 0.0023083220324557523
Position 20076: 0.002236487089075829
Position 19956: 0.0021466183678495194
Position 18981: 0.002127826051921282
Position 3864: 0.002077920421039203
Position 3872: 0.002063426900727073
Position 930: 0.0019201512688736787
Position 19150: 0.0018787219948407418
Position 20073: 0.0018609058765958575
Position 24406: 0.0018434779191090524
Position 13115: 0.0018291045380317097
Position 21326: 0.0017770581938936622
Position 5969: 0.0017567282489313522
Position 1230: 0.0017160268308654167
Position 19794: 0.0016968115952835775
Position 458: 0.0016522733602547161
Position 1278: 0.0016421564632946482
Position 4746: 0.0016190921744646287
Position 942: 0.001595123245269246
Position 608: 0.0015930349107275968
Position 4701: 0.0015652449731816869
Position 22856: 0.0014274873013593893
Position 4755: 0.0013916879682443221
Position 3295: 0.0013910383214858777
Position 19454: 0.0013488276107509387
Position 19508: 0.0013445883286624038
Position 23485: 0.0013401632369788009
Position 20044: 0.0013275864861602984
Position 19120: 0.0012822193085204891
Position 19553: 0.0011359842101458287
Position 12250: 0.0010903202886801116
Position 1871: 0.0010199719067427232
Position 3844: 0.000980669516602024
Position 1259: 0.0009536755357352534
Position 7092: 0.0009157058166440387
Position 1795: 0.0008989698674855414
Position 8211: 0.000876640994320391
Position 4330: 0.000863062245485434
Position 19772: 0.0008580538283329299
Position 24595: 0.0007716140244406321
Position 1432: 0.000760018869325573
Position 4377: 0.0007111595632879104
Position 18477: 0.0007095715898449221
Position 19861: 0.000587227152519601
Position 22409: 0.0005793778668839783
Position 946: 0.0005771235142506262
Position 22373: 0.0005238153745755513
Position 3324: 0.00048181663252722063
Position 19636: 0.00047293923354134633
Position 853: 0.00042307243254464965
Position 1933: 0.0004203041007126007
Position 3222: 0.0003990662343557003
Position 1429: 0.00039663804797853054
Position 3167: 0.00033174007956509254
Position 19596: 0.00027894050110291636
Position 23300: 0.00027736778494908033
Position 19569: 0.0002668527570028723
Position 20487: 0.0002637540289286616
Position 7897: 0.00025101920984133935
Position 1682: 0.00022770200883504254
Position 1628: 0.00019662259770332493
Position 1363: 0.00018176857435547592
Position 22539: 0.00017938631703235848
Position 18454: 0.00017487640095095362
Position 710: 0.00016865669720441022
Position 1284: 0.00014858965060700186
Position 22786: 0.0001201353308191931
Position 147: 0.00011248381241395296
Position 20905: 9.931972617423847e-05
Position 560: 9.617070350085118e-05
Position 661: 9.213982090527794e-05
Position 6391: 9.054745729935515e-05
Position 22028: 8.710257807347133e-05
Position 153: 8.318576222481705e-05
Position 12373: 7.862516428508643e-05
Position 7005: 7.514290232007586e-05
Position 22603: 6.901688863434535e-05
Position 1331: 6.504938641213353e-05
Position 12556: 5.608703343274809e-05
Position 870: 5.443489309507365e-05
Position 4292: 5.218224530035629e-05
Position 772: 5.145427623861208e-05
Position 1811: 5.047682329262159e-05
Position 1178: 4.933622023699002e-05
Position 19024: 4.836890902714897e-05
Position 239: 4.7625212900144236e-05
Position 416: 4.39158545950783e-05
Position 1017: 4.0184806366032615e-05
Position 19195: 3.8657250147479613e-05
Position 19529: 3.656331758258318e-05
Position 276: 3.032606847040137e-05
Position 211: 2.995046850034529e-05
Position 2774: 2.6931439962793428e-05
Position 3451: 2.56030216139565e-05
Position 3915: 1.8840528681683768e-05
Position 185: 1.8724553018445086e-05
Position 4506: 1.830730132917028e-05
Position 237: 1.72925388729555e-05
Position 724: 1.645589016495057e-05
Position 3355: 1.5394737222820438e-05
Position 1717: 1.470042114217457e-05
Position 833: 1.3535315334768978e-05
Position 2480: 1.286568733860032e-05
Position 20050: 1.2685113093712615e-05
Position 2745: 1.242105989491258e-05
