Gene = Slc35f6
index = 981
Annotated 5SS: [ 166 6888 7734 8168 8925]
Annotated 3SS: [6814 7561 7954 8813 9443]
SMsplice 5SS: [ 166 1480 6888 7734 8168 8925]
SMsplice 3SS: [1397 6814 7561 8017 8813 9443]
top_k =  1000
Partition function (log Z): -0.38167192873925604

Sorted 5' Splice Sites (High to Low Probability):
Position 6888: 0.9264348955632646
Position 166: 0.8232274162842875
Position 7734: 0.7001951338921621
Position 8168: 0.6806483549240513
Position 8925: 0.6121058283912543
Position 1480: 0.6056612986358537
Position 7738: 0.20345563427186306
Position 5730: 0.16826210194853494
Position 5048: 0.15200248356736518
Position 204: 0.1382042262078594
Position 5126: 0.13494584461189105
Position 1798: 0.1195303931804771
Position 3446: 0.10977806641510815
Position 310: 0.1049799374487432
Position 4279: 0.08291472110165757
Position 7726: 0.07599855261329251
Position 7459: 0.055428760179019675
Position 1475: 0.047920058438565685
Position 952: 0.03316940428280527
Position 7137: 0.03264443503811752
Position 974: 0.030133587269473745
Position 7857: 0.029045757775296843
Position 8814: 0.026744051985064098
Position 3161: 0.02609877353474408
Position 6815: 0.024550271615076624
Position 9563: 0.0225275023389254
Position 9968: 0.020581215184739616
Position 4976: 0.019884481760380206
Position 544: 0.01862236872754096
Position 960: 0.01736298203947466
Position 4284: 0.01664707710578911
Position 8955: 0.015679009778032965
Position 8951: 0.014297654338357819
Position 7939: 0.01286754576507346
Position 10945: 0.012078208488426678
Position 8912: 0.011805129544910448
Position 2086: 0.011641881722749752
Position 3328: 0.010039280551718672
Position 854: 0.00833784510816008
Position 7104: 0.008041570144913043
Position 442: 0.007092563412087694
Position 7317: 0.006777709270843427
Position 3270: 0.005671804162142053
Position 6651: 0.005374013499045946
Position 3533: 0.005242265477926435
Position 7787: 0.005154243445560317
Position 8101: 0.005104198258735536
Position 835: 0.005003261943395979
Position 7730: 0.004199670423649277
Position 4192: 0.00415394646679228
Position 3887: 0.004139956216620169
Position 4532: 0.004093740150733086
Position 8685: 0.004012498327348752
Position 7065: 0.0038467016440792224
Position 10664: 0.003452420244676979
Position 176: 0.0033573622573019415
Position 4857: 0.0032150389733323643
Position 1469: 0.002892784094585937
Position 2829: 0.0023447636703640704
Position 7154: 0.0017567177559311292
Position 5097: 0.00174660405194621
Position 818: 0.0016904234599597672
Position 990: 0.001684274156085053
Position 296: 0.0016102362935906881
Position 1491: 0.0014285733679514387
Position 358: 0.0011816813930367086
Position 785: 0.0011387089087191203
Position 497: 0.001042510863917732
Position 9677: 0.001026805105388118
Position 2053: 0.0009269184733777362
Position 1793: 0.0009095638997560128
Position 2755: 0.0009062087101776807
Position 8875: 0.0008891320239018245
Position 3984: 0.0008771437557408208
Position 11289: 0.0008433537552942434
Position 3008: 0.0008297398433958344
Position 1280: 0.0008100130744568942
Position 4465: 0.0007568307905433449
Position 4503: 0.0007440286170013246
Position 7227: 0.0007435476412868514
Position 8980: 0.000724078107884518
Position 1202: 0.0006494301502431737
Position 404: 0.0005877228584996383
Position 555: 0.0005521011073059825
Position 10228: 0.0005482039349682596
Position 8587: 0.0005462464934037847
Position 9882: 0.000493624855439074
Position 8931: 0.0004831683163727768
Position 8223: 0.00039179638338949303
Position 39: 0.0003917141670849154
Position 10199: 0.0003737198016865112
Position 1284: 0.00036342063566210844
Position 7754: 0.00033004622584624174
Position 779: 0.00032453812304310346
Position 984: 0.0003210955345639779
Position 9530: 0.00031643330749468024
Position 6946: 0.00029905966224777914
Position 6882: 0.00028060345065927415
Position 9410: 0.00027107109669835023
Position 103: 0.00023579504294622412
Position 8525: 0.00023297847557884579
Position 7146: 0.0002316033413666897
Position 1001: 0.00023096578737907502
Position 1361: 0.0002167314325769159
Position 8861: 0.00021236746915216537
Position 134: 0.00020194104270295163
Position 7742: 0.00019426201398251404
Position 208: 0.000187732945035678
Position 1239: 0.00018252248835423993
Position 48: 0.00018100672088299725
Position 287: 0.00015747364236656412
Position 1540: 0.00011680809309634548
Position 1039: 0.00011436467594376649
Position 738: 0.00010877096495356722
Position 910: 0.00010819805504939971
Position 67: 0.00010754952042245637
