Gene = A330070K13Rik
index = 77
Annotated 5SS: [ 215 3447]
Annotated 3SS: [3304 5504]
SMsplice 5SS: [215]
SMsplice 3SS: [2316]
top_k =  1000
Partition function (log Z): -10.587922721503407

Sorted 5' Splice Sites (High to Low Probability):
Position 215: 0.6119569495332213
Position 3447: 0.4493412394159165
Position 286: 0.16407036994064514
Position 107: 0.10790961336569979
Position 2406: 0.10414920866746287
Position 2412: 0.09491320579641
Position 193: 0.0734157966837142
Position 1098: 0.042336341520141006
Position 2845: 0.017113879887836546
Position 5607: 0.013803421928268713
Position 5422: 0.013587513509572501
Position 5410: 0.00907087176305562
Position 1082: 0.0061553151618401955
Position 4015: 0.005869856794564737
Position 174: 0.004611625943709194
Position 334: 0.0041726121017301365
Position 2087: 0.004111830168720024
Position 5173: 0.0035897210455444702
Position 1553: 0.0030143106872121185
Position 1670: 0.0028598060133488163
Position 5100: 0.0017296037607562723
Position 2451: 0.001701378655966716
Position 3676: 0.0016700664982398827
Position 1376: 0.0016440399581854766
Position 1935: 0.0014544299989523292
Position 5603: 0.000475871491976371
Position 1992: 0.00036295336283914865
Position 219: 0.0003548986814186347
Position 3469: 0.00035146418977439315
Position 227: 0.0003010222042382012
Position 2208: 0.00027783721456477623
Position 3294: 0.00024434676982546216
Position 3165: 0.00022107905593990272
Position 157: 0.00016777778648137813
Position 3413: 0.00016543678842504824
Position 5616: 0.00016324183143232151
Position 849: 0.00014946664872304675
Position 5360: 0.00014685396657944185
Position 1748: 0.00014608234400431517
Position 1999: 0.0001322466470350268
Position 239: 0.00011809358193517089
Position 1079: 9.849087124870973e-05
Position 101: 8.978469602132314e-05
Position 594: 8.241895152382843e-05
Position 1699: 8.139389633933233e-05
Position 146: 7.715674152530102e-05
Position 1796: 7.6698482559297e-05
Position 854: 7.251415587127306e-05
Position 2320: 6.602004578096078e-05
Position 2398: 4.79959986083236e-05
Position 385: 4.036869303737228e-05
Position 804: 3.4355456303999054e-05
Position 1350: 1.8652393224696054e-05
Position 1653: 1.8486027741792332e-05
Position 813: 1.8390926311854958e-05
Position 768: 1.7627329925347495e-05
Position 910: 1.6894383944946584e-05
Position 150: 1.684393017137573e-05
Position 1178: 1.5770328124799975e-05
Position 354: 1.5490412187538156e-05
