Gene = Spp1
index = 1016
Annotated 5SS: [  79 1325 1459 2618 3150 4429]
Annotated 3SS: [1256 1422 2536 3107 4146 5110]
SMsplice 5SS: [  79 1103 1325 1514 2618]
SMsplice 3SS: [ 923 1256 1422 2536 4146]
top_k =  1000
Partition function (log Z): 1.7709490495284692

Sorted 5' Splice Sites (High to Low Probability):
Position 1325: 0.9752223254355599
Position 2618: 0.7081278584507087
Position 1103: 0.5709429449394415
Position 79: 0.5407726419016006
Position 1514: 0.47295856713096707
Position 131: 0.43176007759468765
Position 1459: 0.39957239503976144
Position 3150: 0.32658236202860175
Position 4367: 0.27237244355856266
Position 4429: 0.20186334324023086
Position 1998: 0.188196613621871
Position 2937: 0.12426127206741039
Position 842: 0.08912919150940395
Position 1095: 0.08861514660253544
Position 5157: 0.06586957172362408
Position 3246: 0.04756926394685209
Position 1038: 0.04740334961672611
Position 3238: 0.03122193022391694
Position 214: 0.02310471599644268
Position 4775: 0.011449218357686695
Position 4392: 0.010481912856952756
Position 1582: 0.008995231416120299
Position 2913: 0.008707095685069183
Position 1043: 0.007367712394013553
Position 938: 0.005763658090168052
Position 2693: 0.004503282177747971
Position 4414: 0.0043053515144647345
Position 1786: 0.0042944487037427795
Position 2842: 0.004133598010924058
Position 1058: 0.004009863556139773
Position 1174: 0.0036498417640530166
Position 4594: 0.003465827432313637
Position 1537: 0.0034656989263711093
Position 3222: 0.003377061845095665
Position 3042: 0.003284887181340701
Position 983: 0.0027371626359243896
Position 4307: 0.002579848602097194
Position 4243: 0.0025098708078560824
Position 233: 0.0022684442361709557
Position 4284: 0.002164468836103399
Position 2133: 0.002116225436050893
Position 1572: 0.001967083220767446
Position 4544: 0.001730303910103293
Position 2461: 0.0016515440688997514
Position 2360: 0.001644617653563725
Position 1495: 0.001637524910906221
Position 668: 0.0013474983844986535
Position 4406: 0.0011932227158348422
Position 1505: 0.000989622335922594
Position 941: 0.0008645383041805513
Position 1185: 0.0008078208697208371
Position 1473: 0.0005599446297463572
Position 209: 0.0005563146219907069
Position 2750: 0.0005299284422249522
Position 3070: 0.0005206305925172535
Position 3412: 0.0005186875839221525
Position 927: 0.0004945463596421556
Position 1009: 0.0004213806011260892
Position 167: 0.00036316078153056304
Position 1611: 0.00036242122212470766
Position 2144: 0.00032407785647189295
Position 2248: 0.0003140807903789759
Position 2385: 0.0002967933685907488
Position 1150: 0.00028385265969285727
Position 1061: 0.0002455144369799447
Position 1593: 0.00022628488824629557
Position 5427: 0.0002180460034568082
Position 135: 0.00021322079444145283
Position 2059: 0.0002082663907591309
Position 1329: 0.00020673087920750256
Position 3226: 0.00020534308585077384
Position 225: 0.00019839258768870074
Position 1845: 0.00019110771512736446
Position 1864: 0.0001631274704901367
Position 1182: 0.00015262105405808112
Position 3340: 0.00014546404512710652
