Gene = Dbr1
index = 322
Annotated 5SS: [ 327  902 2723 3644 4565 6304 6664]
Annotated 3SS: [ 776 2641 3557 4339 6222 6517 7512]
SMsplice 5SS: [ 327 4565 6304 6664]
SMsplice 3SS: [4445 6222 6517 7512]
top_k =  1000
Partition function (log Z): 2.3528958171027017

Sorted 5' Splice Sites (High to Low Probability):
Position 6664: 0.9920966506431241
Position 6304: 0.9153977385471493
Position 327: 0.8725920011321906
Position 4565: 0.8589689282009921
Position 902: 0.5266718875323283
Position 2723: 0.3922872251806617
Position 3644: 0.36294447147555475
Position 7623: 0.20128917185303938
Position 2194: 0.12112925457365542
Position 7907: 0.12030820904698987
Position 1684: 0.10851704891330749
Position 256: 0.10373693206716735
Position 877: 0.05636944902256457
Position 7190: 0.03835079828740308
Position 6845: 0.03285753472102394
Position 7809: 0.020966697272242357
Position 1900: 0.02091504488430219
Position 7142: 0.020705372702312454
Position 516: 0.01606675087658199
Position 4226: 0.015755541279228638
Position 5090: 0.012765138639488803
Position 4948: 0.011568479810113016
Position 300: 0.009067494424142885
Position 8221: 0.007053424000528022
Position 86: 0.006482990919637685
Position 4159: 0.004741207443511443
Position 3201: 0.00405475162947381
Position 7755: 0.003267660238764389
Position 19: 0.0032216503044548437
Position 869: 0.0030517705714387545
Position 7153: 0.0029873100084400785
Position 6040: 0.0029602258440004623
Position 5216: 0.002429854994978039
Position 4659: 0.0020037334564138418
Position 2671: 0.0019511144198128083
Position 7640: 0.0018714059586405457
Position 7550: 0.001862412710176258
Position 6651: 0.0018399803112350767
Position 7773: 0.001641701458368648
Position 40: 0.0016040580578134376
Position 1601: 0.0010441317977143857
Position 2279: 0.0008238231192369011
Position 975: 0.0007582518522818844
Position 1921: 0.0007396629653047351
Position 6950: 0.0006827093152952685
Position 483: 0.0006215287468969421
Position 7587: 0.0005062012024371277
Position 6782: 0.00043956022074338497
Position 1530: 0.0004154998397117686
Position 6347: 0.000386023818547822
Position 7474: 0.0003447047101227185
Position 2504: 0.0003358567588541849
Position 365: 0.00033559996424724293
Position 1892: 0.0003247798928788882
Position 470: 0.0002822048341318891
Position 2206: 0.0002660434803672347
Position 7513: 0.0002016361381440326
Position 8249: 0.0001591483070660901
Position 619: 0.00015739064284809532
Position 858: 0.0001186588529437761
Position 6867: 0.00011629536719766772
