Gene = Sprr2k
index = 1023
Annotated 5SS: [40]
Annotated 3SS: [746]
SMsplice 5SS: [40]
SMsplice 3SS: [746]
top_k =  1000
Partition function (log Z): -7.785045135018656

Sorted 5' Splice Sites (High to Low Probability):
Position 40: 0.978625827992994
Position 540: 0.10342358695052634
Position 646: 0.026510085485376457
Position 785: 0.015132489377475038
Position 652: 0.007419367443904622
Position 125: 0.004229484830460896
Position 406: 0.0035198875401466954
Position 271: 0.0019770651935375116
Position 648: 0.0018033963954989848
Position 966: 0.0010337367876257677
Position 1214: 0.0005906900471859283
Position 161: 0.0005562451142134646
Position 715: 0.000511100377528696
Position 544: 0.0004604340072616073
Position 567: 0.000422301401478583
Position 111: 0.0003617715014829545
Position 10: 0.00035269575841542674
Position 154: 0.0002367407588559006
Position 66: 0.00022144421044001335
Position 604: 0.0001393960383826121
Position 309: 0.00012138064071644394
Position 331: 0.00010371181099631132
Position 177: 9.368617033833889e-05
Position 846: 7.903160055109503e-05
Position 145: 7.897776057768319e-05
Position 169: 7.782169106092097e-05
Position 650: 7.645634115147041e-05
Position 412: 5.8247210809533424e-05
Position 217: 4.432320266201525e-05
Position 44: 4.0939873271869845e-05
Position 59: 4.089641935178621e-05
Position 719: 3.776319008402319e-05
Position 97: 3.419432618687562e-05
Position 813: 2.6020351414244243e-05
Position 873: 2.5179500176808165e-05
Position 525: 2.3089700946817125e-05
Position 256: 2.2961387802478568e-05
Position 106: 1.654403281211712e-05
Position 172: 9.800527173062371e-06
Position 512: 8.29469259116557e-06
Position 480: 7.992337403617641e-06
Position 797: 7.738772418339518e-06
Position 52: 7.715052816191628e-06
Position 209: 6.963498037861911e-06
Position 1018: 6.9116666149056955e-06
Position 507: 6.892958894864908e-06
Position 290: 5.55828355527813e-06
Position 354: 4.686249815421057e-06
Position 950: 4.605286690555836e-06
Position 811: 4.3361734143099925e-06
Position 1110: 4.174797210446757e-06
Position 1146: 4.1497268315856e-06
Position 189: 2.8962240846162847e-06
Position 368: 2.568216409523873e-06
Position 219: 2.348984168136533e-06
Position 765: 2.2606013980720357e-06
Position 922: 1.3080611114538382e-06
Position 1234: 1.1004200932587584e-06
Position 415: 7.66885610402785e-08
Position 197: 3.3063005128298527e-08
Position 795: 3.4374984715772326e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.7448783068467668
Position 405: 0.10481242739698152
Position 216: 0.08319237000688096
Position 873: 0.045608528575254687
Position 520: 0.04136532413518145
Position 365: 0.03315914729168978
Position 846: 0.02029423094965079
Position 445: 0.01292949697864323
Position 556: 0.012856804089152733
Position 522: 0.00611434469935923
Position 828: 0.00605043515499124
Position 1338: 0.005844881001207289
Position 1202: 0.004270906320901895
Position 897: 0.0030673458970846977
Position 175: 0.0025118423195004693
Position 1288: 0.0023962299189975718
Position 1167: 0.0023521004071409106
Position 1110: 0.0020643575924579605
Position 930: 0.0019162349339197787
Position 453: 0.001662498021802211
Position 368: 0.0015894607177393296
Position 775: 0.0013573997281964127
Position 340: 0.0013202214662083708
Position 232: 0.0011268715833906422
Position 1070: 0.0009133947952802425
Position 780: 0.000708350028969774
Position 337: 0.0006082284473440674
Position 324: 0.0005880119230141464
Position 942: 0.0003343825416652477
Position 622: 0.0002801248634537423
Position 1131: 0.0002758574453133952
Position 906: 0.00026146716061891073
Position 145: 0.00019726302710162963
Position 1254: 0.00018860948647827854
Position 945: 0.00017690142375428427
Position 777: 0.00012855680454569867
Position 962: 0.00011786154226643992
Position 573: 0.00010255844729648811
Position 783: 9.54743253626595e-05
Position 380: 9.397748131727382e-05
Position 412: 7.224188973715258e-05
Position 703: 6.895829690631347e-05
Position 1073: 5.853561330621618e-05
Position 966: 5.136104897180418e-05
Position 882: 4.63896452401531e-05
Position 1225: 4.602551334855508e-05
Position 270: 4.5632120393648196e-05
Position 690: 4.4717435827458655e-05
Position 723: 3.939459235582506e-05
Position 177: 3.380578775822233e-05
Position 103: 3.213272074665905e-05
Position 1291: 2.5250981403758472e-05
Position 1268: 2.228981995093257e-05
Position 972: 1.795517650173336e-05
Position 627: 1.7234470071473237e-05
Position 855: 1.658120459980374e-05
Position 754: 1.649376413248669e-05
Position 609: 1.5855815669900725e-05
Position 249: 1.5579667779024464e-05
Position 1295: 1.278215718659079e-05
Position 277: 1.2550097728264603e-05
Position 106: 1.1918357206859855e-05
Position 567: 1.0704500778472017e-05
Position 801: 1.0445568519920967e-05
Position 630: 8.464842504935226e-06
Position 719: 8.32513788019098e-06
Position 792: 7.136721354312759e-06
Position 1221: 6.742164003334115e-06
Position 978: 5.41547721515966e-06
Position 658: 5.111820318758074e-06
Position 347: 4.866966600917911e-06
Position 242: 4.5051375883557935e-06
Position 660: 4.140474255204649e-06
Position 100: 3.954807411149609e-06
Position 995: 3.089547590849376e-06
Position 989: 2.9675918096036156e-06
Position 266: 2.7735228945224275e-06
Position 1256: 2.551067834605305e-06
Position 1002: 1.9537220094012744e-06
Position 254: 1.7396938849583613e-06
Position 284: 2.7375901786215573e-08
Position 632: 4.943444909273017e-11
