Gene = Kmt5a
index = 607
Annotated 5SS: [   86  6155  7441 10951 11444 17189 20036]
Annotated 3SS: [ 6038  7283 10730 11355 17128 19844 20557]
SMsplice 5SS: [   86  7441 10403 10951 11444 14397 17189 20036]
SMsplice 3SS: [ 7283 10308 10730 11355 14267 17128 19844 21084]
top_k =  1000
Partition function (log Z): 3.445399012723091

Sorted 5' Splice Sites (High to Low Probability):
Position 11444: 0.9829722522531527
Position 7441: 0.9722629291862128
Position 10951: 0.8067595464696795
Position 20036: 0.8042599361255405
Position 14397: 0.7797936743186289
Position 17189: 0.7240233861505034
Position 10403: 0.6814777211632109
Position 86: 0.46270786165512867
Position 15477: 0.3402865073123847
Position 641: 0.27600524842444124
Position 152: 0.2394781305966777
Position 10583: 0.23822813709683904
Position 3562: 0.21430971665835144
Position 17246: 0.19910246272227458
Position 6659: 0.16479600230073158
Position 321: 0.15886787398523872
Position 20608: 0.15002568082051265
Position 6155: 0.13635569311141818
Position 7577: 0.11525154787993229
Position 5415: 0.11094560416943144
Position 5028: 0.10386485042548355
Position 20708: 0.07850744767121952
Position 11011: 0.074505236259677
Position 7749: 0.06101663287004636
Position 21198: 0.05463653856505718
Position 5138: 0.05375287516915423
Position 13009: 0.046691446503058856
Position 19262: 0.04514023831461392
Position 17320: 0.041321133709521354
Position 4468: 0.04065867002730654
Position 19121: 0.03107402196606119
Position 15260: 0.027282709590840268
Position 19714: 0.02701065028374584
Position 6754: 0.026501969022090465
Position 20386: 0.026041434821307517
Position 5799: 0.025573761501657577
Position 8895: 0.023330504371649366
Position 6980: 0.022603520882429583
Position 8835: 0.021909524173770758
Position 10806: 0.02183972192314336
Position 11223: 0.01866011214587939
Position 10309: 0.017105871886234237
Position 7602: 0.016932762036885762
Position 11449: 0.016128051528332327
Position 6800: 0.015816348914161543
Position 15481: 0.015799663975071657
Position 4867: 0.0151308384003382
Position 15086: 0.014318756552320322
Position 16689: 0.014210906069770228
Position 12988: 0.01393971280666467
Position 4944: 0.012034562202645396
Position 12875: 0.011314692590610206
Position 10418: 0.010759465411289403
Position 17307: 0.009720971316831075
Position 15133: 0.009250631892072123
Position 8607: 0.00878516937451348
Position 18721: 0.008426032058615609
Position 370: 0.0079232441839199
Position 10875: 0.007017881501428216
Position 21502: 0.006750069934342433
Position 21321: 0.0066325954432338
Position 452: 0.006532725539657402
Position 18493: 0.006434973590363968
Position 534: 0.006327393010690523
Position 19970: 0.006092735981460584
Position 8352: 0.0059581587015504756
Position 21291: 0.005753926088474104
Position 8469: 0.005546536307904242
Position 17394: 0.005537979049425869
Position 407: 0.005316902224036857
Position 22010: 0.004740127449230558
Position 749: 0.0045384126194001695
Position 18157: 0.004507434423539399
Position 4386: 0.004427035522931749
Position 1586: 0.004228574608513533
Position 17738: 0.0038920566079155778
Position 21200: 0.003745854548515972
Position 15877: 0.003653075189938967
Position 21239: 0.003594074095456863
Position 16041: 0.0034460634981450704
Position 7392: 0.0033348339121773867
Position 10621: 0.003189216237109719
Position 15531: 0.0030385516315360184
Position 4922: 0.0030241612392962404
Position 3045: 0.0029472376664892706
Position 60: 0.002876263606004593
Position 6261: 0.002527380685847606
Position 17485: 0.002480364966685915
Position 12496: 0.0019957835303769317
Position 15168: 0.0018086855852090778
Position 19281: 0.0016792074164274791
Position 19420: 0.0016481577512142374
Position 3001: 0.0013711419400355231
Position 7759: 0.0013502979984995598
Position 8991: 0.0012905486030407576
Position 16368: 0.001215788911703402
Position 21086: 0.0011814629372386006
Position 19642: 0.0010691873537654547
Position 16499: 0.0009698696895659522
Position 1302: 0.0009576423519793608
Position 485: 0.0009361490384915022
Position 21277: 0.0009319840744507805
Position 759: 0.0009315747673428763
Position 4388: 0.0008844327331974404
Position 224: 0.0008817900178763823
Position 12826: 0.000872153470280559
Position 4474: 0.0008567247013246146
Position 17931: 0.0008419403035437062
Position 15238: 0.0007634152486872199
Position 187: 0.000721481586449105
