Gene = Tapt1
index = 1058
Annotated 5SS: [  209  8519 22413 32375 33436 34256 34542 38004 40391 41668 42042 43925
 47762]
Annotated 3SS: [ 8387 22293 32211 33299 34157 34471 37922 40280 41607 41972 43847 47600
 49439]
SMsplice 5SS: [  209  8519 22413 32375 33547 34542 38004 47762]
SMsplice 3SS: [ 8387 22293 32211 33299 34471 37922 47600 49439]
top_k =  1000
Partition function (log Z): -30.098052571627736

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9859838228141933
Position 8519: 0.5244234482084237
Position 8625: 0.40362279905535375
Position 3182: 0.3029006161138291
Position 4557: 0.27436056917206225
Position 7276: 0.2240911008617698
Position 1062: 0.1680615837056347
Position 8986: 0.15395862244293812
Position 7412: 0.12022554458674696
Position 10659: 0.10848191844458746
Position 4219: 0.07755682309350606
Position 6966: 0.07062290107791797
Position 10055: 0.0624867908522771
Position 423: 0.06154937437903617
Position 4692: 0.046479728702233776
Position 6393: 0.03871114824333956
Position 2735: 0.03135265896826281
Position 10354: 0.030862501235697525
Position 556: 0.02612734356900134
Position 1582: 0.025001764606614466
Position 7398: 0.02372129404409109
Position 7300: 0.018048392084607682
Position 1100: 0.014683295436094708
Position 7332: 0.01432256854326582
Position 10375: 0.011152501868473665
Position 2467: 0.009152716860807287
Position 1120: 0.007813704463420994
Position 1150: 0.00750600986168975
Position 7296: 0.007133404481856512
Position 4619: 0.005499644734522325
Position 3767: 0.00548137794014234
Position 509: 0.004517568763049204
Position 2224: 0.004231164073159965
Position 2910: 0.002024395298080036
Position 3227: 0.0018898382473831656
Position 6886: 0.0014192039778104157
Position 3164: 0.0012603668157928536
Position 3208: 0.0011777076475842474
Position 695: 0.0009187644963722902
Position 3525: 0.000905396397124999
Position 8871: 0.0009006173055628197
Position 2742: 0.000861264150406315
Position 2462: 0.0008191347434592026
Position 2420: 0.0007923250291615651
Position 6022: 0.000734455227597229
Position 3592: 0.0006826260486656635
Position 1092: 0.0006398392522010279
Position 1532: 0.0006139449285336098
Position 1613: 0.000531216598427016
Position 4463: 0.0004285996490306553
Position 3661: 0.00042271767499712024
Position 2795: 0.0003415325264788535
Position 4134: 0.0003055796516864326
Position 3119: 0.0001915205474675035
Position 10073: 0.00015478074411138506
Position 1558: 0.00011546603066658506
Position 6001: 0.00011079930195464546
Position 3472: 8.201762055690207e-05
Position 1610: 7.960929546993593e-05
Position 1146: 7.363089535069132e-05
Position 1939: 7.088430359627558e-05
Position 885: 6.603866917189087e-05
Position 450: 5.283790953629591e-05
Position 360: 4.763827850933496e-05
Position 2725: 4.6091003355238494e-05
Position 662: 4.172453317262852e-05
Position 667: 3.746622402379641e-05
Position 439: 3.5035994711411736e-05
Position 826: 2.889056752749385e-05
Position 480: 2.5634489649956776e-05
Position 586: 2.4424606096228187e-05
Position 782: 2.4235977130470616e-05
Position 116: 2.0853196546803645e-05
Position 721: 1.9206955702769983e-05
Position 460: 1.7963806942964967e-05
Position 443: 1.4196691410410268e-05
Position 336: 1.3921939269489646e-05
Position 1824: 1.309318585566657e-05
Position 761: 1.2350805101162753e-05
Position 1217: 1.1535387789891026e-05
Position 656: 1.0291025036230923e-05
Position 591: 1.0280061748904992e-05
Position 1859: 1.01291980741907e-05
Position 1563: 9.090148824228231e-06
Position 955: 9.07122911747776e-06
Position 382: 8.547389684014708e-06
Position 1137: 8.41355006971002e-06
Position 2250: 6.624765706463447e-06
Position 544: 4.687217788018685e-06
Position 604: 3.6935751090272756e-06
Position 803: 3.25230988897516e-06
Position 653: 2.7471439127598745e-06
Position 1844: 2.314499463438915e-06
Position 574: 2.1723340659635632e-06
Position 62: 2.099025574755134e-06
Position 1809: 1.7212006577229819e-06
Position 119: 1.5785957647186578e-06
Position 901: 1.177902775103149e-06
Position 632: 1.1070255108073286e-06
Position 726: 1.0841239495704774e-06
Position 849: 9.212179840047756e-07
Position 1159: 9.05260772708243e-07
Position 648: 7.225564016756111e-07
Position 1250: 6.417628386819646e-07
Position 675: 6.338988832688491e-07
Position 1259: 5.910813180703935e-07
Position 1086: 5.309309194692975e-07
Position 714: 5.244661960523219e-07
Position 347: 5.160509645174773e-07
Position 398: 4.7875180553023e-07
Position 1268: 3.366169834996855e-07
Position 847: 2.6778762650282105e-07
Position 284: 2.3327079510271526e-07
Position 650: 1.2113401431778667e-07
Position 281: 7.603546275805486e-08
Position 3: 5.30989617517994e-09
