Gene = Ino80e
index = 578
Annotated 5SS: [ 134  363  599 3965 4163 4613]
Annotated 3SS: [ 291  545 3885 4050 4495 8846]
SMsplice 5SS: [ 134  363 3965 4163 4613]
SMsplice 3SS: [ 291 3885 4050 4495 8846]
top_k =  1000
Partition function (log Z): 6.009670119139901

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.983925335744666
Position 363: 0.9773725598149702
Position 4613: 0.9722801067387613
Position 3965: 0.9364721116399344
Position 4163: 0.9174377541690837
Position 599: 0.6389639052149922
Position 4916: 0.4397549550381823
Position 2107: 0.2415730929757832
Position 7746: 0.13551055269038856
Position 8350: 0.10721348789997975
Position 4236: 0.06140917556495472
Position 6793: 0.05931774594735493
Position 8874: 0.03131907570243033
Position 5918: 0.024925590761878814
Position 2731: 0.017952726419715376
Position 910: 0.017115619912441416
Position 8245: 0.013645393391270572
Position 8878: 0.012638453980669331
Position 213: 0.011660217290904787
Position 2716: 0.011301677888292023
Position 680: 0.009392395492028199
Position 8743: 0.008333243365167302
Position 2534: 0.008286810768408325
Position 3194: 0.007008756157836446
Position 1147: 0.006830504163891656
Position 2449: 0.0068167688089472945
Position 7242: 0.005279095103899947
Position 9048: 0.0042476929784929646
Position 8853: 0.0041408265084525026
Position 5858: 0.004134018934112068
Position 3622: 0.003946163367598796
Position 5527: 0.0031192729389435923
Position 3916: 0.003094599298494981
Position 9587: 0.003049674828748076
Position 8101: 0.0029881535101848322
Position 2686: 0.0029343358638451457
Position 2271: 0.00278381514490926
Position 490: 0.002532792917895725
Position 1151: 0.002380525734697729
Position 665: 0.0022960176435089146
Position 5321: 0.0019199452137174124
Position 204: 0.001899826462433367
Position 4295: 0.0018775728497635949
Position 6382: 0.0018412060204654975
Position 467: 0.0016756970233554218
Position 2753: 0.0015104714027152205
Position 8849: 0.0014641900696184915
Position 2141: 0.0012090513558127988
Position 5993: 0.0011554606390000296
Position 164: 0.0011277445531719119
Position 2643: 0.001109804421369728
Position 346: 0.001031573854641479
Position 1929: 0.0006729311628992194
Position 780: 0.0006327634412643207
Position 3713: 0.0005837999256662378
Position 2757: 0.0005808854489295907
