Gene = Crb1
index = 293
Annotated 5SS: [   237  40048  48927  53851  62507 128959 134100 135955 140256 142351
 145414]
Annotated 3SS: [ 39468  48730  53710  62323 128001 133551 135788 139348 142221 145286
 178289]
SMsplice 5SS: [   237  27236  32373  40923  48622  48927  53851  62507  64440  73117
  90098 104484 105671 128959 134100 134898 140256 142351 145414]
SMsplice 3SS: [ 27115  32218  40739  48497  48730  53730  62323  64202  72985  89772
 104359 105501 128751 133971 134798 140108 142221 145286 177751]
top_k =  1000
Partition function (log Z): -109.36858761972572

Sorted 5' Splice Sites (High to Low Probability):
Position 237: 0.7949189622088775
Position 2502: 0.2488303133593266
Position 6732: 0.24250455461706533
Position 159: 0.17870576042772296
Position 2506: 0.16054150563196343
Position 3368: 0.049463093444828334
Position 5322: 0.02790775573794774
Position 6941: 0.0240634466067624
Position 10990: 0.018437074274289495
Position 1050: 0.01350822327143538
Position 1906: 0.012736315239911032
Position 343: 0.011388720703089902
Position 7861: 0.0036619964407539887
Position 1054: 0.003376575618764004
Position 6072: 0.0025089721170598353
Position 2235: 0.0022300151510812527
Position 251: 0.0017347000879716886
Position 4965: 0.0014814908357654417
Position 2185: 0.0014633516577148376
Position 2135: 0.0014436187664997589
Position 2611: 0.001228861662255887
Position 1105: 0.0010816322004087236
Position 1352: 0.0010692983790981279
Position 3803: 0.0010333258021538788
Position 6025: 0.0007327519765457313
Position 1345: 0.0007280863205905053
Position 1156: 0.0006481443453714067
Position 2005: 0.0005913614923941744
Position 1320: 0.0005677377104299665
Position 1024: 0.0005021055326337495
Position 382: 0.0004999452585176426
Position 4961: 0.00044938842180808087
Position 2311: 0.0004113580153891599
Position 1262: 0.0003847371204520142
Position 3485: 0.00034050472738621115
Position 1140: 0.00026681853105686953
Position 202: 0.00025693007195742515
Position 45: 0.00024341113538302466
Position 397: 0.00020352553418194805
Position 3346: 0.0001669370469244687
Position 938: 0.00016154666153528837
Position 3877: 0.0001104139586321124
Position 148: 0.00010753828137057749
Position 883: 0.00010732017735787129
Position 4: 0.00010487317721071516
Position 3295: 9.935552437244313e-05
Position 1063: 8.999773658194203e-05
Position 339: 8.966465838858046e-05
Position 2242: 8.850264375111746e-05
Position 337: 5.1680830081916885e-05
Position 283: 5.123720775099533e-05
Position 2191: 4.380457127912289e-05
Position 2264: 2.913865385303878e-05
Position 2630: 2.5486606660176216e-05
Position 1846: 2.004465653809048e-05
Position 962: 1.6989710900997913e-05
Position 1927: 1.58695924370674e-05
Position 1341: 1.1495468573371304e-05
Position 1331: 6.326552636435604e-06
Position 21: 5.003391752880284e-06
Position 25: 1.7283375896092985e-06
Position 692: 1.4719846365430513e-06
Position 376: 1.2012031527659313e-06
Position 540: 9.33476741146853e-07
Position 651: 8.853213064417947e-07
Position 150: 8.220872135061705e-07
Position 405: 8.180402276031759e-07
Position 501: 8.087099978656335e-07
Position 701: 7.783825326814726e-07
Position 608: 6.8539658241075e-07
Position 523: 6.304230378247231e-07
Position 736: 5.704562462798969e-07
Position 358: 5.652001334288234e-07
Position 842: 5.083489637064585e-07
Position 3283: 4.3885986091786054e-07
Position 106: 4.0323710881817395e-07
Position 347: 3.8646334905322327e-07
Position 320: 3.259056918901928e-07
Position 305: 2.5131602915953437e-07
Position 515: 2.2624147525490466e-07
Position 322: 2.187971209432236e-07
Position 666: 1.8142277318571101e-07
Position 801: 1.5567690889095206e-07
Position 940: 1.1297060011676066e-07
Position 948: 1.1056538418125814e-07
Position 837: 9.876246579446693e-08
Position 572: 8.3582037866137e-08
Position 852: 8.325974463701964e-08
Position 1047: 5.457383491267371e-08
Position 910: 2.988606351660404e-08
Position 618: 2.6493045209749024e-08
Position 326: 2.3030755524415777e-08
Position 550: 2.2188267156239e-08
Position 739: 2.085546933752922e-08
Position 741: 1.566860945115743e-08
Position 1022: 1.4812235804019596e-08
Position 561: 1.7558057350955113e-09
Position 425: 3.519644516912724e-10
Position 527: 1.908017249219343e-10
Position 749: 1.5975041552124247e-10
Position 355: 2.72268385747548e-11
Position 416: 3.913978778466003e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2427: 0.3202435442387584
Position 11133: 0.13658876490430716
Position 13696: 0.11826917953700666
Position 6657: 0.107825942369062
Position 13302: 0.09842539221855862
Position 7097: 0.0875019665319159
Position 6641: 0.07057131767758397
Position 6615: 0.06211771239213111
Position 3242: 0.05594840621805477
Position 10877: 0.04149213695829342
Position 12454: 0.04064039724185428
Position 2403: 0.03752317529936781
Position 5141: 0.03417295357797433
Position 4539: 0.031890525755287294
Position 11261: 0.031589268485254195
Position 9997: 0.02963311534991675
Position 9672: 0.029423306739985212
Position 11278: 0.029321810914047557
Position 2382: 0.028930379347783825
Position 3581: 0.026058582403526945
Position 9860: 0.01902389649070919
Position 4039: 0.018727759870964315
Position 3600: 0.018700420115635996
Position 5886: 0.014302853885016415
Position 9876: 0.013617757931389996
Position 6818: 0.013038888841045584
Position 6782: 0.013033316692180621
Position 2386: 0.01289533476382296
Position 4482: 0.012036003022175638
Position 6265: 0.011494046473518595
Position 7734: 0.011412683886921743
Position 8576: 0.010496873847138845
Position 5964: 0.010368627717475872
Position 3140: 0.008560589818033697
Position 1761: 0.008524476578687937
Position 8402: 0.008442162493576048
Position 4851: 0.008310447543313665
Position 2315: 0.007241705840086363
Position 3368: 0.006989579509127465
Position 5274: 0.00694259449312333
Position 2134: 0.006878056584378939
Position 4581: 0.006538418234959857
Position 928: 0.00585160421399772
Position 2341: 0.005136746096764336
Position 11973: 0.004948022505871194
Position 1117: 0.004860955210728649
Position 3489: 0.004802676569909055
Position 6351: 0.004745838108490019
Position 336: 0.00463551193273673
Position 9257: 0.004126147927303081
Position 6562: 0.0038578570509564497
Position 8604: 0.0038262022968069908
Position 2498: 0.0038078199736271564
Position 8221: 0.0035895618902158505
Position 852: 0.003516083348540238
Position 5388: 0.0033208349751891976
Position 7881: 0.0031714064749624998
Position 2059: 0.003152457429965658
Position 2101: 0.002958442258131305
Position 2862: 0.002836753913302018
Position 2042: 0.0027877672730215746
Position 1737: 0.0027423060814444795
Position 3634: 0.002664495516115873
Position 5551: 0.0025042077168415237
Position 3872: 0.002493170440184283
Position 7894: 0.0024348651258235777
Position 10699: 0.0023408504993960902
Position 3176: 0.0023362186975477758
Position 2712: 0.002296507716690508
Position 1876: 0.0022698506456129246
Position 2932: 0.0022500700462563254
Position 8075: 0.0020879353395969994
Position 5492: 0.0019180360360062795
Position 798: 0.0018517770966332615
Position 2358: 0.0018494948703308026
Position 9576: 0.0018443388373168082
Position 6342: 0.0017982585668994996
Position 2429: 0.001740976626249256
Position 6764: 0.0016158376653973752
Position 5482: 0.0015301694405026886
Position 9634: 0.0014648610836945418
Position 7459: 0.0014057964339490494
Position 2264: 0.0013835178432114606
Position 2888: 0.0013440917248453213
Position 9490: 0.0012752656023516588
Position 6767: 0.00125935674332949
Position 1085: 0.0012196389325727138
Position 925: 0.0010805921841711608
Position 6481: 0.001056233241110065
Position 9048: 0.000998086145459218
Position 8441: 0.0009972745975201942
Position 2146: 0.000964265566060706
Position 658: 0.0009169515293324588
Position 7410: 0.000905996645544563
Position 3416: 0.0008747527309613359
Position 2322: 0.0007895768411250236
Position 5631: 0.0007505348718157304
Position 714: 0.0006591888069190456
Position 1624: 0.0005862326438938604
Position 3246: 0.0005675567318141749
Position 896: 0.0005404591656501719
Position 6305: 0.0005343138362366739
Position 2463: 0.0005082715412750989
Position 5868: 0.0004918504135554524
Position 4295: 0.0004913049508304848
Position 2983: 0.00047950181692507394
Position 2955: 0.00040690942778875603
Position 5766: 0.0003979955903376845
Position 4615: 0.00038865089865351276
Position 1905: 0.00037987937783538696
Position 1168: 0.00032489430917636127
Position 1660: 0.0003137752908291684
Position 933: 0.00031039047149105715
Position 2575: 0.0002877156679278155
Position 1479: 0.00026904889193754474
Position 2505: 0.0002666017828524453
Position 5789: 0.00023334411187977982
Position 904: 0.00023225717653372376
Position 2434: 0.00023124927807977638
Position 1969: 0.00023065600791191966
Position 2191: 0.00020613448197857921
Position 4098: 0.0001866312763746378
Position 1845: 0.0001781689869237604
Position 5819: 0.00017105693636492166
Position 3211: 0.00017026831290358111
Position 3941: 0.00013786203349103199
Position 3788: 0.00012817153301051783
Position 952: 0.0001265853627993223
Position 2765: 0.00012643259076269172
Position 1663: 9.960502866361546e-05
Position 4766: 8.158125462280696e-05
Position 2787: 7.87832904352869e-05
Position 2728: 7.44835840514809e-05
Position 381: 7.434425723930744e-05
Position 2891: 7.155703644073813e-05
Position 2807: 7.009613716430082e-05
Position 4415: 6.836932596394679e-05
Position 388: 6.596230208103548e-05
Position 3678: 6.467558343419293e-05
Position 3917: 6.299721952185572e-05
Position 1689: 6.24638665045072e-05
Position 1793: 6.22802661430145e-05
Position 523: 6.211287830710171e-05
Position 1374: 6.169581255424214e-05
Position 1765: 5.879840658227263e-05
Position 3523: 5.734150378859844e-05
Position 363: 5.337349858218169e-05
Position 1580: 5.000831912582226e-05
Position 3455: 4.949918317591252e-05
Position 3458: 4.9120188873514373e-05
Position 367: 4.431028600871957e-05
Position 3283: 4.269354864954697e-05
Position 103: 4.1279406644490835e-05
Position 1747: 4.061390074448093e-05
Position 437: 4.0474756703340815e-05
Position 3388: 3.936751637485304e-05
Position 1438: 3.4816885435080995e-05
Position 540: 3.4733993916275706e-05
Position 2822: 3.2285742723974486e-05
Position 1583: 3.2252173573233974e-05
Position 3089: 3.153176817821739e-05
Position 1927: 3.138587345470757e-05
Position 763: 2.98844353410246e-05
Position 1047: 2.2513990772854034e-05
Position 305: 1.7962780067835757e-05
Position 235: 1.5496804650916788e-05
Position 1796: 1.4734907489126803e-05
Position 556: 1.4607661055290793e-05
Position 1489: 1.4370224426385968e-05
Position 1882: 1.3478920548769106e-05
Position 1700: 1.2100972818522313e-05
Position 684: 1.1969450247101945e-05
Position 880: 1.1072525464159015e-05
Position 1741: 7.30108491649429e-06
Position 1172: 6.766980542097834e-06
Position 1257: 6.606113151981259e-06
Position 1850: 5.598510522432237e-06
Position 2148: 4.852247546541898e-06
Position 1233: 3.642229775203177e-06
Position 1697: 3.409598599222123e-06
Position 865: 3.3470403550618637e-06
Position 2460: 3.325327690660767e-06
Position 859: 3.201705823537288e-06
Position 2106: 3.0911300079515492e-06
Position 1007: 2.4951431431929007e-06
Position 1290: 2.425640162206523e-06
Position 1891: 2.3811169674419756e-06
Position 936: 2.2229572248475606e-06
Position 1798: 2.10287031668857e-06
Position 1129: 1.6063755529058122e-06
Position 1804: 3.733761237071458e-07
Position 954: 1.661172349413972e-07
Position 1013: 1.4741308720907017e-07
Position 720: 1.0993399909044404e-07
Position 1774: 1.0347718908097489e-07
Position 2275: 8.092643071142746e-08
Position 1036: 5.3336180697624633e-08
Position 801: 5.248520533711335e-08
Position 2004: 4.079193799634687e-08
Position 736: 3.058278645366026e-08
Position 1066: 2.308216681148929e-08
Position 938: 1.1731955828960887e-08
Position 660: 1.0088487677277763e-08
Position 1028: 8.243033397419501e-09
Position 210: 5.988788428048345e-09
Position 673: 5.106147192474783e-09
Position 286: 3.330704447218804e-09
Position 1010: 3.211067403351432e-09
Position 283: 3.0753105327177423e-09
Position 251: 2.8773789580166117e-09
Position 1145: 2.7004514765037178e-09
Position 1155: 2.4115598116293106e-09
Position 1094: 2.343802671885847e-09
Position 687: 2.2448841041100254e-09
Position 237: 1.7303408665097703e-09
Position 1139: 9.786909340802296e-11
Position 1274: 9.575948350901971e-11
