Gene = Dmac2
index = 338
Annotated 5SS: [  47 1679 3011 4525 4776]
Annotated 3SS: [1481 2929 4384 4612 5300]
SMsplice 5SS: [  47 1679 3028 4525 4776]
SMsplice 3SS: [1481 2929 4384 4647 5300]
top_k =  1000
Partition function (log Z): -2.2394446161937056

Sorted 5' Splice Sites (High to Low Probability):
Position 4525: 0.8266173024992187
Position 3028: 0.6345652110216041
Position 4776: 0.6116865197182992
Position 1679: 0.5667328473931744
Position 47: 0.4292949272678075
Position 1404: 0.31926144777961263
Position 1540: 0.224211347060607
Position 1051: 0.20482282503585086
Position 2634: 0.20437504618873595
Position 3033: 0.15157105260607281
Position 317: 0.14779608724597473
Position 3011: 0.10383935896122652
Position 1095: 0.09573766281746875
Position 2099: 0.0756887375091844
Position 867: 0.061600896952950075
Position 751: 0.058953349695051435
Position 4543: 0.04477346462564295
Position 2974: 0.044667113309018576
Position 3150: 0.04024794317855894
Position 2610: 0.03889586900003548
Position 4873: 0.03538792938186051
Position 930: 0.03282578329085281
Position 5390: 0.025296453907079738
Position 1205: 0.021644356894300432
Position 4516: 0.020160662373864345
Position 686: 0.019567935694790133
Position 2963: 0.018063042332439726
Position 2202: 0.015733992386402246
Position 51: 0.01488491925258863
Position 423: 0.012669473373617714
Position 218: 0.011108031718097246
Position 5395: 0.010901505462161992
Position 4102: 0.010206437658402463
Position 3979: 0.008825251877893603
Position 1634: 0.008521972868650033
Position 936: 0.007918990268657698
Position 4979: 0.00709164274832491
Position 1548: 0.0067162299879544906
Position 2479: 0.006528518292698475
Position 211: 0.006070668555834257
Position 309: 0.005855211652640363
Position 1250: 0.005726999341614695
Position 5139: 0.005465922312267665
Position 4300: 0.005282862040215833
Position 270: 0.004740959316975304
Position 5351: 0.004430661649838685
Position 3215: 0.004298453683029261
Position 3402: 0.004100798808736753
Position 1291: 0.003993426520133706
Position 1931: 0.003763663969697059
Position 2219: 0.003068827627144349
Position 2282: 0.002825286735311286
Position 3636: 0.002703178342589001
Position 565: 0.002340503036186462
Position 4897: 0.002297909866501836
Position 395: 0.002181267481423587
Position 1116: 0.002048690199764936
Position 692: 0.0020133748526190553
Position 1416: 0.0019979788487281026
Position 4827: 0.0017974644742192194
Position 4869: 0.0015920699278964589
Position 91: 0.0015845102168554586
Position 249: 0.0014501413829013795
Position 465: 0.0014299629010136015
Position 479: 0.0012479256445055485
Position 99: 0.001177535345853795
Position 1356: 0.0008347071320824854
Position 3884: 0.000767709217182201
