Gene = Ssr2
index = 1032
Annotated 5SS: [  79  427 1465 4278 7335]
Annotated 3SS: [ 271 1365 4168 7256 8272]
SMsplice 5SS: [  79  427 1431 4278]
SMsplice 3SS: [ 271 1365 4191 6932]
top_k =  1000
Partition function (log Z): 0.10940530235909618

Sorted 5' Splice Sites (High to Low Probability):
Position 4278: 0.980564662967844
Position 427: 0.95005159514053
Position 79: 0.9248734419745422
Position 1431: 0.42845989177449945
Position 2058: 0.2759864570133204
Position 1760: 0.27251020056324227
Position 1487: 0.25859714913344484
Position 1465: 0.25716568404621326
Position 1829: 0.19589249116403842
Position 7335: 0.08723710581098149
Position 5522: 0.07597513235476193
Position 2123: 0.06978467622530764
Position 1123: 0.05633539838533197
Position 7216: 0.04738162949113711
Position 2644: 0.04296364005470858
Position 7883: 0.035562265485619936
Position 6632: 0.03474297399099456
Position 1135: 0.02657448932819053
Position 3024: 0.020400809970248148
Position 742: 0.018713344908509257
Position 2850: 0.018402944956059684
Position 1179: 0.01746174185203251
Position 6260: 0.01496764144835395
Position 4790: 0.012975298091763822
Position 2043: 0.011332697564711357
Position 5252: 0.01072035057174528
Position 1677: 0.00983934294303507
Position 548: 0.00797453734068268
Position 5237: 0.007365071281291271
Position 6253: 0.006055828436274975
Position 140: 0.005549701763214649
Position 544: 0.004874846407582226
Position 8421: 0.004072439596612861
Position 1783: 0.003637277004267501
Position 1836: 0.0034237228143717898
Position 1598: 0.0031068084743694057
Position 2885: 0.0025504367825220837
Position 4784: 0.0018735517776072611
Position 7824: 0.001674293656602208
Position 7159: 0.0014704655787883825
Position 5038: 0.0013464140401912422
Position 7040: 0.0013351129560656442
Position 5241: 0.0012213324672209526
Position 475: 0.0012050054019601653
Position 7204: 0.001128353445160567
Position 1105: 0.0009456061500703855
Position 612: 0.0009171238796676943
Position 1743: 0.000853946705320739
Position 1553: 0.0007574349218966177
Position 6224: 0.0007275775227935183
Position 8004: 0.0006662873885440431
Position 628: 0.0006048108317401883
Position 1624: 0.0005811459915196454
Position 41: 0.000491656204619704
Position 1484: 0.0003554436294425612
Position 227: 0.0003531150380773734
Position 6033: 0.0002688743511648793
Position 5505: 0.0002661335121895508
Position 719: 0.0002573672531235958
Position 528: 0.0002565951458644796
Position 467: 0.00025030897062245744
Position 5202: 0.0002438155222757729
Position 2245: 0.00023633047169821148
Position 1424: 0.00022379977570139922
Position 1244: 0.0002123491896924458
Position 5699: 0.00019757622276953755
Position 1139: 0.0001664195893819369
Position 4302: 0.00015763350352416793
Position 8353: 0.0001443216559968767
Position 70: 0.00012437283286388504
Position 4899: 0.00011575246949175867
Position 440: 0.00011095466182578605
Position 540: 0.0001088975455240772
Position 490: 0.00010056838121318324
Position 311: 9.27078416489596e-05
Position 196: 8.7959841146962e-05
Position 6: 8.598971017788635e-05
Position 2060: 8.201763235226827e-05
Position 7151: 7.564214956124229e-05
Position 194: 6.645805736159108e-05
Position 1587: 5.1821156378314165e-05
Position 2084: 5.0139383796939666e-05
Position 13: 4.908430569902978e-05
Position 2284: 4.035781435927786e-05
Position 6567: 3.756838532859778e-05
Position 30: 3.705433167983517e-05
Position 242: 3.527453624658127e-05
Position 552: 3.477302727849665e-05
Position 108: 3.440845887338567e-05
Position 2462: 3.358672308270998e-05
Position 416: 3.3078360952128346e-05
Position 1442: 3.210890557729973e-05
Position 5591: 2.9538889400743582e-05
Position 503: 2.7693089695037964e-05
Position 1855: 2.6584684537516076e-05
