Gene = Cox20
index = 291
Annotated 5SS: [  79 2730 2876]
Annotated 3SS: [2614 2811 3350]
SMsplice 5SS: [  79 2730]
SMsplice 3SS: [2614 2811]
top_k =  1000
Partition function (log Z): -5.912432500288474

Sorted 5' Splice Sites (High to Low Probability):
Position 79: 0.9210044676199514
Position 2730: 0.7558497180608296
Position 1200: 0.16706042793088505
Position 548: 0.09274093714590113
Position 448: 0.05614009564107658
Position 746: 0.03973560784016386
Position 891: 0.03609479583672347
Position 2876: 0.03150769411959843
Position 3002: 0.031365899519335036
Position 644: 0.02039839774781412
Position 3166: 0.0197151997204068
Position 382: 0.01883834052390431
Position 1359: 0.012896476475105726
Position 2545: 0.0126569131325141
Position 1692: 0.010058122595745822
Position 1770: 0.007781466518151044
Position 2723: 0.007345906710592919
Position 2465: 0.006616615598780006
Position 2499: 0.004984988074051946
Position 3121: 0.004169825345494816
Position 116: 0.003697596925200166
Position 171: 0.0033686568841468797
Position 453: 0.0022548130252430616
Position 992: 0.0019282004400344157
Position 1696: 0.0018768092666815667
Position 2193: 0.0011996014974273248
Position 2903: 0.0008620348873280602
Position 1365: 0.0008591843350613152
Position 2914: 0.0007997832658008741
Position 1063: 0.0007545948289992855
Position 674: 0.0006754724857968466
Position 2734: 0.0006708827079550281
Position 2859: 0.0005393085331708886
Position 1774: 0.0005249952068055979
Position 1782: 0.0005227299029480949
Position 653: 0.0005173758616040976
Position 996: 0.000507076708703454
Position 1600: 0.00048596040984945056
Position 751: 0.00042081609768592133
Position 248: 0.00023926286435679118
Position 106: 0.00022309988641308842
Position 84: 0.0002042234805463851
Position 1176: 7.04679671524178e-05
Position 1261: 7.015492582223281e-05
Position 920: 6.89576948117704e-05
Position 2631: 6.293359058858937e-05
Position 679: 5.435780289565753e-05
Position 1253: 5.269343542672808e-05
Position 2897: 5.1856186593601836e-05
Position 1767: 4.795003972483301e-05
Position 2448: 4.7131875431765646e-05
Position 1081: 4.3636346611911e-05
Position 2699: 3.9758855218807896e-05
Position 289: 3.941398607432422e-05
Position 401: 3.58447527213173e-05
Position 803: 2.5846389704040637e-05
Position 342: 1.9817086750001978e-05
Position 123: 1.454127278276842e-05
Position 352: 1.2213574097740458e-05
Position 336: 1.184446054711124e-05
Position 219: 8.277798593701239e-06
Position 1249: 7.525318249614366e-06
Position 1417: 7.151442602748542e-06
Position 474: 6.737501888622927e-06
Position 142: 6.146954811838445e-06
Position 1313: 5.824771069570633e-06
Position 646: 5.341010492375787e-06
Position 1218: 4.2823332338179435e-06
Position 681: 4.096451442583525e-06
Position 34: 3.0260161641425087e-06
Position 691: 2.5629192306459055e-06
Position 600: 2.518966065467333e-06
Position 698: 1.141893463931261e-06
Position 228: 6.688154486376781e-07
Position 463: 6.51120731219243e-07
Position 187: 6.176332537955075e-07
Position 386: 5.593406917604557e-07
Position 559: 3.621984675189749e-07
Position 409: 2.9256712304468244e-07
Position 118: 2.0038742112184376e-07
Position 467: 4.886414411124835e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2811: 0.8814203715952251
Position 2614: 0.5480368530406328
Position 2587: 0.22022153885386844
Position 507: 0.05961659067094438
Position 3350: 0.05167705515338068
Position 431: 0.05107977822303894
Position 1105: 0.04624639942400992
Position 1149: 0.04620658526659657
Position 775: 0.04606175469211462
Position 3091: 0.035175643193639486
Position 531: 0.025102601232436413
Position 1080: 0.02216425931614205
Position 1548: 0.018270213614852898
Position 1192: 0.014535090490451515
Position 2868: 0.013520362507799599
Position 2781: 0.012143022268069507
Position 941: 0.011859632184786206
Position 2345: 0.011032493046974854
Position 1047: 0.009579072358796924
Position 2419: 0.008053543887098254
Position 2639: 0.007850412340226114
Position 1070: 0.007694879925729387
Position 3362: 0.007564428595560982
Position 2815: 0.007179588699215095
Position 3299: 0.006828586815656555
Position 2134: 0.006517742216805178
Position 579: 0.00647065233140634
Position 292: 0.006262089242952136
Position 2110: 0.004856277299291267
Position 1235: 0.004746522742405921
Position 2288: 0.004579710599817011
Position 447: 0.004409395267622648
Position 3165: 0.004243438286503985
Position 486: 0.00375425415254725
Position 1571: 0.0037381868996202204
Position 876: 0.003478457425945475
Position 150: 0.0033770843787275357
Position 163: 0.0031086437444381634
Position 1599: 0.002775967376170112
Position 884: 0.0024997580793613716
Position 2967: 0.0024437745838282025
Position 3314: 0.0021184347574579243
Position 2844: 0.002070851614971743
Position 2984: 0.001930735178055576
Position 170: 0.0017621705065455216
Position 2185: 0.0017502035223792003
Position 803: 0.0017104435595442628
Position 2756: 0.0016684345203800048
Position 2462: 0.001631189034922896
Position 2630: 0.0016181922568870217
Position 619: 0.0016009933639424595
Position 2690: 0.0015828966574629583
Position 1658: 0.001581109804119041
Position 3458: 0.0013082772655815611
Position 2897: 0.0011791928270630085
Position 3001: 0.0011674331527127917
Position 583: 0.0011381172650400998
Position 946: 0.0010810354142674204
Position 375: 0.0009706541079036929
Position 2443: 0.0009665227303870323
Position 2382: 0.0009568212440687889
Position 2623: 0.0008875130520745225
Position 3381: 0.0008150085348322864
Position 368: 0.0007375774897220676
Position 219: 0.0007175887205085804
Position 1154: 0.0006899420977477394
Position 2563: 0.0006808168476636709
Position 1695: 0.000592390663271476
Position 1014: 0.0005846072046902504
Position 3437: 0.0005843397735131393
Position 246: 0.0005734525905976575
Position 187: 0.0005391062319876011
Position 277: 0.00046898207209770455
Position 3535: 0.00046620568665975984
Position 784: 0.0003648165956940811
Position 179: 0.0003630462646387463
Position 639: 0.00034884017514364606
Position 3244: 0.0003200160813651613
Position 296: 0.0002871746656220642
Position 458: 0.00027457881963763477
Position 2464: 0.00027353926352959105
Position 559: 0.0002620203887989564
Position 3207: 0.0002618474854781064
Position 1027: 0.0002233476222611636
Position 2847: 0.000222988643387767
Position 352: 0.00019486267130642887
Position 600: 0.00017986081037642666
Position 434: 0.00017493309499448027
Position 1108: 0.00015635189483003916
Position 2359: 0.0001544392421409446
Position 1486: 0.0001526258000640637
Position 840: 0.00015205147223894665
Position 819: 0.00014635392081139382
Position 452: 0.0001428639252158535
Position 1390: 0.00012967847815343028
Position 379: 0.0001267912649978168
Position 962: 0.00012547739043985602
Position 2415: 0.00011541998899199499
Position 901: 0.00010875295704638106
Position 3423: 9.13898651882433e-05
Position 467: 7.586322414711156e-05
Position 2145: 7.152726665814554e-05
Position 1888: 6.987140328632557e-05
Position 740: 6.855680564096632e-05
Position 960: 5.865267764822388e-05
Position 1305: 5.642339430076337e-05
Position 1162: 5.360278861374838e-05
Position 628: 4.95707981410306e-05
Position 3148: 4.693346967617218e-05
Position 1289: 3.9905977239298745e-05
Position 1411: 3.9030326666600295e-05
Position 2166: 3.7060658442660225e-05
Position 956: 3.5361026857283334e-05
Position 1051: 3.528266577729078e-05
Position 2009: 3.386461024818089e-05
Position 891: 3.216072579191048e-05
Position 2264: 3.109881801350967e-05
Position 1909: 2.96576502373184e-05
Position 238: 2.9015844929509414e-05
Position 1633: 2.8017083040770467e-05
Position 2013: 2.5047604278421066e-05
Position 1843: 2.394860940956223e-05
Position 1024: 2.1465044933530287e-05
Position 1809: 1.8725312359648043e-05
Position 228: 7.173088864210641e-06
Position 307: 5.527771717387595e-06
Position 397: 5.22851207315443e-06
Position 327: 4.780064442949545e-06
Position 761: 4.4768454449798995e-06
Position 252: 4.202662097797468e-06
Position 329: 3.3847553759204184e-06
Position 478: 2.7240471993547945e-06
Position 401: 2.573156211992292e-06
Position 409: 2.291513196800303e-06
Position 653: 1.795364482294622e-06
Position 688: 1.016845729491503e-06
Position 1280: 9.925650890355728e-07
