Gene = Cytl1
index = 313
Annotated 5SS: [ 191 1888 2192]
Annotated 3SS: [1842 2062 3692]
SMsplice 5SS: [ 191 2192]
SMsplice 3SS: [2062 3692]
top_k =  1000
Partition function (log Z): 1.3498938566564855

Sorted 5' Splice Sites (High to Low Probability):
Position 191: 0.9980368423481775
Position 2192: 0.9966580605572457
Position 1906: 0.18805821963445704
Position 3805: 0.12476997255659024
Position 1888: 0.11504345602976758
Position 1910: 0.07129659992231017
Position 600: 0.06244612637860392
Position 1857: 0.049290984183263074
Position 1197: 0.037641885498906874
Position 1919: 0.037615096633887075
Position 749: 0.03559068621079005
Position 3781: 0.034506734841934665
Position 682: 0.025841377027008304
Position 3568: 0.024112211907618978
Position 3857: 0.01574460632230464
Position 624: 0.015350064875413467
Position 3371: 0.011013127853640704
Position 3428: 0.009176300089348643
Position 3272: 0.008871421524529254
Position 2404: 0.008182114463614186
Position 1914: 0.007943900630092203
Position 3512: 0.0073467858535685385
Position 3610: 0.005759500289565002
Position 695: 0.0040135038221603666
Position 1310: 0.0035698161659643794
Position 1720: 0.002997991807891784
Position 1034: 0.002716617623812158
Position 2642: 0.002708562597926165
Position 3990: 0.0018310701176702494
Position 588: 0.0017231221716986812
Position 3350: 0.0016820225133957114
Position 2614: 0.0016430045853334367
Position 3530: 0.0014213525445079145
Position 2196: 0.0013408487149637776
Position 3496: 0.0012612224742013874
Position 1067: 0.0011875838043688537
Position 1698: 0.0010274870865328225
Position 1180: 0.0008972554868941902
Position 3950: 0.0008806942969394276
Position 1732: 0.0007230946275858215
Position 3196: 0.0007212197632088417
Position 1969: 0.0006736472476459706
Position 3821: 0.0004787637641078471
Position 144: 0.0004636988259786738
Position 1980: 0.00042910002855370743
Position 886: 0.00042050977071648776
Position 1852: 0.00041356475505298395
Position 2161: 0.0003995740346774901
Position 1784: 0.0003921034467453235
Position 3202: 0.0003688868137080286
Position 1597: 0.0003639546859033538
Position 3824: 0.00029162751862620825
Position 3876: 0.0002741760644913563
Position 3133: 0.00026362521598896854
Position 3831: 0.00026179105615414827
Position 1930: 0.000248836872351323
Position 1724: 0.0002481837285727386
Position 1924: 0.0002390307838297919
Position 375: 0.00023612505702696334
Position 1621: 0.0002230836856322446
Position 3438: 0.0001631212618768232
Position 3754: 0.0001617288502124845
Position 3543: 0.0001598192891840417
Position 388: 0.00014678884242378372
Position 2150: 0.00014254468161739212
Position 2442: 0.00013155430161720087
Position 2438: 0.0001278398466449639
Position 2448: 0.0001237676565712574
Position 2587: 0.00011990383958305523
Position 2440: 0.00011982988692759076
Position 2446: 0.00011848207268380192
Position 2444: 0.00011740709982547652
Position 3212: 0.00010495873789354266
Position 3699: 9.950436543361565e-05
Position 3914: 9.18565985109408e-05
Position 796: 9.037639679011605e-05
Position 3487: 8.906557218400657e-05
Position 3395: 8.747400104324204e-05
Position 1778: 8.619938798793923e-05
Position 2450: 8.522076201569665e-05
Position 834: 8.094915858836682e-05
Position 1678: 7.561416347381176e-05
Position 945: 7.381607189412588e-05
Position 3183: 6.735626279054475e-05
Position 2452: 6.091019488497005e-05
Position 1019: 4.7542184939536795e-05
Position 468: 4.615089708431985e-05
Position 1985: 4.4738795801386164e-05
Position 74: 3.9507108119146204e-05
Position 363: 3.5696318117954185e-05
Position 4072: 3.4315484569131036e-05
Position 639: 3.2800603606140444e-05
Position 546: 3.236037217009989e-05
Position 458: 3.1240970401167414e-05
Position 1659: 3.094037114407729e-05
Position 1813: 2.946041058262347e-05
Position 1187: 2.7729751449860333e-05
Position 1764: 2.2979812794130514e-05
Position 1715: 2.1493166995068e-05
Position 959: 2.1230959326644126e-05
Position 986: 1.6560571192354463e-05
Position 1004: 1.6470867553331525e-05
Position 989: 1.6036456123033864e-05
Position 1793: 1.5612991248880912e-05
Position 13: 1.555987200621283e-05
Position 740: 1.5430043424654382e-05
Position 195: 1.488158555709686e-05
Position 4113: 1.2878160833272614e-05
Position 489: 1.1319826097043685e-05
Position 2454: 9.8788595215123e-06
Position 3402: 9.43496140914364e-06
Position 2220: 8.969902284469253e-06
Position 1001: 8.857960320030836e-06
Position 2006: 7.90512386314938e-06
Position 983: 7.811228541837932e-06
Position 1424: 7.649684471150986e-06
Position 2659: 7.636980768251751e-06
Position 974: 7.2121955392298925e-06
Position 971: 7.183965248628903e-06
Position 977: 7.126928802513506e-06
Position 2456: 6.902623935844403e-06
Position 980: 6.027357619719586e-06
Position 1654: 6.00361457807064e-06
Position 2458: 5.747053516129002e-06
Position 968: 5.656092579504156e-06
Position 440: 5.388259103727609e-06
Position 1429: 5.0981092182156475e-06
Position 2460: 4.98450653218789e-06
Position 2496: 4.077428820580436e-06
Position 3404: 4.074220635575257e-06
Position 3480: 3.6619911109704312e-06
Position 2397: 3.2580074416563974e-06
Position 1007: 2.4952018507859902e-06
Position 1010: 2.0169293088533824e-06
Position 2462: 1.9637523099665987e-06
Position 992: 1.7256939940217106e-06
Position 998: 1.714617126439097e-06
Position 995: 1.4415612643583004e-06
Position 65: 1.3244436357605534e-06
Position 100: 1.1518660707151763e-06
Position 95: 7.144135557542908e-07
Position 71: 5.260539385523841e-07
Position 68: 4.356230210068502e-07
Position 535: 4.2702796956570284e-07
Position 1303: 3.6181697397154237e-07
Position 537: 2.9179288832419894e-07
Position 52: 5.6267991362613586e-08
Position 31: 4.371438284848872e-08
Position 491: 1.9751674334814173e-08
Position 351: 1.77174770118969e-08
Position 2129: 1.3231539005151908e-08
Position 306: 8.671886022473308e-09
Position 2291: 5.3780794703834905e-09
Position 313: 2.979370398981642e-09
Position 962: 2.2451548008777633e-09
Position 1639: 2.2406340663739956e-09
Position 965: 2.200677549459182e-09
