Gene = Gtf2a2
index = 524
Annotated 5SS: [ 112 2861 4374 6966]
Annotated 3SS: [2741 4268 6838 9886]
SMsplice 5SS: [ 112 2861 4374 6966]
SMsplice 3SS: [2741 4237 6838 9886]
top_k =  1000
Partition function (log Z): -4.441445975820738

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9461742747722658
Position 6966: 0.8775644718846662
Position 2861: 0.7718536276447288
Position 4374: 0.6479046808225941
Position 4642: 0.5127399088672887
Position 2466: 0.3503140026811396
Position 4424: 0.229261284946174
Position 3388: 0.18743768899811908
Position 6269: 0.11960513190677245
Position 681: 0.10977847265330609
Position 7994: 0.10249126512040632
Position 1420: 0.06710453673815452
Position 8798: 0.05543863219750248
Position 4457: 0.03990505660545527
Position 6960: 0.027717349907956546
Position 2473: 0.023943686998468137
Position 8780: 0.023339807405210453
Position 774: 0.021636512232189303
Position 9241: 0.02126425189428509
Position 579: 0.017210006234606272
Position 1569: 0.016155079383405945
Position 6563: 0.012522572909921571
Position 2456: 0.01195189889453559
Position 8052: 0.010072374381163485
Position 160: 0.00999277499825048
Position 7148: 0.00903620077001166
Position 5136: 0.007528590105476957
Position 4702: 0.006110727390298952
Position 403: 0.006080283076935137
Position 6911: 0.0059242491330908755
Position 310: 0.005779732329780197
Position 599: 0.005767357706299676
Position 5974: 0.0051388808647454135
Position 6687: 0.0038266254870163155
Position 3776: 0.0038043069642611244
Position 3293: 0.00377423319587154
Position 2583: 0.003236248711355703
Position 397: 0.0031728023922914985
Position 7729: 0.0030218766714235714
Position 3239: 0.002894495366730956
Position 9245: 0.002620110764253144
Position 8548: 0.002254810256790015
Position 3361: 0.0021028574473792366
Position 1330: 0.002071006093153006
Position 2428: 0.0015684718586921628
Position 50: 0.0010746424090346746
Position 572: 0.0010184863787564755
Position 5119: 0.0009331048773785783
Position 609: 0.0009259162879283432
Position 1942: 0.0008847884206646014
Position 699: 0.0008430598670036903
Position 2889: 0.0008293307711575277
Position 3194: 0.0008143480915338696
Position 1043: 0.0007695430525220779
Position 6438: 0.0007439975675273891
Position 391: 0.0006681600447742514
Position 9408: 0.0006385436643213632
