Gene = H2afz
index = 531
Annotated 5SS: [ 210  724 1147 1654]
Annotated 3SS: [ 645 1032 1523 1898]
SMsplice 5SS: [ 724 1147 1654]
SMsplice 3SS: [1070 1523 1898]
top_k =  1000
Partition function (log Z): 0.07879658673722689

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9727795514186435
Position 1147: 0.9089248416829311
Position 724: 0.49671377479112416
Position 210: 0.47343317318790756
Position 200: 0.10768749733654984
Position 1474: 0.029061111031666243
Position 653: 0.016942536153592362
Position 117: 0.007541226882442939
Position 748: 0.006779560510386499
Position 1563: 0.006412870717345077
Position 1157: 0.006322339106317956
Position 215: 0.005300151351721966
Position 1524: 0.0034546069523724186
Position 1648: 0.001577675544443689
Position 728: 0.0014529223501638302
Position 2022: 0.0010583066189828291
Position 348: 0.0010356507947400313
Position 1412: 0.0010099938626304912
Position 154: 0.0007905473557218208
Position 896: 0.0005946579877591646
Position 387: 0.0005503103769519517
Position 168: 0.00044035508370000295
Position 271: 0.0004268988654541849
Position 1739: 0.00034612981829235497
Position 183: 0.0003396761597541761
Position 26: 0.00032369516978362356
Position 1435: 0.0003216848510081447
Position 1651: 0.00029206901620757163
Position 222: 0.00026890511207130943
Position 2038: 0.0002558293958485297
Position 314: 0.0002453459428786914
Position 1165: 0.00021390357187498705
Position 1732: 0.0002081652997513648
Position 917: 0.00019512548844005366
Position 130: 0.00019384736403473958
Position 1131: 0.00017320391640292813
Position 592: 0.00016491627460177627
Position 1314: 0.00014382141308420465
Position 459: 0.00011968249366003464
Position 70: 0.00011838342897714692
Position 327: 0.00011836720310635006
Position 2018: 0.00011565892656350635
Position 1752: 0.00011528954107515494
Position 1341: 0.0001151326859921038
Position 855: 0.00011177149143721887
Position 1354: 0.00010013082966052402
Position 2190: 8.673628527958357e-05
Position 921: 7.281180061191798e-05
Position 2193: 7.01337931269409e-05
Position 1363: 6.706749049687632e-05
Position 1218: 6.545525410055348e-05
Position 306: 6.344747172743041e-05
Position 2071: 6.279179910671304e-05
Position 1800: 6.040454523057917e-05
Position 867: 5.5034569660665375e-05
Position 1658: 5.236003125774549e-05
Position 1366: 4.5602844882775634e-05
Position 1199: 4.434608573006897e-05
Position 694: 4.2874088230761886e-05
Position 1570: 4.2029412670270684e-05
Position 568: 3.7560091539830735e-05
Position 1453: 3.346050315314552e-05
Position 1110: 2.9595566422294925e-05
Position 1811: 2.7381259318787585e-05
Position 1286: 2.5864292969670464e-05
Position 2089: 2.44805615625729e-05
Position 1003: 2.3162180133674517e-05
Position 105: 2.2448599048812924e-05
Position 983: 1.98092568072462e-05
Position 1713: 1.8715180908918332e-05
Position 2011: 1.683455931084406e-05
Position 1955: 1.647874117490446e-05
Position 1316: 1.4979884841173668e-05
Position 44: 1.409244910840355e-05
Position 830: 1.1851112297462022e-05
Position 1007: 1.1370757525009764e-05
Position 823: 1.0571000502490652e-05
Position 900: 9.036349216574454e-06
Position 1603: 8.657326189501686e-06
Position 764: 7.458530808948809e-06
Position 743: 7.376010628171375e-06
Position 999: 7.111277475259729e-06
Position 884: 6.3825823201017065e-06
Position 783: 5.999054874863757e-06
Position 2322: 5.633400090127597e-06
Position 828: 5.391512098058402e-06
Position 1871: 4.991649351674389e-06
Position 2046: 4.633474766214213e-06
Position 934: 4.344264851363265e-06
Position 1835: 4.1083064639678465e-06
Position 1431: 4.070017181376808e-06
Position 350: 2.8156088195030005e-06
Position 2197: 2.555023690610065e-06
Position 1787: 2.4367378143399068e-06
Position 2136: 2.0361798244818624e-06
Position 804: 1.991659685636199e-06
Position 1108: 1.9700565869345516e-06
Position 504: 1.6181416628257571e-06
Position 1415: 1.4066235178234713e-06
Position 1478: 1.2852195738209703e-06
Position 898: 9.459233182838962e-07
