Gene = Clns1a
index = 270
Annotated 5SS: [  236  9092 15165 16101 17447 19906]
Annotated 3SS: [ 8954 15065 15992 17272 19816 21584]
SMsplice 5SS: [  236  7910 13817 13978 15165 16101 17447 19906]
SMsplice 3SS: [ 7711 13670 13919 15065 15992 17138 19816 21584]
top_k =  1000
Partition function (log Z): 6.059945896505456

Sorted 5' Splice Sites (High to Low Probability):
Position 236: 0.9848592228034533
Position 16101: 0.9811430435577301
Position 19906: 0.9732669649240226
Position 15165: 0.9697138295621803
Position 7910: 0.9456352882791991
Position 17447: 0.7676277711055107
Position 13978: 0.7387783814463752
Position 13817: 0.6746267687582513
Position 9092: 0.6257090547173693
Position 421: 0.4281766119907772
Position 5840: 0.4163549792460653
Position 21748: 0.23476229544288246
Position 8322: 0.21964727499164882
Position 15461: 0.1586410031172112
Position 10703: 0.129178948293498
Position 1547: 0.10877058692654283
Position 3920: 0.10607167359909687
Position 1795: 0.09091681622915873
Position 3473: 0.0698433056203109
Position 19754: 0.06581545507991286
Position 5504: 0.05910349703791653
Position 20966: 0.04819719256453312
Position 15295: 0.042036944641335075
Position 17431: 0.036958600650334114
Position 21765: 0.03570040721987919
Position 19251: 0.034606877522574665
Position 7511: 0.03308388688950401
Position 19552: 0.03276336085796753
Position 2178: 0.0307372147784555
Position 18934: 0.026853471409174892
Position 5054: 0.025645598802920052
Position 15381: 0.024105483625895784
Position 1594: 0.018374862783869295
Position 1299: 0.016031069826521124
Position 7080: 0.015900513295230456
Position 241: 0.013060507482588257
Position 2194: 0.012506625160251314
Position 18585: 0.012122563497486563
Position 12406: 0.01141607053589556
Position 15721: 0.01107825046476944
Position 21372: 0.011032640769211892
Position 1103: 0.011011335077073458
Position 18301: 0.009158439080487872
Position 18312: 0.008793863608751755
Position 1997: 0.00863627647687519
Position 15349: 0.008384265261534293
Position 17386: 0.0069353157603453345
Position 16538: 0.006260970423955263
Position 21727: 0.005869376480775276
Position 21249: 0.005720899466091703
Position 4636: 0.005635427303170643
Position 16081: 0.005607021383849843
Position 20705: 0.005478836889430035
Position 7459: 0.0049823241193355655
Position 19609: 0.00470853929595387
Position 14656: 0.00366708054611037
Position 16105: 0.0036525289061532505
Position 14904: 0.0035580029214362548
Position 19994: 0.003509980685399271
Position 18660: 0.003162586981065394
Position 15175: 0.0024485892120671444
Position 1195: 0.0024348314954697565
Position 16337: 0.0023835654258071697
Position 8475: 0.0023604642537185406
Position 16288: 0.0023387041019637023
Position 15314: 0.002111019663460761
Position 14742: 0.002072518539212788
Position 1191: 0.0020276411744903763
Position 15356: 0.002022408313310183
Position 10650: 0.0020172734484149345
Position 18245: 0.001968875609097689
Position 14438: 0.001904418107937764
Position 14699: 0.0018946756679170899
Position 15560: 0.0018432236844401634
Position 16182: 0.0017758933553886425
Position 15171: 0.0017587581536351888
Position 20712: 0.0016768646169992231
Position 10245: 0.0016502282275590752
Position 15829: 0.0015337420382824814
Position 644: 0.0015229449441182246
Position 1207: 0.001285815161582475
Position 550: 0.0011873891600964815
Position 20173: 0.001164830117368264
Position 15447: 0.0010707750206518164
Position 1187: 0.001039080373082185
Position 15640: 0.0010218473275924538
Position 15394: 0.0010064649371937797
Position 522: 0.0009608765578835317
Position 15494: 0.0007750879593701751
Position 9073: 0.0007347193122616387
Position 11159: 0.0006829338858525877
Position 3451: 0.0006600064550761222
Position 15157: 0.0006255896981500972
Position 1113: 0.0006077618187411102
Position 10207: 0.0005487831934365221
Position 17651: 0.0005198360258736995
Position 19081: 0.0005148407469769983
Position 18549: 0.0004889607772941844
Position 509: 0.0004612784440775074
Position 1012: 0.00038815272724402835
Position 15439: 0.0003738546867682642
Position 16688: 0.00037181602272920184
Position 16088: 0.0003629049482512652
Position 82: 0.00033401337137326377
Position 66: 0.00030252303038863726
Position 10696: 0.00029894560346557895
Position 15150: 0.0002729337822218793
Position 9096: 0.0002515241449387374
Position 1004: 0.0002440515814481669
Position 1211: 0.0002170467062540231
Position 686: 0.00020868768122566745
Position 490: 0.00020734076713219563
Position 21909: 0.00020270756286108543
Position 21642: 0.00014145034590845595
Position 16522: 0.00011663256641212763
Position 16130: 0.0001132330989180041
Position 3768: 0.00010712297714598324
Position 394: 0.00010116630984728603
Position 433: 6.845027947492035e-05
Position 16146: 6.562557771587581e-05
Position 16875: 6.428096118995168e-05
Position 1800: 5.834791154155316e-05
Position 454: 5.494799433585946e-05
Position 16017: 5.4431273005568226e-05
Position 15400: 5.026750034502144e-05
Position 286: 4.3470360001422724e-05
Position 21310: 4.167615945137425e-05
Position 20960: 4.098052434706364e-05
Position 16763: 3.491124758106271e-05
