Gene = Dusp23
index = 351
Annotated 5SS: [347]
Annotated 3SS: [1135]
SMsplice 5SS: [347]
SMsplice 3SS: [2036]
top_k =  1000
Partition function (log Z): -9.866234732771243

Sorted 5' Splice Sites (High to Low Probability):
Position 347: 0.6365032361652181
Position 359: 0.19141451937173248
Position 860: 0.16973877005741378
Position 1493: 0.08411236382583791
Position 1074: 0.05828029731105459
Position 183: 0.041240909554289266
Position 1273: 0.0351675170783327
Position 740: 0.031007687303220108
Position 458: 0.002874490221561981
Position 970: 0.00275423004859568
Position 637: 0.0023829639183463995
Position 1943: 0.0020340755207596257
Position 1390: 0.0018696495321287876
Position 1909: 0.0018332010800691874
Position 197: 0.0016616878541019918
Position 185: 0.001640081694219207
Position 1406: 0.0015619320682401263
Position 39: 0.001372336597135469
Position 541: 0.0013157438120679332
Position 445: 0.0012725610998653156
Position 398: 0.0011664407053117193
Position 2063: 0.0009873888604127175
Position 18: 0.0008592817184205861
Position 1766: 0.0008303932077770888
Position 430: 0.0007391350935315125
Position 64: 0.0007195685460531861
Position 228: 0.0005046958946748228
Position 1300: 0.00044146412118975867
Position 615: 0.0004189714919626351
Position 987: 0.00035976772585733245
Position 110: 0.0003301108030971103
Position 1062: 0.00032678741346339334
Position 419: 0.00032201641612064803
Position 286: 0.00026969644384337307
Position 139: 0.0002308947988215513
Position 662: 0.00020821784413041698
Position 199: 0.00017961750259937526
Position 531: 0.0001705972202676565
Position 1067: 0.00016956465200402716
Position 745: 0.00013557052078501302
Position 476: 0.00013301811713913842
Position 237: 0.00011913730643187389
Position 311: 0.0001164665376320642
Position 1866: 0.00011551352351568475
Position 320: 0.00010995128817340906
Position 166: 9.923359195902222e-05
Position 922: 8.86463200852062e-05
Position 1292: 8.241961006779234e-05
Position 932: 7.790829218204092e-05
Position 1024: 7.066504381605104e-05
Position 1017: 6.71788331767932e-05
Position 567: 6.70875344363588e-05
Position 1432: 6.644270342139283e-05
Position 1380: 6.403459082308194e-05
Position 1199: 5.296863802490479e-05
Position 1531: 3.723722922689984e-05
Position 864: 2.9607855981477258e-05
Position 1088: 2.5249530957698623e-05
Position 601: 1.6734859959666993e-05
Position 754: 1.2566203929290529e-05
Position 557: 9.850685344758525e-06
Position 645: 9.42922314144011e-06
Position 471: 6.771014035187597e-06
Position 769: 4.525571540705631e-06
Position 1069: 4.328273223298539e-06
Position 86: 2.229553804839005e-06
Position 584: 1.159160251007295e-06
Position 1043: 7.238030397848699e-07
Position 1121: 2.1846074820349588e-07
Position 509: 1.8885860660026923e-07
Position 534: 1.3379583014694117e-07
Position 562: 1.2208008764391166e-07
Position 689: 4.109908393895976e-08
Position 1878: 2.9488904498702406e-08
Position 825: 9.434234339301284e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2036: 0.4333447309646079
Position 1135: 0.21216534270390694
Position 853: 0.14892518290297613
Position 1160: 0.07706164144956697
Position 1405: 0.049871363697524144
Position 1907: 0.03640319779803341
Position 904: 0.03294586835577406
Position 1223: 0.02869122666027096
Position 298: 0.022429146474586492
Position 2107: 0.019617580985805738
Position 525: 0.018731250854711484
Position 1869: 0.016178983592928315
Position 879: 0.01611456201939586
Position 792: 0.013775646799557714
Position 1259: 0.013586759267523946
Position 1448: 0.013224101166023466
Position 681: 0.012221840292186032
Position 1187: 0.01201646902323562
Position 1035: 0.010119523935549416
Position 2150: 0.009356107451474888
Position 1755: 0.00910316829435117
Position 2056: 0.007883938648855249
Position 1121: 0.0076161449360749554
Position 2062: 0.00731315831755354
Position 684: 0.006326422524584336
Position 1466: 0.005879533413036703
Position 1226: 0.004616333495891248
Position 581: 0.0031512885643844176
Position 724: 0.003099112697507588
Position 1367: 0.0027727519070582423
Position 1811: 0.0026354512415642886
Position 1204: 0.002023506922982977
Position 509: 0.0019481672067022152
Position 1626: 0.001778273587415403
Position 1841: 0.0016231724815401062
Position 1207: 0.0015828322525082707
Position 830: 0.0014042897236653412
Position 1937: 0.0012936833501058867
Position 1282: 0.0012519332581555202
Position 530: 0.0010501182651764989
Position 1838: 0.0009034033850066346
Position 884: 0.0008893522374585531
Position 769: 0.0007494269890258975
Position 1432: 0.0005907226665735037
Position 1435: 0.0005876116286697154
Position 1300: 0.00048269555693171234
Position 228: 0.0004658002828717379
Position 820: 0.00038665474686801345
Position 1715: 0.0003739440747403298
Position 943: 0.0003393817042557004
Position 1659: 0.0003362003576614119
Position 1006: 0.00024408154719886746
Position 1808: 0.00024211984348652577
Position 181: 0.0002050845452737812
Position 913: 0.00020170247105096373
Position 1672: 0.00019481941048032849
Position 2113: 0.00018284769302696484
Position 528: 0.00017878005589296375
Position 464: 0.00014015911106153882
Position 1309: 0.0001385443641179709
Position 736: 0.00011495848734971152
Position 557: 0.00011301331043540339
Position 486: 0.00011206454014420268
Position 739: 0.00011182947765002746
Position 166: 0.00010737367285149329
Position 234: 9.65965593421906e-05
Position 544: 8.81983701395368e-05
Position 733: 8.293714524764858e-05
Position 1757: 7.428917881472157e-05
Position 1914: 7.326688048512968e-05
Position 1675: 7.125669232323997e-05
Position 1817: 6.394959536780011e-05
Position 973: 6.34721985156258e-05
Position 2071: 6.181446699386265e-05
Position 1056: 6.180131841402788e-05
Position 1285: 6.053232008817047e-05
Position 1634: 5.751926478918704e-05
Position 634: 5.357687558360882e-05
Position 952: 5.277852641539956e-05
Position 745: 4.6482285732216926e-05
Position 947: 4.530915789561584e-05
Position 1083: 4.3261149090539405e-05
Position 589: 3.5284243532972817e-05
Position 1527: 3.113062718744793e-05
Position 922: 2.8416739803089717e-05
Position 584: 2.6355084661768143e-05
Position 1078: 2.4680328613678248e-05
Position 651: 1.9051983659920103e-05
Position 211: 1.8678792792320493e-05
Position 316: 1.7668694367318998e-05
Position 1333: 1.62550188936439e-05
Position 551: 1.4332127716505553e-05
Position 1288: 1.1478824919244212e-05
Position 636: 7.714428436714045e-06
Position 1017: 4.719822491206256e-06
Position 605: 4.286142702301177e-06
Position 615: 2.961489429052246e-06
Position 959: 2.6863351690215324e-06
Position 567: 2.3001588583076488e-06
Position 864: 1.9256060442995466e-06
Position 997: 1.2573026835623629e-06
Position 964: 1.0337311959065043e-06
Position 653: 1.0063686502906274e-06
Position 593: 9.910155503362249e-07
Position 541: 5.805830074377783e-07
Position 1058: 4.2174916936080917e-07
Position 346: 3.016376884142266e-07
Position 987: 2.877833490045123e-07
Position 622: 1.8731442221820384e-07
Position 555: 1.818552536085019e-07
Position 413: 1.6529262029065022e-07
Position 328: 1.0710445835430794e-07
Position 344: 1.0333174192654826e-07
Position 351: 1.0326525709572473e-07
Position 471: 8.38567958605895e-08
Position 553: 2.779190320089783e-08
Position 436: 2.7430486083928135e-08
Position 428: 2.372134881845972e-08
Position 367: 2.184431628968428e-08
Position 369: 1.3055690714364747e-09
Position 419: 7.497270595368814e-10
Position 373: 4.7025281135681306e-11
Position 390: 1.519338044975284e-11
Position 363: 1.3320658703492472e-11
Position 438: 6.529680933559981e-12
Position 375: 5.217039690198131e-12
Position 430: 4.3366793564077196e-12
Position 398: 1.1580665662357168e-12
