Gene = Fuom
index = 416
Annotated 5SS: [  97  803 1072 1314 2525]
Annotated 3SS: [ 733 1000 1214 2450 5363]
SMsplice 5SS: [  97  803 1072 1314 2525]
SMsplice 3SS: [ 733 1000 1214 2450 5363]
top_k =  1000
Partition function (log Z): 7.200733890323454

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9827882846468009
Position 1314: 0.961686899808546
Position 803: 0.9364414296114113
Position 2525: 0.7439337781982353
Position 97: 0.7060026276861464
Position 4635: 0.19836786825686104
Position 2601: 0.1830157534628267
Position 5115: 0.1735541930086812
Position 323: 0.14613444831988745
Position 609: 0.10043651555019628
Position 2872: 0.09863548317061602
Position 5126: 0.06034044321236099
Position 823: 0.05812714884906752
Position 2945: 0.052833134954013324
Position 136: 0.043160872996550505
Position 3530: 0.04067680716295828
Position 394: 0.038626264973991735
Position 1398: 0.028030223278729137
Position 5217: 0.027825549446027418
Position 2622: 0.021107472842005974
Position 3940: 0.017227320883699444
Position 164: 0.01683313300192495
Position 3039: 0.01538552931852026
Position 39: 0.01347268187408612
Position 275: 0.012053410369826984
Position 670: 0.01169581908037363
Position 4393: 0.008656002659363574
Position 1593: 0.00831547981284371
Position 147: 0.0064082019836822135
Position 4108: 0.0063406939888290435
Position 304: 0.005195405073068027
Position 3079: 0.004196037935780183
Position 4743: 0.003975246299740786
Position 1107: 0.003937841133169636
Position 4476: 0.0037561236273212922
Position 4349: 0.0036854342965594545
Position 665: 0.003325137055373305
Position 1963: 0.003222815107928354
Position 2918: 0.0030848031882595244
Position 1370: 0.0030501309781055946
Position 2561: 0.002912346131098527
Position 1309: 0.0026811195672982683
Position 1820: 0.002346551797814052
Position 2058: 0.002233539721555928
Position 895: 0.0022321285093178903
Position 2174: 0.0019575775812889374
Position 310: 0.0019502890222218977
Position 389: 0.001616181574996354
Position 4702: 0.0014771267616306267
Position 3425: 0.001274105587958312
Position 4711: 0.0012423070768746384
Position 4173: 0.0012055967566735818
Position 3650: 0.000954457638891529
Position 3147: 0.0009299289018492432
Position 1682: 0.0008003566113716549
Position 4088: 0.0007426157582451169
Position 3910: 0.0007334589520133826
Position 2548: 0.0006296711958806336
Position 1544: 0.0005971931866844894
Position 567: 0.0005426658577793588
Position 1344: 0.0005094036997463139
Position 3357: 0.000473896496277703
Position 1561: 0.000445887916347289
Position 1524: 0.0003922754506739715
Position 3381: 0.0003871712689632545
Position 845: 0.00037274124685331866
Position 5512: 0.00036378321023478396
Position 3709: 0.00034847003053661564
Position 2341: 0.00033863847702160553
Position 1662: 0.0003156664167684978
Position 584: 0.0002859646356143019
Position 169: 0.00028221997526992006
Position 2529: 0.000244371295377769
Position 44: 0.0002271059593778
Position 1804: 0.00022507352526141084
Position 1780: 0.00022368316506751228
Position 3103: 0.000219590045889199
Position 613: 0.00019384586037283447
Position 3713: 0.00019036207314030741
Position 1934: 0.0001591985279995949
Position 3656: 0.00014126611365184707
Position 903: 0.00013123262675521745
Position 3010: 0.00012839865272874123
Position 1507: 0.00012709070975430652
Position 336: 0.00012293262949198978
Position 860: 0.00012160115774835045
Position 1797: 0.00012099086633677145
Position 1481: 0.00011127466952684094
Position 1942: 0.00010802701133936444
Position 386: 0.0001075989163892882
Position 638: 0.00010569208958907518
Position 945: 0.00010266199340771144
Position 854: 0.00010195512763080926
Position 1318: 9.031407761798634e-05
Position 1756: 8.321004367593168e-05
Position 865: 8.132854957822355e-05
Position 1740: 6.62870041290822e-05
Position 1279: 5.3897685282346754e-05
Position 15: 4.799954735405846e-05
Position 620: 4.6588129621247426e-05
Position 774: 3.620899248660728e-05
Position 934: 3.612019424060877e-05
Position 1750: 3.30114032460687e-05
Position 2420: 3.253232334825033e-05
Position 647: 3.230235017493237e-05
Position 59: 3.125395776886405e-05
Position 374: 2.9387981875425165e-05
Position 1994: 2.13867436354607e-05
Position 657: 1.985969337888442e-05
Position 56: 1.7852622764801477e-05
Position 626: 1.77189033791946e-05
Position 640: 1.1753617539459574e-05
Position 1690: 8.34061925937063e-06
Position 1377: 7.975697738574916e-06
Position 1485: 7.93869344642095e-06
Position 1769: 6.086093161229442e-06
Position 183: 5.733504821588707e-06
Position 2491: 5.69503730353806e-06
Position 920: 5.068285031178248e-06
Position 1178: 4.172688762018846e-06
