Gene = Ostc
index = 785
Annotated 5SS: [ 208 3495 6129]
Annotated 3SS: [ 3400  5930 12965]
SMsplice 5SS: [ 208 3495 6129]
SMsplice 3SS: [ 3400  5930 13343]
top_k =  1000
Partition function (log Z): -7.895886012141451

Sorted 5' Splice Sites (High to Low Probability):
Position 3495: 0.9686421165604158
Position 6129: 0.9621955905483641
Position 208: 0.715242525344996
Position 5770: 0.14336992186136524
Position 177: 0.08803760794288698
Position 183: 0.07169242440753536
Position 7208: 0.058821875377051275
Position 7896: 0.03984549674542032
Position 231: 0.03963114205830263
Position 8337: 0.031151711187558596
Position 8777: 0.030303324943572817
Position 10134: 0.02933779037870094
Position 167: 0.023094593853969288
Position 12310: 0.022604740518614382
Position 1612: 0.018135133898582855
Position 5805: 0.01731572984538361
Position 7586: 0.01643310817376737
Position 778: 0.016299049073362843
Position 5638: 0.01577929788083488
Position 2663: 0.01440161040873808
Position 4901: 0.01202998274100286
Position 165: 0.010949578290088984
Position 11269: 0.008956846951684569
Position 284: 0.008760538585553056
Position 10524: 0.008041894901368219
Position 11467: 0.007467200192290566
Position 24: 0.007030336887490182
Position 6314: 0.006940657405665688
Position 3581: 0.006800477102713469
Position 8740: 0.006654354270225538
Position 12118: 0.006390482908992051
Position 5440: 0.006232376187551175
Position 2323: 0.0058887999381452595
Position 837: 0.005794474975059243
Position 1688: 0.005555335870775865
Position 12273: 0.005392722953543877
Position 11713: 0.005012911393850318
Position 4040: 0.004925759106917301
Position 451: 0.004610747863571308
Position 8435: 0.004158627171801909
Position 4589: 0.004101730304759433
Position 12247: 0.004098543235787941
Position 628: 0.004097303304655698
Position 4296: 0.004077972888923545
Position 4907: 0.0037863254782255894
Position 8271: 0.003574327547760402
Position 3537: 0.0031737840983027447
Position 5326: 0.003149169378029725
Position 141: 0.0030982111252636844
Position 5388: 0.0029813831061247164
Position 4645: 0.002704996237102145
Position 11729: 0.002597177485433085
Position 3999: 0.00225744139392121
Position 9920: 0.0021483943698118045
Position 1887: 0.00200601621594994
Position 10889: 0.001955673006137549
Position 7243: 0.0017837226281562733
Position 5799: 0.0015716877775582235
Position 489: 0.0015573318691370476
Position 662: 0.0015242241713539287
Position 3522: 0.0013301256004654984
Position 3826: 0.0009329388131472942
Position 869: 0.0008508613158857669
Position 5786: 0.0008496777864209046
Position 369: 0.0008169680771209639
Position 315: 0.0008016500951306039
Position 10941: 0.0007697414304916898
Position 3785: 0.0007444053356624057
Position 535: 0.000738920584703821
Position 226: 0.0007253767250476686
Position 1125: 0.0006454811039741529
Position 5560: 0.0005955280479964916
Position 152: 0.0005875724608450288
Position 939: 0.0005617509893472332
Position 4291: 0.0005419609010606447
Position 1801: 0.0004939292430154299
Position 219: 0.0004338542064175475
Position 6549: 0.00041059001777544546
Position 4278: 0.0004026730162053017
Position 1002: 0.00039380013079601646
Position 1731: 0.0003802945149853172
Position 909: 0.0003740298091746495
Position 80: 0.0002993607031765191
Position 3629: 0.0002935326383110541
Position 3861: 0.00029205345287670946
Position 2455: 0.0002800066972346057
Position 1908: 0.00026099197711878467
Position 5382: 0.0002602863355397339
Position 2563: 0.00025285694117301087
Position 1796: 0.00024474613081065794
Position 1712: 0.00023901453668604273
Position 1452: 0.0002375171409865306
Position 5322: 0.00021240216256747613
Position 2949: 0.00020598491477450025
Position 6656: 0.00019899058544130285
Position 660: 0.000189942572321278
Position 5658: 0.00018765914547165356
Position 3475: 0.00018401102506240399
Position 378: 0.00016978181653645385
Position 87: 0.00016386181787433432
Position 611: 0.00015870265024353936
Position 1501: 0.00015674449568253468
Position 1449: 0.0001506565336907203
Position 1658: 0.00014678453751438124
Position 7941: 0.0001361224377563914
Position 7291: 0.00010432923216219238
Position 3598: 9.857598969817333e-05
Position 180: 9.700670382129065e-05
Position 5018: 9.690512763316567e-05
Position 5183: 9.489482874747897e-05
Position 6133: 9.47362451533478e-05
Position 4898: 9.050203725377031e-05
Position 4337: 8.481146774279721e-05
Position 5580: 8.378077918014232e-05
Position 1169: 8.254480411474564e-05
Position 1943: 8.157731696614588e-05
Position 531: 7.643763715075087e-05
Position 3016: 7.132489734807806e-05
Position 1437: 7.118140998774661e-05
Position 874: 7.02388743830639e-05
Position 455: 6.877257985403364e-05
Position 1507: 6.373563052593192e-05
Position 13: 6.123951023560327e-05
Position 7806: 5.966163557229921e-05
Position 1663: 5.9658535444118735e-05
Position 442: 5.955156568144447e-05
Position 263: 5.599401887398306e-05
Position 6048: 5.144337190917685e-05
