Gene = Rita1
index = 903
Annotated 5SS: [ 316  610 1212]
Annotated 3SS: [ 514  859 2626]
SMsplice 5SS: [ 316 1212]
SMsplice 3SS: [ 859 2445]
top_k =  1000
Partition function (log Z): -4.671046709412301

Sorted 5' Splice Sites (High to Low Probability):
Position 1212: 0.7183003613213217
Position 316: 0.6287294450767695
Position 201: 0.3229407135563725
Position 610: 0.1771781488245573
Position 3237: 0.1377661054251436
Position 1148: 0.11761551448210207
Position 643: 0.09816126717479016
Position 189: 0.03956391246246838
Position 1467: 0.02850394528370622
Position 2524: 0.0234869237396703
Position 1217: 0.017518322828381217
Position 988: 0.00987682637300042
Position 2563: 0.008704837677115084
Position 2520: 0.006425223466044233
Position 47: 0.0058130424934840766
Position 715: 0.004198785849904145
Position 1369: 0.0037260547534819456
Position 1841: 0.0031881235862821116
Position 1088: 0.0027735060620099334
Position 3116: 0.0027226248855503196
Position 1616: 0.002259958644231488
Position 1503: 0.002006983589195372
Position 2507: 0.0014556641103741041
Position 1009: 0.001302534456479012
Position 971: 0.001106503747002136
Position 382: 0.0007860612976393615
Position 909: 0.0007404851364301986
Position 3168: 0.0004723412335401478
Position 1078: 0.0004306762915009764
Position 1421: 0.00038863250526203905
Position 293: 0.000298155737762815
Position 582: 0.0002686878419183277
Position 1499: 0.00022029617681746037
Position 732: 0.00020811326412089524
Position 633: 0.00020386968189704647
Position 268: 0.0001675544015640815
Position 603: 0.0001627639931925427
Position 10: 0.00016002155025034447
Position 921: 0.00014730025896675256
Position 102: 0.00014719069599982999
Position 2568: 0.00011913765723988705
Position 3049: 0.00011581698072546104
Position 2495: 0.00010179763001008147
Position 1611: 8.705812947860181e-05
Position 699: 8.432805425023459e-05
Position 877: 8.350704345379396e-05
Position 335: 7.93543086282854e-05
Position 2835: 7.484345575940759e-05
Position 257: 7.17952316164062e-05
Position 647: 6.28078528869244e-05
Position 438: 5.6767586674926285e-05
Position 753: 4.001128689972661e-05
Position 575: 3.6863307166396054e-05
Position 17: 3.35415704997889e-05
Position 57: 2.7848326821666333e-05
Position 881: 2.702606869327452e-05
Position 563: 2.339168595742517e-05
Position 445: 1.9336680901183448e-05
Position 83: 1.876411242980628e-05
Position 735: 1.628782677874547e-05
Position 26: 1.3816515320477426e-05
Position 717: 1.3815651317711699e-05
Position 424: 1.0254062062222727e-05
Position 166: 9.788526717571211e-06
Position 205: 7.873376727803723e-06
Position 678: 4.23887343246235e-06
Position 413: 3.878043686384303e-06
Position 55: 3.533200158307579e-06
Position 1896: 2.806305720707342e-06
Position 1911: 2.5683308745434153e-06
Position 1966: 2.420625022748537e-06
Position 2114: 2.265732943167588e-06
Position 1865: 2.2597657856342047e-06
Position 63: 2.248591775821904e-06
Position 1492: 2.222217566326727e-06
Position 1605: 2.2084001737034426e-06
Position 1633: 2.173215867965299e-06
Position 2196: 2.159168553176274e-06
Position 1904: 1.8565274286518625e-06
Position 373: 1.7232169577879063e-06
Position 1579: 1.6446803605556737e-06
Position 1671: 1.5397029085326842e-06
Position 680: 1.430264358983622e-06
Position 568: 1.3973489666904417e-06
Position 1152: 1.241312871280867e-06
Position 219: 1.172114619036696e-06
