Gene = Pth2
index = 874
Annotated 5SS: [197 427]
Annotated 3SS: [295 602]
SMsplice 5SS: [197]
SMsplice 3SS: [295]
top_k =  1000
Partition function (log Z): -6.134647793087213

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.7502153838158073
Position 427: 0.5760382331306549
Position 152: 0.11513976725482548
Position 146: 0.07618557460884387
Position 167: 0.04871911266529245
Position 396: 0.02344494549070098
Position 417: 0.010369334013393914
Position 431: 0.0031767285048242663
Position 209: 0.002767703369958578
Position 296: 0.0009690623817702937
Position 97: 0.0008611103108244575
Position 204: 0.000849019940351962
Position 438: 0.0008363654152159072
Position 433: 0.00039777494215317784
Position 92: 0.00022700392924250546
Position 228: 0.00020292440990835265
Position 87: 0.00015347862011049794
Position 398: 0.00013788560202082398
Position 525: 0.00011892412599287153
Position 18: 0.00010342601572382233
Position 368: 0.00010142889103155878
Position 340: 7.422940864468273e-05
Position 286: 4.3782982357618254e-05
Position 125: 3.4302422730665066e-05
Position 421: 2.9076956126944542e-05
Position 316: 2.4479890463831896e-05
Position 8: 2.1437054172133933e-05
Position 220: 1.8783934385744043e-05
Position 22: 1.3219422638181657e-05
Position 558: 9.510911505034261e-06
Position 509: 6.724359009496585e-06
Position 565: 5.415212864053671e-06
Position 419: 4.963192057191399e-06
Position 534: 4.514636124686829e-06
Position 24: 1.2463689609913274e-06
Position 545: 1.1816929299114537e-06
Position 236: 1.5973166475359697e-07
Position 617: 2.252388393469492e-08
Position 638: 2.1897491845585955e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 295: 0.9897093561289575
Position 602: 0.40102126008767314
Position 659: 0.20933423580121013
Position 246: 0.0023777808423449407
Position 575: 0.0019113396172177432
Position 426: 0.0015257028464442262
Position 545: 0.0014658082093910224
Position 693: 0.0011993117324193053
Position 483: 0.0009484974781062793
Position 670: 0.0006964061862291074
Position 641: 0.000335120876191867
Position 750: 0.00021426758776724284
Position 720: 0.00012660951767264736
Position 487: 8.718025384646762e-05
Position 395: 6.0867539603974423e-05
Position 313: 5.5271462210443794e-05
Position 430: 4.968565861969706e-05
Position 492: 3.9956791613873825e-05
Position 522: 3.63258628048028e-05
Position 273: 3.279264940706871e-05
Position 321: 2.549071004789801e-05
Position 753: 1.1014584473751678e-05
Position 466: 8.71990853833155e-06
Position 461: 6.1618623176672255e-06
Position 532: 4.565549333286557e-06
Position 464: 4.1030737313315594e-06
Position 509: 3.662104049500022e-06
Position 304: 3.0575109400517938e-06
Position 454: 2.868858219780627e-06
Position 212: 2.339073452424803e-06
Position 324: 2.1796609486039805e-06
Position 226: 1.5375678652224735e-06
Position 517: 1.0746405782625125e-06
Position 457: 9.363696964475439e-07
Position 437: 8.971075931665931e-07
Position 114: 7.559247624187896e-07
Position 332: 7.415165515035059e-07
Position 334: 2.8842100696110397e-07
Position 200: 3.0278057555346666e-08
Position 85: 2.7018466777456484e-08
Position 215: 2.6621189865403068e-08
Position 97: 1.8243226503196521e-09
Position 162: 1.0325846002458269e-09
Position 176: 9.290898683417978e-10
Position 171: 4.1115642874108025e-10
Position 150: 2.539815594790279e-10
Position 185: 9.397378835439973e-11
