Gene = Tyrobp
index = 1154
Annotated 5SS: [ 112  581  863 1888]
Annotated 3SS: [ 553  715 1843 3555]
SMsplice 5SS: [112]
SMsplice 3SS: [553]
top_k =  1000
Partition function (log Z): -7.015079373255615

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9800889855641794
Position 863: 0.606401111314953
Position 1888: 0.37073016670116665
Position 745: 0.05944105918622096
Position 581: 0.05002935035077097
Position 1287: 0.023042173479505726
Position 1761: 0.015824271483154517
Position 1730: 0.014714195114050824
Position 3299: 0.0120201525736192
Position 2618: 0.010546420934561295
Position 2889: 0.0037520641900970733
Position 779: 0.0031884232826922087
Position 908: 0.0018951515345097117
Position 228: 0.001619968480566406
Position 1753: 0.0016002450093029828
Position 938: 0.0013619331923190611
Position 339: 0.001247544226869785
Position 3360: 0.0012031951324561448
Position 3485: 0.0011616341308974861
Position 243: 0.000864025284906501
Position 74: 0.00048756002764746337
Position 286: 0.00046953414357109855
Position 362: 0.00036639449935214023
Position 2663: 0.0003580763323352198
Position 2932: 0.0003547857467402586
Position 4: 0.00032863593498862664
Position 845: 0.00032166838114496254
Position 757: 0.0003100146744338649
Position 1532: 0.00030380613501700224
Position 1505: 0.0002766577217491792
Position 1553: 0.00018364094046159537
Position 3242: 0.00017063309824977955
Position 755: 0.00015797364644590828
Position 1950: 0.00015201339789898437
Position 1090: 0.00011253896144841471
Position 886: 0.00011179940698836704
Position 691: 0.00010606118107506885
Position 1591: 0.00010596714941615071
Position 1928: 0.00010498678134498779
Position 1683: 9.872179706333784e-05
Position 343: 7.870807607836027e-05
Position 1734: 7.853297496874852e-05
Position 105: 5.708674356098193e-05
Position 3307: 5.022933071809529e-05
Position 406: 4.765996195888604e-05
Position 480: 4.72202512055958e-05
Position 357: 4.603658213753506e-05
Position 3374: 4.528103320648992e-05
Position 3662: 4.463004198754045e-05
Position 295: 3.9302668212997796e-05
Position 1518: 3.842321047355648e-05
Position 93: 3.5282515673094956e-05
Position 1313: 3.517617588160155e-05
Position 335: 3.170197992004156e-05
Position 1687: 2.8546508196360706e-05
Position 143: 2.836699473624512e-05
Position 683: 2.830194586567418e-05
Position 835: 2.6718498170145395e-05
Position 1272: 2.5159145717952567e-05
Position 289: 2.034874932669265e-05
Position 565: 1.9299764608845273e-05
Position 737: 1.802703212117853e-05
Position 693: 1.6133163372316956e-05
Position 1551: 1.2999484635658377e-05
Position 816: 1.2250667369570191e-05
Position 787: 1.1710760369614426e-05
Position 772: 1.1389905784152802e-05
Position 661: 9.248371397984514e-06
Position 158: 8.979243226678151e-06
Position 1458: 8.041726624161378e-06
Position 2438: 7.925353791117934e-06
Position 145: 7.217429012978575e-06
Position 27: 5.736635651034478e-06
Position 130: 5.564676353239781e-06
Position 116: 5.54468337959378e-06
Position 34: 5.434095890227637e-06
Position 867: 5.21301108316219e-06
Position 1329: 4.47215925254947e-06
Position 410: 4.339497984242583e-06
Position 789: 4.172122144852187e-06
Position 514: 3.995400828265109e-06
Position 29: 3.721760480752374e-06
Position 247: 3.471610999651745e-06
Position 1362: 3.2895469552190328e-06
Position 814: 3.163367596485968e-06
