Gene = Hykk
index = 551
Annotated 5SS: [  576  3542  5052 20040]
Annotated 3SS: [ 3190  4911 19855 28782]
SMsplice 5SS: [  576  5052 13546 20040]
SMsplice 3SS: [ 4911 13411 19855 29627]
top_k =  1000
Partition function (log Z): -10.588457479549433

Sorted 5' Splice Sites (High to Low Probability):
Position 5052: 0.8349916074219069
Position 20040: 0.8283224446042677
Position 13546: 0.7088640073976924
Position 576: 0.6665923367202332
Position 8648: 0.5459270828485088
Position 29750: 0.5406662358105437
Position 7641: 0.528955583911619
Position 21385: 0.5138086744922797
Position 371: 0.430055007293189
Position 5873: 0.40979579420258994
Position 3542: 0.3109180538611851
Position 15684: 0.3099413492802033
Position 25631: 0.24063784499946544
Position 13549: 0.18742643743461024
Position 2805: 0.18137152815037164
Position 16911: 0.17801522667435604
Position 181: 0.1762672845636813
Position 28968: 0.16958149579827922
Position 15496: 0.15843716735944863
Position 20061: 0.14500785129775817
Position 1050: 0.14325217167419602
Position 10896: 0.13408750494503294
Position 1107: 0.12781986793751585
Position 2939: 0.11954056218348819
Position 15728: 0.11485439748119985
Position 9026: 0.11284143302924149
Position 426: 0.08329417807417346
Position 5274: 0.08010946038121136
Position 25605: 0.07100333440137191
Position 15737: 0.06859530227657856
Position 7273: 0.04884798940307028
Position 28852: 0.03750358426117979
Position 25458: 0.03498771294503983
Position 15741: 0.030087686837103268
Position 16260: 0.023199090573784095
Position 6171: 0.021138891960807624
Position 16872: 0.020577475905507105
Position 19985: 0.018397701135512652
Position 4941: 0.017813701298635565
Position 3280: 0.016718577574335057
Position 11105: 0.014152337510018872
Position 2539: 0.013706363464968847
Position 419: 0.013241983033519547
Position 2449: 0.010248969342430584
Position 3033: 0.009802483168675654
Position 5659: 0.008117980189953682
Position 54: 0.00802905987800568
Position 2508: 0.006786453980682471
Position 215: 0.006410946353238252
Position 20009: 0.006280514927592881
Position 1100: 0.006004728511059445
Position 1089: 0.005212498285015836
Position 1886: 0.003789768558817177
Position 1066: 0.002550334071934665
Position 58: 0.0023188557831396134
Position 1134: 0.0021316951981483557
Position 256: 0.0019378139318527946
Position 1745: 0.001839715163573981
Position 68: 0.0017620962460950628
Position 24930: 0.0017308018576844772
Position 738: 0.0017081314319705467
Position 1141: 0.001656219601336981
Position 1400: 0.0010763136550331496
Position 1041: 0.0009506278206315972
Position 2845: 0.000881874397353573
Position 2997: 0.00072597528024323
Position 94: 0.0004840422710029
Position 1639: 0.0004673552692204236
Position 231: 0.0003766649782111131
Position 1875: 0.0003296327996549092
Position 1115: 0.0003140968783636555
Position 401: 0.0002614812088773143
Position 530: 0.00019735174322039662
Position 166: 0.00016545992860019686
Position 48: 0.00015652172684715672
Position 1302: 0.0001546452654630401
Position 3496: 0.00015439876536039025
Position 43: 0.0001447098640371792
Position 375: 0.00014344056451921137
Position 1331: 0.00014327858236115362
