Gene = 4930444P10Rik
index = 48
Annotated 5SS: [  352 12496 14758 24526]
Annotated 3SS: [12331 14624 24469 27050]
SMsplice 5SS: [  352 10909 12496 14758 24526]
SMsplice 3SS: [10817 12331 14675 24469 27050]
top_k =  1000
Partition function (log Z): -5.286617761567991

Sorted 5' Splice Sites (High to Low Probability):
Position 352: 0.9964641646128892
Position 10909: 0.9117908284611674
Position 14758: 0.8536472526826705
Position 24526: 0.8427369135983346
Position 12496: 0.8326596109024617
Position 1579: 0.3532462374599663
Position 16453: 0.34262451076358585
Position 13334: 0.3150860676387381
Position 23346: 0.2058379245387461
Position 9031: 0.19643129340409157
Position 23249: 0.17054112171455
Position 23330: 0.1699004461132739
Position 3878: 0.11587234090364033
Position 23325: 0.11465946861333617
Position 11992: 0.11317387418222956
Position 13283: 0.10218300814670518
Position 25104: 0.09813535069921168
Position 10925: 0.08217312241024141
Position 15544: 0.07721238165713531
Position 24906: 0.06763803145123429
Position 7966: 0.06427648892181131
Position 811: 0.06276104655219736
Position 18346: 0.062066460043882714
Position 18456: 0.05481435568093166
Position 24531: 0.042616229066522016
Position 18497: 0.030094860569504313
Position 11168: 0.02515011267291677
Position 2745: 0.024355013180305286
Position 13957: 0.022938071960288714
Position 655: 0.0215237083113332
Position 16717: 0.020194467564372032
Position 7941: 0.019493885232062347
Position 25979: 0.019105045545494054
Position 4950: 0.016386576772343606
Position 16463: 0.013356959264754548
Position 1784: 0.011178998134408443
Position 4000: 0.010814997829237302
Position 780: 0.010419653135834808
Position 2973: 0.0075682812539297345
Position 3836: 0.006591094231033879
Position 17851: 0.0060685808318986165
Position 14801: 0.005790683041820287
Position 7399: 0.005370662026891895
Position 7410: 0.005169621216891319
Position 2957: 0.00496069298640572
Position 4373: 0.004144032444523168
Position 4437: 0.004097601486869856
Position 4967: 0.003754881847997235
Position 3847: 0.0035364504023109276
Position 14762: 0.0035311016181983823
Position 776: 0.003526711575488509
Position 3059: 0.003270544049019652
Position 972: 0.002912715041964368
Position 750: 0.002720790689184325
Position 16525: 0.002638405385502509
Position 4677: 0.0026375401291921525
Position 4475: 0.0025850593162803073
Position 1574: 0.002544096545078094
Position 5188: 0.0025435619252614093
Position 2826: 0.0023120064006905056
Position 520: 0.0019223878346801716
Position 17021: 0.0018537045653884707
Position 17614: 0.0018264228122386074
Position 4828: 0.0016581604660741369
Position 1509: 0.0014749346515319122
Position 3831: 0.0013965338149813547
Position 15555: 0.0013784347701158146
Position 16487: 0.0013101317560162778
Position 3110: 0.0012748983951960666
Position 14300: 0.0011893681944216922
Position 301: 0.0009799571578025948
Position 16083: 0.0009746534589686737
Position 515: 0.0009503777402339714
Position 17894: 0.0009400142420555513
Position 764: 0.000914412053120729
Position 5606: 0.0008138335072832376
Position 16255: 0.0007266516664874814
Position 16772: 0.0006410256942990339
Position 506: 0.0004428319891008086
Position 305: 0.0003251540320776573
Position 596: 0.0002506344401023771
Position 2475: 0.0002494659244045074
Position 15978: 0.0002360215367449338
Position 570: 0.00015335309236171372
Position 14009: 0.00014589703018564454
Position 150: 0.0001364787970137535
Position 17148: 0.00013477458102487098
Position 4434: 0.0001291799529339394
Position 15548: 0.00011813609705427797
Position 15113: 0.00011007107868845019
Position 745: 9.479044483101407e-05
Position 14505: 8.428176787027842e-05
Position 1394: 7.903508733988602e-05
Position 296: 6.501376246915334e-05
Position 1488: 5.564045076423475e-05
Position 1117: 5.024817161959729e-05
Position 356: 4.8254683883106296e-05
Position 1242: 4.6423496029997925e-05
Position 2601: 3.8891123378081654e-05
Position 2790: 3.661735943644646e-05
Position 619: 3.2517660271014106e-05
Position 335: 3.0760405319749555e-05
Position 1986: 3.0047242450031184e-05
Position 2807: 2.9726743648295828e-05
Position 1086: 2.6289164497689025e-05
Position 2348: 2.3799554737486477e-05
Position 1205: 2.3325686608671013e-05
Position 229: 2.274805962016934e-05
Position 11227: 2.213409072567575e-05
Position 833: 1.9152487201483698e-05
Position 1005: 1.7562688590598684e-05
Position 575: 1.4878515635384223e-05
Position 11001: 1.4098910997616568e-05
Position 670: 1.3449780872757522e-05
Position 186: 9.67599111477281e-06
Position 12676: 9.25138868443285e-06
Position 2404: 8.279494940861233e-06
Position 12167: 7.94981509425207e-06
Position 703: 6.336610411526825e-06
Position 1634: 6.2440055419198485e-06
Position 144: 6.011184428085716e-06
Position 11908: 5.667576156732567e-06
Position 848: 5.44239615804256e-06
Position 11658: 5.2299368295302555e-06
Position 243: 4.9218851401403e-06
Position 12113: 4.795267040037937e-06
Position 2711: 4.400005929149855e-06
Position 12156: 4.2543269678430885e-06
Position 1596: 2.5979756040532644e-06
Position 510: 2.1729785468563542e-06
Position 2720: 2.140172434378797e-06
Position 141: 2.0841832840020577e-06
Position 982: 1.803109043474669e-06
Position 867: 1.4128617304048243e-06
Position 1977: 1.3971134886101089e-06
Position 2025: 1.3885420694863726e-06
Position 1753: 1.2903095721074086e-06
Position 838: 1.128099610226363e-06
Position 984: 9.297976182050419e-07
Position 1012: 8.560233187760932e-07
Position 1445: 8.022968705071467e-07
Position 1628: 7.250031228897984e-07
Position 4: 7.044445260923958e-07
Position 1491: 3.669529852688103e-07
Position 434: 2.977271724032874e-07
Position 6: 2.3044965548269885e-07
Position 522: 1.8294731842187484e-07
Position 1527: 4.457229524279004e-10
Position 827: 4.086286082520623e-10
Position 1010: 3.477270044480049e-10
Position 1662: 2.5578074820805305e-10
Position 1676: 2.1392390621970268e-10
Position 1660: 1.6442074687007612e-10
Position 1729: 1.2242406810441377e-10
Position 947: 2.480057493732785e-11
Position 886: 2.3624178713704628e-11
Position 854: 2.2736116592519904e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 24469: 0.8957202741497721
Position 23068: 0.6705342959527536
Position 14675: 0.6676024844839911
Position 12331: 0.5628242373060114
Position 10817: 0.5129973175217776
Position 27050: 0.4719748333834121
Position 10814: 0.40452896833199653
Position 16204: 0.35373951733153175
Position 13219: 0.27024276233908157
Position 25021: 0.24802734105996627
Position 24754: 0.18999850677605004
Position 1463: 0.1803674596537184
Position 27100: 0.17984731043020105
Position 18119: 0.14907669832766765
Position 3736: 0.12406668051763438
Position 11883: 0.10627084327515261
Position 12328: 0.0981507601038015
Position 14624: 0.09010728030576477
Position 8769: 0.08731110526140408
Position 1321: 0.08627222035320165
Position 8973: 0.08169025274249225
Position 15435: 0.07262937341831206
Position 12261: 0.070339031646316
Position 13195: 0.06807244324255714
Position 7852: 0.06515584417054175
Position 1442: 0.06134090846065198
Position 14584: 0.040717225975638566
Position 14529: 0.03825513827966216
Position 12418: 0.03770294464000225
Position 703: 0.03726114615538558
Position 10820: 0.03709352149055988
Position 569: 0.03525887160761933
Position 10823: 0.03508615037661715
Position 2658: 0.028340330009905514
Position 8835: 0.02742993540019531
Position 640: 0.026261416147497434
Position 13029: 0.02410926775205883
Position 25844: 0.024010928489020766
Position 13121: 0.023913530679371995
Position 1555: 0.015457427994795863
Position 16617: 0.015121277617265765
Position 11051: 0.0148710511206279
Position 12830: 0.01400806530230395
Position 13862: 0.012484802706658919
Position 12449: 0.012170735150722352
Position 2825: 0.01193204777060521
