Gene = A630076J17Rik
index = 78
Annotated 5SS: [ 141 2067]
Annotated 3SS: [1995 2963]
SMsplice 5SS: [ 141 2067 2429]
SMsplice 3SS: [1995 2352 2963]
top_k =  1000
Partition function (log Z): -3.667345911239986

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.9787849452518188
Position 2429: 0.8504966052549571
Position 2067: 0.823191872507382
Position 2174: 0.04732706462347505
Position 634: 0.04650684434726038
Position 1433: 0.03227865592226379
Position 742: 0.029551819056847697
Position 1862: 0.016976032149641745
Position 115: 0.01433653097470024
Position 1724: 0.012357289333331054
Position 890: 0.01118689681264149
Position 1910: 0.010645554091046193
Position 748: 0.009770651862526165
Position 2098: 0.009520696956041309
Position 1866: 0.008444647025685455
Position 1145: 0.00671942020899452
Position 312: 0.006607726560079042
Position 1369: 0.006349109928158317
Position 363: 0.004978264370431225
Position 2793: 0.0034569416470723938
Position 1567: 0.002966504857987705
Position 3364: 0.0022879593228987798
Position 816: 0.002245121704585542
Position 1067: 0.002103383542542058
Position 3245: 0.0020682924698775954
Position 3759: 0.001887455320120652
Position 1217: 0.0012900348111333742
Position 3772: 0.0010460665688296863
Position 397: 0.000988883541233824
Position 2131: 0.0009380092767881285
Position 1392: 0.0008396910588107983
Position 2910: 0.0007805309992699877
Position 2915: 0.0005761274063282748
Position 849: 0.0005598475313972792
Position 414: 0.0004787347117107847
Position 2447: 0.0004513874188591786
Position 1545: 0.00043823321746406423
Position 1874: 0.0004324041374876329
Position 1618: 0.00042375256625962356
Position 1899: 0.0003912190590220085
Position 1522: 0.0003009462336911206
Position 1756: 0.0003008121713762445
Position 1783: 0.00029296613723090023
Position 1403: 0.0002573540674894818
Position 2810: 0.00022137859771479196
Position 2460: 0.00021972019468407007
Position 3872: 0.00018991724334751754
Position 991: 0.00018121333350471064
Position 1415: 0.00015046204616160844
Position 1339: 0.00014937118828014026
Position 1894: 0.0001268444114902475
Position 2085: 0.00012564190805042642
Position 2060: 0.00011851403636140824
Position 1653: 0.00011586013077282301
Position 2557: 0.00011082616608495598
Position 1902: 0.0001084250003821876
Position 3184: 0.00010637942572701676
Position 1794: 8.301112019755587e-05
Position 3151: 7.71782037657563e-05
Position 2148: 7.669874261729085e-05
Position 700: 7.127651284143849e-05
Position 1424: 6.0695661295980155e-05
Position 3120: 5.7265256522554597e-05
Position 686: 5.0565163525019664e-05
Position 3135: 4.492055127900975e-05
Position 1046: 4.458784059158625e-05
Position 1007: 4.038741511441951e-05
Position 3455: 3.8516361481536803e-05
Position 3939: 3.524513186653684e-05
Position 1882: 3.369998024423131e-05
Position 145: 3.2114955459842014e-05
Position 689: 3.078724925560142e-05
Position 694: 2.976748341391888e-05
Position 750: 2.9378642920987125e-05
Position 2071: 2.1446878145935618e-05
Position 37: 3.853918845867934e-06
Position 572: 3.4124854250570882e-06
Position 1191: 3.2371400265652797e-06
Position 355: 2.7407994317032214e-06
Position 394: 2.466468895080042e-06
Position 1239: 1.9318957381250565e-06
Position 272: 1.7814528042630735e-06
Position 1139: 1.466880449669868e-06
Position 345: 1.3848622688335687e-06
Position 260: 1.3716806628261774e-06
Position 46: 9.003821321384544e-07
Position 610: 7.661593563025806e-07
Position 149: 6.716927137537798e-07
Position 1398: 6.667130972686947e-07
Position 1244: 6.458481434347191e-07
Position 77: 6.300737078270896e-07
Position 1261: 5.696303338089796e-07
Position 783: 5.429225876510501e-07
Position 484: 4.4036977267283574e-07
Position 677: 3.9352292716394187e-07
Position 2670: 2.6340211388012163e-07
Position 1301: 1.4980925770591418e-07
Position 1117: 1.3378317727744208e-07
Position 496: 1.2906508916728734e-07
Position 3092: 1.158663211648721e-07
Position 177: 1.0945766206572054e-07
Position 316: 1.0733844886814386e-07
Position 2601: 9.014031014414425e-08
Position 639: 7.357999751030961e-08
Position 15: 7.109638950244627e-08
Position 2815: 6.156082180375646e-08
Position 3225: 5.152621553995862e-08
Position 851: 3.944312124651581e-08
Position 2291: 3.662664261978818e-08
Position 498: 2.939908918342394e-08
Position 2561: 2.6390039724158823e-08
Position 263: 8.148589000068519e-09
Position 1343: 5.715633846476452e-09
Position 627: 5.164940499519381e-09
Position 597: 3.920414363822273e-09
Position 581: 3.3648779147464396e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2352: 0.8407632500904354
Position 1995: 0.7883162651764619
Position 2963: 0.47878614036028744
Position 3355: 0.12370241140633018
Position 2866: 0.11293322378616592
Position 624: 0.07798359484072287
Position 1950: 0.050239458504402666
Position 2321: 0.047438136906243336
Position 3971: 0.03349838356516204
Position 1752: 0.024467243613284482
Position 3358: 0.023669341943926343
Position 1927: 0.022786322898771316
Position 3052: 0.020556273704644013
Position 1311: 0.019043346561501938
Position 1339: 0.017673164454924308
Position 2358: 0.014452636914003772
Position 3834: 0.013469016901784195
Position 1969: 0.013299745748713883
Position 1665: 0.012487205493437173
Position 549: 0.012325964899074046
Position 2289: 0.011543250233631843
Position 3695: 0.011115999554076545
Position 2884: 0.011074850208471005
Position 4049: 0.010570813309245156
Position 1463: 0.010447207434636388
Position 246: 0.009520585171695984
Position 2914: 0.008773623702577333
Position 3244: 0.008485437625651545
Position 1509: 0.00702082990352778
Position 3670: 0.006591786056940999
Position 3450: 0.006011747176874703
Position 3791: 0.005927951327672662
Position 2679: 0.005664676851027625
Position 3743: 0.005513021201631248
Position 1720: 0.00448424657475287
Position 1640: 0.003941958251570637
Position 3272: 0.0034829239521695977
Position 889: 0.0033896591770421385
Position 2066: 0.002986060407254195
Position 2776: 0.0028507835728533806
Position 2384: 0.002834949600203866
Position 694: 0.0028040547600798743
Position 1774: 0.002351348351916681
Position 2480: 0.002295104097087799
Position 1030: 0.00213782362515858
Position 2612: 0.002129959625011738
Position 3473: 0.0021115090034638006
Position 2993: 0.0020726930612263474
Position 1016: 0.002046093629725802
Position 2966: 0.0020391088263762677
Position 2572: 0.0020101621920042313
Position 1794: 0.001961798537708915
Position 2662: 0.0018908338683452299
Position 1216: 0.0018428637142686552
Position 1107: 0.0018311160020185579
Position 2803: 0.0017832780844422107
Position 3225: 0.0017511522773492332
Position 3100: 0.0016241902972930536
Position 783: 0.0014870021601563338
Position 3110: 0.0012742782487363698
Position 1699: 0.001263249628901814
Position 3318: 0.0011940332466914532
Position 525: 0.0011535884670265996
Position 1239: 0.0011184817773996318
Position 2694: 0.001087339512534104
Position 3577: 0.0010481997636101223
Position 767: 0.001010125026149375
Position 3017: 0.0009936408258948014
Position 2513: 0.0008891141436177492
Position 1273: 0.0008293645160470563
Position 2868: 0.000805593057568164
Position 281: 0.0007540834490975119
Position 2002: 0.0007004503937393762
Position 1777: 0.0006770442504446539
Position 3504: 0.0006339150527923513
Position 3563: 0.0006285828384114289
Position 553: 0.0006191561916637227
Position 2983: 0.0005977435815600438
Position 2085: 0.0005809466925146532
Position 3626: 0.0005189650574921093
Position 2428: 0.00048786532509538635
Position 3999: 0.00048229382283632903
Position 3702: 0.0004596260114834922
Position 870: 0.00045220237770820783
Position 2543: 0.0004411100016691241
Position 1418: 0.000440212650859383
Position 3631: 0.00041334338438679566
Position 214: 0.00039430687721844055
Position 4067: 0.00037702632179771335
Position 2729: 0.00036176820971166166
Position 2524: 0.00035965055020856213
Position 3021: 0.0003405060889157689
Position 3922: 0.00033689696920077307
Position 2923: 0.0003367035060961564
Position 183: 0.0002784009748011249
Position 2173: 0.00026577654685254405
Position 1067: 0.00026511294227602014
Position 2731: 0.0002402101978770652
Position 1894: 0.00021444520004110197
Position 3120: 0.00021387246427909912
Position 2941: 0.0002126238334055517
Position 1468: 0.00019941992434352321
Position 250: 0.0001945373039628713
Position 3550: 0.0001900803039441932
Position 3855: 0.00018995837866856463
Position 2888: 0.00018708324749632394
Position 3517: 0.0001700571109246533
Position 468: 0.00016883474818662916
Position 2223: 0.000159241434249899
Position 2920: 0.00015742583014429032
Position 633: 0.0001538740673230052
Position 1045: 0.00014644700869205217
Position 2295: 0.00014388995131457474
Position 3598: 0.00014008433641557688
Position 532: 0.00012517410624801001
Position 2253: 0.0001183263161386873
Position 3360: 9.976880180950675e-05
Position 946: 9.301349203085661e-05
Position 2528: 8.858882320523202e-05
Position 3656: 8.2542580434087e-05
Position 912: 7.846184561272372e-05
Position 2756: 7.7122713629002e-05
Position 2050: 7.363497964666371e-05
Position 1155: 7.207946374545333e-05
Position 3421: 7.028270950476393e-05
Position 955: 6.73095285304698e-05
Position 3543: 6.23162942027317e-05
Position 3839: 5.831773824277585e-05
Position 1545: 5.609651530240739e-05
Position 3635: 5.465087359751729e-05
Position 3363: 5.240957034802822e-05
Position 3907: 5.2130813597823726e-05
Position 3007: 4.9215933431996176e-05
Position 1557: 4.738409988628331e-05
Position 2820: 4.542101830083348e-05
Position 3527: 4.3384204735535576e-05
Position 3248: 4.190062111513584e-05
Position 3274: 4.154706893459751e-05
Position 2530: 4.070650481891331e-05
Position 3478: 4.06532562830137e-05
Position 453: 4.0271725031715994e-05
Position 1512: 3.8259131748083526e-05
Position 964: 3.8103499796244245e-05
Position 351: 3.7734699175774373e-05
Position 459: 3.550393539197496e-05
Position 1144: 3.5149364039719375e-05
Position 1275: 3.419766157123599e-05
Position 484: 3.384770741880711e-05
Position 191: 3.320988019517537e-05
Position 3750: 3.2780329706574e-05
Position 2765: 3.116400028127671e-05
Position 2139: 3.0230052379432016e-05
Position 1484: 2.6437931919135303e-05
Position 295: 2.0681256347075864e-05
Position 738: 1.9720505303655165e-05
Position 1359: 1.9636264073438273e-05
Position 2361: 1.7099281540003733e-05
Position 2053: 1.5217529106174932e-05
Position 1491: 1.4023505721151718e-05
Position 803: 1.3266640256141701e-05
Position 1033: 1.25539588102549e-05
Position 447: 1.2436185108642843e-05
Position 813: 1.1115103742407742e-05
Position 2071: 9.46585537270759e-06
Position 557: 9.376459382069544e-06
Position 451: 8.095914274360699e-06
Position 2092: 5.881460608034414e-06
Position 2696: 5.652009508120855e-06
Position 3676: 5.289547094097913e-06
Position 2698: 4.916909332131648e-06
Position 1117: 3.0158415920277235e-06
Position 301: 2.1536847000544873e-06
Position 2410: 1.4731471131642438e-06
Position 289: 7.544210544265926e-07
Position 203: 7.292033777615141e-07
Position 2711: 7.235134986257471e-07
Position 455: 7.077247794703692e-07
Position 560: 6.990886136171168e-07
Position 917: 5.738958003169741e-07
Position 297: 5.104495293570304e-07
Position 430: 4.751479464930177e-07
Position 322: 4.26106671909389e-07
Position 721: 4.06386714018133e-07
Position 304: 3.91109096424665e-07
Position 254: 3.597723080763688e-07
Position 742: 3.26167131696319e-07
Position 1082: 2.4873344755798564e-07
Position 825: 2.2780252347378855e-07
Position 2413: 1.9665033905122764e-07
Position 1367: 1.8012514034642323e-07
Position 727: 1.7806976799569473e-07
Position 1080: 1.6686573240276177e-07
Position 578: 1.3673303910275213e-07
Position 436: 1.3209188041234027e-07
Position 316: 1.2638440025495686e-07
Position 581: 1.262600681745464e-07
Position 1077: 1.19821363986406e-07
Position 902: 1.0921775699345126e-07
Position 897: 1.0132824540145583e-07
Position 291: 1.0081220853978972e-07
Position 639: 1.0012843351027984e-07
Position 566: 9.546513332442034e-08
Position 1124: 8.879832658276526e-08
Position 345: 6.929172961128525e-08
Position 260: 5.919715818768349e-08
Position 361: 5.785897391579825e-08
Position 1424: 5.7654553672780815e-08
Position 432: 5.7287435796561336e-08
Position 713: 4.8566242921413105e-08
Position 412: 4.4907326883401e-08
Position 263: 2.120351736947243e-08
Position 408: 1.971215794650945e-08
Position 81: 9.247776142305121e-09
Position 587: 6.013263055987109e-09
Position 935: 5.002008789845368e-09
Position 124: 4.585356426285425e-09
Position 374: 4.2640168097969664e-09
Position 394: 2.8609600308296547e-09
Position 193: 2.8546130576728923e-09
Position 838: 2.5379371100063653e-09
Position 832: 2.393846418479059e-09
Position 390: 1.886592605388146e-09
Position 597: 1.4459781871345517e-09
Position 746: 1.4106790356106682e-09
Position 562: 1.3642799002259751e-09
Position 440: 1.221812142536078e-09
Position 848: 8.638174758987425e-10
Position 88: 4.196566997528563e-10
Position 422: 4.1573208315950613e-10
Position 103: 3.3467616636765283e-10
Position 119: 3.0803073575723953e-10
Position 140: 2.892828049375422e-10
Position 379: 2.658105380276176e-10
Position 388: 2.5595559980305864e-10
Position 134: 2.0921838531798712e-10
Position 571: 1.552604096496662e-10
Position 652: 1.3416469774993249e-10
Position 106: 1.1105403573395166e-10
Position 384: 4.6709148781879225e-11
Position 96: 1.3953900696420984e-11
Position 392: 1.0433298749530327e-12
Position 830: 3.5459296622077876e-13
