Gene = Smr3a
index = 994
Annotated 5SS: [  66 2234 5553]
Annotated 3SS: [2166 5479 5721]
SMsplice 5SS: [  66 2234]
SMsplice 3SS: [2166 5479]
top_k =  1000
Partition function (log Z): -7.67387710169623

Sorted 5' Splice Sites (High to Low Probability):
Position 66: 0.9927978285533119
Position 2234: 0.5850461257117213
Position 2677: 0.16004887958761596
Position 5005: 0.06770096013035241
Position 3664: 0.03409054346044769
Position 1017: 0.01963081042733161
Position 1838: 0.018309999229875442
Position 5342: 0.01776899735775982
Position 1352: 0.016835330273709054
Position 5253: 0.015540781966224496
Position 574: 0.006703001387224896
Position 2580: 0.006685353421437848
Position 2859: 0.006624596551240871
Position 5484: 0.005170954646534532
Position 5133: 0.0044397155292629255
Position 3318: 0.004386701666805254
Position 4001: 0.0037485814878980162
Position 1833: 0.0033857080624975864
Position 2006: 0.003158037887032926
Position 4510: 0.002524042236314164
Position 5565: 0.0019961256112169456
Position 1392: 0.0015877472788635703
Position 181: 0.0015445035417989614
Position 5778: 0.0015158726534166987
Position 1683: 0.0013370367660949548
Position 1973: 0.001032906064434178
Position 4674: 0.0009988273143794418
Position 252: 0.000986663039252311
Position 924: 0.0009475005227326085
Position 568: 0.0007482554373292839
Position 3132: 0.0006913737541223017
Position 5417: 0.000637202313490578
Position 4732: 0.0006138084740330034
Position 5601: 0.0005618983090381211
Position 3903: 0.0005231778014402079
Position 70: 0.0005133393080176648
Position 682: 0.00047654882043487946
Position 3384: 0.00043560341961319674
Position 1885: 0.0004336816592771963
Position 2013: 0.000338966669942332
Position 1660: 0.00033683821294219426
Position 2238: 0.00031170901524604045
Position 1153: 0.0003104098013600977
Position 5553: 0.0002787351334146436
Position 2016: 0.0002563529468599202
Position 4952: 0.00022284598429991628
Position 1032: 0.00019672908199387266
Position 1147: 0.00019634455169131315
Position 3111: 0.00019161899626648143
Position 2219: 0.0001904730269885685
Position 4115: 0.00018746564315718156
Position 2787: 0.00018162774776741072
Position 2697: 0.00017947693352257475
Position 5101: 0.00017410388765458484
Position 991: 0.00015945150325226868
Position 2087: 0.00015803125505847086
Position 973: 0.00013243636574735289
Position 5589: 0.00013217799513073243
Position 866: 0.0001308507834914466
Position 57: 0.00011430743272531836
Position 462: 9.52915598795065e-05
Position 840: 9.282360471932467e-05
Position 1132: 9.212190471316451e-05
Position 1287: 8.533249624407889e-05
Position 1667: 8.283612846780446e-05
Position 934: 7.667058857917644e-05
Position 1943: 6.901242117131098e-05
Position 277: 6.829346263901085e-05
Position 1773: 6.438532722419497e-05
Position 1261: 6.16410187094905e-05
Position 1799: 5.915205655174152e-05
Position 1765: 5.620785291320927e-05
Position 1864: 5.544139833898218e-05
Position 1591: 5.1989418566146295e-05
Position 970: 5.081433377769002e-05
Position 2361: 4.813785950548087e-05
Position 2037: 4.5831485206475816e-05
Position 291: 4.5253553776928334e-05
Position 2247: 4.3987550647525973e-05
Position 100: 4.2425431604271875e-05
Position 1167: 3.836953081174916e-05
Position 1585: 3.6349617155387e-05
Position 1779: 3.4934671962970206e-05
Position 215: 3.289856810464238e-05
Position 1052: 3.241107740963678e-05
Position 1643: 3.177490602942135e-05
Position 2347: 2.9482369694635263e-05
Position 1044: 2.5496659407442462e-05
Position 55: 2.4804603938104925e-05
Position 628: 2.0902374901551312e-05
Position 746: 1.735582751077023e-05
Position 1135: 1.6329504106873543e-05
Position 1608: 1.625516581177572e-05
Position 479: 1.5982319984161974e-05
Position 327: 2.250181925062114e-06
Position 260: 1.9670728195747863e-06
Position 829: 1.4025645242793445e-06
Position 107: 1.2433936954672964e-06
Position 109: 1.0845839322232327e-06
Position 5020: 8.894284060042729e-07
Position 5106: 8.53728917487275e-07
Position 3519: 8.438464252608176e-07
Position 783: 7.683290371696524e-07
Position 789: 6.647205141297446e-07
Position 698: 6.29656363500461e-07
Position 132: 5.28918567143879e-07
Position 1575: 4.194752261603771e-07
Position 4281: 3.8981693692557094e-07
Position 116: 3.4009126527286087e-07
Position 1181: 2.862184752864072e-07
Position 1475: 2.1746752873911336e-07
Position 787: 8.075477048802367e-08
Position 781: 7.117718337127284e-08
Position 938: 5.3817342050724854e-08
Position 660: 3.595033007633576e-08
Position 961: 3.5317302776547406e-08
Position 578: 3.3653895702986446e-08
Position 870: 3.2309383420600835e-08
Position 587: 2.526042772288474e-08
Position 1356: 1.3435149615639652e-08
Position 604: 1.1535020794080261e-08
Position 483: 6.992280689333436e-09
Position 391: 4.1054305935386624e-09
Position 416: 2.6410021463864484e-09
Position 852: 1.1253003000795625e-09
Position 590: 1.0225095573470015e-10
Position 620: 7.851743893066039e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5479: 0.5350379784810034
Position 2166: 0.44286947268353943
Position 2133: 0.13069381012322648
Position 4809: 0.12427349049768216
Position 4867: 0.08991009518028699
Position 2579: 0.08765997648144463
Position 2568: 0.07500841724970826
Position 5308: 0.04897079069235385
Position 5630: 0.043634426508647
Position 5669: 0.043001814237672305
Position 3518: 0.0331090358034745
Position 1721: 0.032725512333831745
Position 912: 0.025597467178074578
Position 5235: 0.023261841809507803
Position 1925: 0.019655902093195555
Position 5685: 0.014874065386910352
Position 2617: 0.01280193853558601
Position 5594: 0.012475963257727625
Position 5860: 0.011321504897456959
Position 2402: 0.010864416139837678
Position 4075: 0.008039081224585824
Position 4852: 0.007955857815798557
Position 3554: 0.007141104864961444
Position 4376: 0.007077094610010085
Position 4628: 0.006645625191830805
Position 1446: 0.006564837805506195
Position 1216: 0.005789979873955576
Position 2476: 0.004873706482265566
Position 3281: 0.004554463762348463
Position 5209: 0.004525570883309867
Position 1258: 0.004255096461534041
Position 1051: 0.004136783351441334
Position 990: 0.004061234345288753
Position 2222: 0.004038743528691462
Position 2439: 0.003764619083787072
Position 2004: 0.0037434249714460507
Position 2204: 0.0036021223219099775
Position 3252: 0.0035222228131889
Position 1320: 0.003488396579221731
Position 3729: 0.0034399973739521923
Position 2662: 0.00338211024896129
Position 325: 0.003289783999895467
Position 5558: 0.003176935972593893
Position 3216: 0.0030648212676646913
Position 858: 0.0029173802324224184
Position 5750: 0.0028701005699240164
Position 3749: 0.0028542578179277934
Position 602: 0.002465970482709099
Position 3864: 0.0024613902087950814
Position 4393: 0.0023392439802571627
Position 5721: 0.002218866384409336
Position 5046: 0.0021219259785640637
Position 353: 0.002092754814665944
Position 1422: 0.002011477591060221
Position 4597: 0.001995129361691925
Position 1755: 0.0017878273792143963
Position 3024: 0.001642167253341415
Position 4996: 0.0016396670225521204
Position 1518: 0.001582123355468086
Position 3796: 0.001551333113001115
Position 2726: 0.0014052717672856593
Position 2168: 0.0013365809394626092
Position 4822: 0.0013189931193980104
Position 1127: 0.0013099521341604344
Position 4662: 0.0012761259299008082
Position 675: 0.0012344776596332919
Position 4500: 0.00123136608537957
Position 2972: 0.001210218941107186
Position 4525: 0.001089449924938995
Position 5049: 0.000997142506018661
Position 3131: 0.0009530566587503284
Position 4159: 0.0007978292584046382
Position 273: 0.0007976915754107257
Position 2310: 0.0007344126349723968
Position 2838: 0.0006902082823206791
Position 2054: 0.000682608046778311
Position 3608: 0.0006811805007395543
Position 640: 0.0006474088880477842
Position 3926: 0.0006447228558682437
Position 3404: 0.0006085288270144772
Position 4776: 0.0005592807030522783
Position 1725: 0.0005432519790041816
Position 5496: 0.0005414975678547196
Position 1806: 0.0005011550829444875
Position 2595: 0.0005006010511399252
Position 5316: 0.0004785086693785942
Position 4353: 0.00047529609948139496
Position 1196: 0.00044464889603632767
Position 3357: 0.0004309911974244758
Position 4644: 0.0003569947339986656
Position 755: 0.0003110415605052197
Position 3869: 0.0003070349157095609
Position 704: 0.0002803603764190117
Position 3894: 0.00027021083710505336
Position 3322: 0.0002527545174225539
Position 141: 0.0002513945914444047
Position 4215: 0.00024809950818711196
Position 3156: 0.00023860858718481993
Position 391: 0.00023554838929040452
Position 2408: 0.000206256096865022
Position 1890: 0.0002010441925393676
Position 1973: 0.00018417266838683947
Position 523: 0.0001824320158727224
Position 970: 0.00017546465780966867
Position 2019: 0.00017062031280550404
Position 3708: 0.00017013448223101403
Position 1935: 0.00016687248882046865
Position 1186: 0.00016277781000406511
Position 3318: 0.00015828049970156868
Position 1080: 0.00015484179530722046
Position 4405: 0.00015120256309292038
Position 3325: 0.00014492720876563197
Position 5413: 0.00013935878019965303
Position 4103: 0.00013836611277476341
Position 2749: 0.00013720304872463226
Position 3663: 0.00013675275805061443
Position 1951: 0.0001303048043476965
Position 3339: 0.00012021678003653276
Position 5338: 0.00011551905036337588
Position 4038: 0.00011474844433967383
Position 546: 0.00011136726966275124
Position 1539: 0.00010179057210891253
Position 3583: 9.607058406275261e-05
Position 2065: 9.292013973372113e-05
Position 181: 9.015535918001133e-05
Position 2487: 8.176438464590248e-05
Position 4740: 7.723230264171815e-05
Position 2292: 6.264044550476433e-05
Position 1337: 5.798273005418804e-05
Position 1677: 5.4265065762069994e-05
Position 1379: 5.3351114496816194e-05
Position 4327: 5.089001093102275e-05
Position 3183: 4.6654491675820925e-05
Position 1065: 4.6057311079758324e-05
Position 1482: 4.4796453802106525e-05
Position 2361: 4.413566809191409e-05
Position 1272: 4.206064265379203e-05
Position 610: 3.9026528308709214e-05
Position 744: 3.501418348664633e-05
Position 3263: 3.433417256086942e-05
Position 3364: 2.7973807036635333e-05
