Gene = Rec114
index = 892
Annotated 5SS: [  173 29544 75727 81386 83803]
Annotated 3SS: [29453 75642 81187 83715 88452]
SMsplice 5SS: [  173  3503 13813 29544 48257 55530 55739 72192 75805 81386 83803]
SMsplice 3SS: [ 3410 13726 29453 48102 55413 55616 72070 75642 81214 83715 88452]
top_k =  1000
Partition function (log Z): -53.443241976878525

Sorted 5' Splice Sites (High to Low Probability):
Position 173: 0.9838405739937038
Position 3503: 0.5431795323485384
Position 1288: 0.16398239375337345
Position 1590: 0.07195475645976634
Position 10208: 0.06300886356849916
Position 5083: 0.04737055464596404
Position 6416: 0.04678187354622071
Position 2607: 0.033117442765768855
Position 1061: 0.03176378134303024
Position 3558: 0.023840782987939405
Position 2640: 0.020724749367098297
Position 3494: 0.017345203531403827
Position 1545: 0.01717395574126028
Position 9760: 0.014644097292587074
Position 3055: 0.012793123085715796
Position 1574: 0.010027623047559511
Position 1240: 0.009206462396976317
Position 321: 0.00878329281375189
Position 1361: 0.00766982642351975
Position 3833: 0.007368523375689895
Position 2591: 0.006929543300070626
Position 510: 0.006456179339142355
Position 10076: 0.006002599790654736
Position 1347: 0.0035395308017472167
Position 1091: 0.0022494847809469884
Position 2334: 0.0022204747454951743
Position 1635: 0.002128164708352892
Position 1098: 0.0019674177808711615
Position 6264: 0.0016586375708211463
Position 7006: 0.0016314692908032515
Position 364: 0.001534456917827981
Position 4407: 0.0012788900275645927
Position 1493: 0.0011110475832686105
Position 1532: 0.0010992834588672588
Position 1479: 0.0010288154507366236
Position 1321: 0.0010190326704201129
Position 969: 0.0009770765846418075
Position 1036: 0.0008985933542042685
Position 2310: 0.000897706671169861
Position 1448: 0.0008289873356263792
Position 471: 0.0005642487238032834
Position 116: 0.0005555370494270137
Position 4891: 0.0005390521716800335
Position 2576: 0.00045448916423706484
Position 3543: 0.0004454533778484241
Position 1296: 0.00044224803028984573
Position 2512: 0.0004314282714827125
Position 93: 0.00035945250585376097
Position 4301: 0.00030098133683585437
Position 3215: 0.0002650991057704208
Position 1463: 0.00023913548387057506
Position 308: 0.00019803624565472666
Position 2548: 0.00019797480367011433
Position 2440: 0.00017861603563754314
Position 121: 0.00015412509410454804
Position 2758: 0.0001468941558234375
Position 1477: 0.00014553107030599658
Position 314: 0.00013399390483584444
Position 1693: 0.00011970847990855478
Position 1041: 0.00011819561785363444
Position 711: 0.0001137533957294425
Position 468: 0.00011067769956239923
Position 4025: 9.320729165736597e-05
Position 4066: 7.343547840167375e-05
Position 2330: 6.519743038714326e-05
Position 431: 4.6548077793058896e-05
Position 65: 3.5740579657628964e-05
Position 4306: 2.799978291733971e-05
Position 1280: 1.4330188844635274e-05
Position 461: 1.3536500180256939e-05
