Gene = Fbxo9
index = 405
Annotated 5SS: [   64  4795  7538  9278 10720 13198 13921 21596 21892 22791 23159 24563]
Annotated 3SS: [ 4710  7378  9219 10619 13066 13805 21476 21800 22694 23064 24410 26976]
SMsplice 5SS: [   64  4795  9278 10720 13198 13489 13921 18460 19160 21596 21892 22791
 24563]
SMsplice 3SS: [ 4710  9219 10619 13066 13387 13805 18360 19065 21476 21800 22694 24410
 26976]
top_k =  1000
Partition function (log Z): 7.801492969206945

Sorted 5' Splice Sites (High to Low Probability):
Position 21596: 0.993483996321557
Position 9278: 0.9568396466787892
Position 22791: 0.9079648859672192
Position 64: 0.7829265432742819
Position 19160: 0.7551106387760513
Position 10720: 0.7501900071726372
Position 13489: 0.6993703674882326
Position 24563: 0.6824241554185351
Position 21892: 0.637922030318693
Position 13921: 0.6243275934829985
Position 13198: 0.5647184908183596
Position 4831: 0.5259283363136059
Position 7586: 0.43987215920475425
Position 18460: 0.4389892267739912
Position 24233: 0.37503984042006033
Position 25621: 0.3741990052860659
Position 17389: 0.30884771146246914
Position 13308: 0.2593999245401342
Position 26759: 0.24401815512101988
Position 7537: 0.23562902653545936
Position 3476: 0.22455407096627183
Position 21912: 0.19275461897164867
Position 23159: 0.18050210347105347
Position 18582: 0.17151363101862008
Position 10754: 0.16075471851920484
Position 4838: 0.09607445738840449
Position 775: 0.08272380800404054
Position 8580: 0.07852639211663764
Position 21908: 0.07342301353661623
Position 2206: 0.07013058121636997
Position 24157: 0.06998718853832442
Position 18392: 0.067509665987164
Position 12024: 0.06420766845308322
Position 1037: 0.06213982308192431
Position 18921: 0.04986927124351065
Position 891: 0.04721354603977544
Position 25519: 0.0464299860745466
Position 7848: 0.046204160575574964
Position 23912: 0.044713398051208476
Position 1196: 0.04340716683979296
Position 13142: 0.041853336028799114
Position 19200: 0.04119431233217337
Position 641: 0.036996781836089565
Position 8450: 0.036206895124001034
Position 23850: 0.03553229757983179
Position 3163: 0.034253895770940575
Position 16629: 0.034198240655057624
Position 21211: 0.03319578062972844
Position 9866: 0.02852833424990068
Position 17456: 0.027520917833615807
Position 10734: 0.027463658373320876
Position 23854: 0.026468964176285407
Position 5578: 0.025168629167439456
Position 24567: 0.023405489409552737
Position 222: 0.021729684235155613
Position 14831: 0.020515384685968526
Position 18527: 0.020359609869645526
Position 4799: 0.020202188145677816
Position 8584: 0.019569278844405995
Position 2099: 0.019081924839115062
Position 26755: 0.016771762807432332
Position 7542: 0.016522534213986657
Position 809: 0.016079145737918146
Position 4924: 0.015829332758067298
Position 10724: 0.01549632688840971
Position 17522: 0.013742925301679311
Position 4108: 0.012394764923278925
Position 608: 0.011633609479588072
Position 10738: 0.011611185288362707
Position 10745: 0.011342485684168672
Position 23972: 0.011330147715524323
Position 9329: 0.009545794514346837
Position 24015: 0.009290593692125816
Position 4750: 0.008688114847845627
Position 23754: 0.008336480712110163
Position 22770: 0.008197839904600119
Position 16188: 0.007514663024229112
Position 13159: 0.00741962829207413
Position 7550: 0.007316687270402978
Position 18995: 0.007064484679114481
Position 12221: 0.006630567758708177
Position 19373: 0.005909548153047369
Position 4815: 0.005895233251665691
Position 8567: 0.005815584121408137
Position 22173: 0.00580311278765371
Position 9404: 0.00554989266080533
Position 2375: 0.0054418517217988795
Position 165: 0.005077762214374789
Position 2095: 0.005062005915558423
Position 19453: 0.004982221163217274
Position 12671: 0.004957530580703706
Position 21991: 0.004943436662518636
Position 5796: 0.004847792538211082
Position 78: 0.004826416172629941
Position 5598: 0.004717339197624703
Position 13892: 0.004467493960935049
Position 8588: 0.004455408334655862
Position 8375: 0.004446517361054664
Position 13276: 0.004401495935958374
Position 13146: 0.004366226225016355
Position 4431: 0.003987543516095908
Position 4808: 0.003584476339533047
Position 20643: 0.0035022579246813926
Position 2307: 0.0034553074455258895
Position 22287: 0.003342415149363855
Position 13112: 0.0033008553737593704
Position 19156: 0.003131552605620855
Position 19982: 0.002906313158736259
Position 11491: 0.0028495029897087332
Position 13261: 0.0028254449125526236
Position 21037: 0.002746325927094123
Position 22154: 0.0027201273043849744
Position 9297: 0.0025959611505779944
Position 8433: 0.002544262559451717
Position 11653: 0.002530527979718188
Position 23498: 0.002502836300930047
Position 14660: 0.0024566746366373616
Position 23698: 0.0023469579025757947
Position 13244: 0.0022571327309553217
Position 85: 0.00221943528201425
Position 5897: 0.0022087516130259487
Position 23163: 0.002183651967845673
Position 13688: 0.002037401662336177
Position 12061: 0.002024621585336379
Position 13820: 0.0019800999515645497
Position 2297: 0.0019744772922370827
Position 4620: 0.0019743198736906823
Position 13180: 0.0018750351034136183
Position 7174: 0.0018697045638815934
