Gene = Nenf
index = 743
Annotated 5SS: [ 276 6735 8276]
Annotated 3SS: [ 6673  8171 11104]
SMsplice 5SS: [ 276 6735 8276]
SMsplice 3SS: [ 6673  8171 11104]
top_k =  1000
Partition function (log Z): -4.18629204029509

Sorted 5' Splice Sites (High to Low Probability):
Position 276: 0.9632293416761414
Position 6735: 0.9182181303146713
Position 8276: 0.8896944407896336
Position 1649: 0.5105388698242572
Position 2860: 0.4057337093934716
Position 4791: 0.3376902779458328
Position 5301: 0.2681804391081163
Position 9757: 0.19212121400750112
Position 2059: 0.17894940921549934
Position 5001: 0.17284022569310467
Position 2685: 0.13409511437926283
Position 5272: 0.12283349271338731
Position 1416: 0.09709936682100061
Position 5444: 0.0814571557745596
Position 10846: 0.07548060649204644
Position 5257: 0.07268540160439467
Position 7061: 0.05290423770783047
Position 5469: 0.05123507553251306
Position 6426: 0.037047392056641364
Position 6775: 0.026104346137322557
Position 4705: 0.024203688417879742
Position 8003: 0.02199812520424728
Position 9342: 0.020686122429387416
Position 6592: 0.02053765366494473
Position 10404: 0.019764440415043515
Position 2680: 0.01968621693105522
Position 452: 0.017490134247793384
Position 2023: 0.017441494555999058
Position 8229: 0.01742579830529126
Position 2729: 0.016725556211012627
Position 6278: 0.015582697906883464
Position 2656: 0.014613002557069783
Position 2134: 0.013270282024595318
Position 10360: 0.011270366058770917
Position 3589: 0.009270219208211805
Position 3712: 0.008890661129062045
Position 2823: 0.008720842335896968
Position 5008: 0.00850661130645991
Position 9119: 0.007138415213828509
Position 228: 0.007057318393818788
Position 7761: 0.005687749230640688
Position 6101: 0.004587062460122766
Position 8014: 0.004173552059365986
Position 2745: 0.004172650936620661
Position 5140: 0.004077769766119317
Position 9668: 0.003987165289424105
Position 5485: 0.0038699142620449265
Position 10243: 0.003862345146189967
Position 6566: 0.0033831601815085596
Position 5512: 0.0029069897947633714
Position 3472: 0.0028797062582657617
Position 8987: 0.0022844919114901425
Position 2870: 0.0022353177647296595
Position 1708: 0.002031622917777608
Position 1438: 0.001927120210956985
Position 3907: 0.001654040672050553
Position 8440: 0.0015563684631032537
Position 7905: 0.0014701097564535524
Position 4089: 0.0014565585708615526
Position 405: 0.0013371539143564647
Position 9680: 0.0013245802867526786
Position 2632: 0.0012825866265939263
Position 4710: 0.00120275562621026
Position 946: 0.0010418478442755532
Position 1526: 0.000973476899004366
Position 1605: 0.0007430027992991353
Position 8806: 0.0007393293857405931
Position 791: 0.0007233256359636489
Position 622: 0.0007171362508796566
Position 446: 0.0007163014829037281
Position 4944: 0.0007021856928017809
Position 1098: 0.000632705878605894
Position 1796: 0.0006256912527801547
Position 5722: 0.0005823275713257079
Position 1601: 0.0005063292811065035
