Gene = Clpx
index = 272
Annotated 5SS: [  306  5805  7706 14363 16052 17880 22561 23234 24492 26724 28584 30040
 32629]
Annotated 3SS: [ 5640  7587 14207 15891 17837 22383 23068 24402 26558 28283 29946 32521
 35553]
SMsplice 5SS: [  306  5805 14142 14363 22561 23234 24492 26724 30040 32629]
SMsplice 3SS: [ 5640 14068 14207 22383 23068 24402 26558 29946 32521 35553]
top_k =  1000
Partition function (log Z): -21.22330327924298

Sorted 5' Splice Sites (High to Low Probability):
Position 306: 0.9563136441531294
Position 5805: 0.8511558379458619
Position 14142: 0.6883027707669013
Position 14363: 0.5853963399513209
Position 16052: 0.29890154775142797
Position 7706: 0.26000035332377464
Position 10392: 0.23812793719312825
Position 4453: 0.14308979641503186
Position 1203: 0.07493737719338611
Position 1008: 0.04853039150084084
Position 42: 0.04801417518764242
Position 4479: 0.023822459881365617
Position 3880: 0.020550668368466623
Position 4449: 0.0177272261793937
Position 3872: 0.01681076673088243
Position 3659: 0.016288043315250644
Position 3117: 0.011995485903603699
Position 2283: 0.011776594217854475
Position 3518: 0.010602771124587398
Position 3893: 0.010406594399892215
Position 450: 0.009125697428959037
Position 2041: 0.008059994554383009
Position 9476: 0.007640949419718468
Position 2969: 0.006987917683889426
Position 785: 0.00690098789611167
Position 2575: 0.006138991695827856
Position 1244: 0.005688731822833971
Position 468: 0.0054114471495379304
Position 1947: 0.004857168708031577
Position 15029: 0.004856471133530943
Position 8952: 0.004815486047616716
Position 693: 0.0038433633825548023
Position 4457: 0.0033622610512030375
Position 1730: 0.003263044615532409
Position 5093: 0.0031848719509632445
Position 5325: 0.00269401288955993
Position 3403: 0.002687316353793071
Position 1338: 0.0022093420248626965
Position 6889: 0.0016569731242361651
Position 5641: 0.0014363443301876374
Position 2803: 0.0012668449038472458
Position 3098: 0.0012421166013413152
Position 8387: 0.0012071481378438012
Position 5535: 0.0011522709407971942
Position 3848: 0.0008601936500179351
Position 3758: 0.0008138401412695384
Position 1209: 0.0007407650806117974
Position 4352: 0.0006156056183079236
Position 8129: 0.0005460534090221453
Position 1018: 0.0005172256658455929
Position 3461: 0.0004946814559966899
Position 541: 0.0004734195007921082
Position 5039: 0.0003850621222529051
Position 10493: 0.0003487894500948175
Position 171: 0.0003403907135446754
Position 5243: 0.0003395613738610575
Position 2350: 0.0003375128792903653
Position 91: 0.000324597822672734
Position 1265: 0.00031529486843870054
Position 2746: 0.0003101121420298547
Position 3733: 0.00029612192328600065
Position 1708: 0.00028616653657230316
Position 2696: 0.00025875744613218705
Position 3542: 0.00024753718925431435
Position 314: 0.00023405619048919553
Position 7928: 0.00022500125264481727
Position 7610: 0.00021966737189691335
Position 3722: 0.0002017728848611596
Position 990: 0.00019543198306203508
Position 3047: 0.0001790167459465562
Position 2278: 0.00016851845546256378
Position 2405: 0.00015167406791285668
Position 5: 0.00012736706837395434
Position 7673: 0.00012223700171350735
Position 7643: 9.167295979779543e-05
Position 564: 6.61062334423023e-05
Position 56: 5.706709439079275e-05
Position 328: 4.331873216804516e-05
Position 141: 2.9164712324696706e-05
Position 737: 1.759868620745617e-05
Position 352: 1.118909945499766e-05
Position 419: 1.0035434826308472e-05
