Gene = Parm1
index = 794
Annotated 5SS: [  343 76887 95462]
Annotated 3SS: [ 76202  95382 105317]
SMsplice 5SS: [   343  76887  78772  84817  95462 105412 105682]
SMsplice 3SS: [ 76659  78617  84701  95382 105317 105573 105815]
top_k =  1000
Partition function (log Z): -68.08623490100494

Sorted 5' Splice Sites (High to Low Probability):
Position 448: 0.47662276377858886
Position 343: 0.3892364092515035
Position 280: 0.2537180835955085
Position 204: 0.10904162035767961
Position 4037: 0.09737936345792798
Position 6144: 0.09133444380278444
Position 3859: 0.07110510809126203
Position 8711: 0.04900776617639561
Position 1151: 0.03966792682876813
Position 240: 0.03526679322169988
Position 4889: 0.03196214392286823
Position 223: 0.01781202852685631
Position 2821: 0.015895329978861228
Position 7874: 0.013647672966127431
Position 3231: 0.012527137137343654
Position 702: 0.011985478930919655
Position 995: 0.011052378707520894
Position 7603: 0.010391981977739093
Position 312: 0.009281737653430695
Position 192: 0.007771294632705537
Position 483: 0.006984081569998275
Position 3707: 0.005894358352266135
Position 4788: 0.005289727775207974
Position 165: 0.004820046396189544
Position 4256: 0.004675150348328486
Position 6847: 0.004042962189901712
Position 1668: 0.003675375928379867
Position 177: 0.003528404592825767
Position 896: 0.0032923093390413217
Position 2995: 0.0023661277484460963
Position 6738: 0.0021623797505085237
Position 4401: 0.0012515961180170087
Position 6257: 0.001192549781787226
Position 738: 0.0011140903125076943
Position 794: 0.0008063255759872065
Position 452: 0.0007471291231321741
Position 1178: 0.0007448866808775993
Position 4639: 0.0007338092031555184
Position 13: 0.0006930366637143345
Position 76: 0.000638088152222397
Position 627: 0.0006098680479568532
Position 935: 0.0005549313643438926
Position 1159: 0.0005280428701664386
Position 1001: 0.0004950727537054503
Position 295: 0.0004567125190445533
Position 7133: 0.00039360384628283495
Position 393: 0.00033631438376616364
Position 975: 0.00032315172328548276
Position 986: 0.0002992185410942502
Position 1226: 0.0002955576062617327
Position 303: 0.0002850827333553274
Position 462: 0.00027672771554603057
Position 2386: 0.00022568739440575634
Position 1548: 0.0002104917222639926
Position 265: 0.00020777627076615522
Position 4634: 0.00018887063511465268
Position 575: 0.00017895883444119545
Position 816: 0.00010898944881345691
Position 1261: 9.239866979363796e-05
Position 2077: 7.537225887403706e-05
Position 2341: 7.072521682163854e-05
Position 464: 6.0176648170443846e-05
Position 776: 3.821029798864364e-05
Position 22: 3.0344892736872033e-05
Position 445: 1.471305096349802e-05
Position 355: 1.4587244943853852e-05
Position 965: 7.1381565738271925e-06
Position 714: 6.45074064223337e-06
Position 4950: 4.305246097579246e-06
Position 2264: 3.201294984488365e-06
Position 485: 3.1973076016908344e-06
Position 636: 3.0788004451194912e-06
Position 1165: 2.9747116155300025e-06
