Gene = Gclc
index = 428
Annotated 5SS: [  425 20657 21774 25101 26608 26833 30874 31332 32315 32855 33365 33758
 37262 37449 37639]
Annotated 3SS: [20543 21590 24986 26548 26698 30798 31214 32175 32741 33271 33652 37179
 37344 37517 38504]
SMsplice 5SS: [  425 11771 20657 21774 25101 26608 26833 30874 31332 32315 32855 33365
 33758 37262 37449 37639]
SMsplice 3SS: [11631 20543 21590 24986 26548 26734 30798 31214 32227 32741 33271 33652
 37179 37344 37517 38504]
top_k =  1000
Partition function (log Z): 11.74716846979467

Sorted 5' Splice Sites (High to Low Probability):
Position 37449: 0.9951297243833663
Position 26833: 0.9850001245158236
Position 32315: 0.9787619232210418
Position 37262: 0.9485275527550833
Position 26608: 0.9434328361195164
Position 20657: 0.9325467164234956
Position 31332: 0.9123162160094401
Position 25101: 0.9065221543288051
Position 33365: 0.8970789023724469
Position 21774: 0.8641458938337977
Position 425: 0.8357389945602508
Position 11771: 0.6965952068950352
Position 32855: 0.6832431447009142
Position 37639: 0.6495139057712465
Position 30874: 0.6385790290427422
Position 9627: 0.5656728288867872
Position 2729: 0.5405477979827134
Position 33758: 0.45198021515836817
Position 1839: 0.4515419959577414
Position 12854: 0.4357022620399095
Position 32620: 0.38458492243289527
Position 8795: 0.38241651282011213
Position 38872: 0.3230058794628582
Position 13563: 0.27884216942784873
Position 38694: 0.2553747909690433
Position 30511: 0.21503998863154122
Position 4325: 0.18594321489304877
Position 32060: 0.1828458159232938
Position 9992: 0.17831385239116473
Position 13502: 0.1673425333717676
Position 29899: 0.16614870018092473
Position 28208: 0.16575974122420264
Position 33591: 0.15969776695527785
Position 9916: 0.15746623792835795
Position 8884: 0.1562165093306373
Position 30885: 0.14225521608531772
Position 865: 0.13607932785257335
Position 4830: 0.13039108941818003
Position 33043: 0.1269455001350927
Position 31149: 0.11974085323742517
Position 18615: 0.11622595998584717
Position 27155: 0.09078029005765384
Position 38868: 0.0746929737563925
Position 7011: 0.06566850116178612
Position 4224: 0.06417616333362869
Position 26174: 0.06224247679499074
Position 2271: 0.05531581440162329
Position 11765: 0.05286150044991625
Position 2257: 0.04822004308646012
Position 9679: 0.04160077753028758
Position 20743: 0.04149134503418478
Position 11802: 0.03275625379980465
Position 36870: 0.03018073414501064
Position 32894: 0.02863383252102954
Position 1923: 0.027548994113442554
Position 31516: 0.02624106907731984
Position 34574: 0.025881409301196125
Position 12687: 0.021208277125901006
Position 28476: 0.01914968118697973
Position 16263: 0.018248788138520086
Position 32914: 0.01720042362384614
Position 31718: 0.016073715182744395
Position 32952: 0.015036552079158176
Position 3012: 0.01476153315402858
Position 25947: 0.013989420513886987
Position 38094: 0.013143462234955609
Position 33612: 0.013007696969393061
Position 338: 0.012864053964910352
Position 31713: 0.011865530798900913
Position 27193: 0.01149065347408487
Position 33539: 0.011211925647790721
Position 860: 0.011010022538466845
Position 2231: 0.010590249104641139
Position 1877: 0.01026597470168102
Position 1910: 0.010199009098268721
Position 30614: 0.009507927482281677
Position 32567: 0.009115755661680396
Position 33098: 0.00758107320790675
Position 31033: 0.007372519585513975
Position 28040: 0.006594824344769626
Position 48: 0.006078753665947558
Position 417: 0.005950388713024861
Position 38423: 0.00571259470951275
Position 35308: 0.005651516608519802
Position 4204: 0.005483813970535228
Position 31474: 0.005297804679038682
Position 3017: 0.0052816671377234345
Position 31823: 0.005068213482528186
Position 37644: 0.005049095585625418
Position 20799: 0.004678047304675128
Position 37883: 0.004665482220291088
Position 27977: 0.004308159793454822
Position 28618: 0.004195694181832377
Position 32046: 0.00412031805655222
Position 2506: 0.004114589137678346
Position 7383: 0.004049352453794891
Position 30666: 0.0038260143930782036
Position 2502: 0.003821767900282815
Position 26612: 0.0036922931325051394
Position 412: 0.0033763344336132585
Position 3716: 0.0031164982950014925
Position 3842: 0.0028879862429121135
Position 33698: 0.0028212512132083254
Position 36125: 0.0027160121365004983
Position 184: 0.002579395768833689
Position 33928: 0.002563471792530061
Position 31066: 0.002548350947402897
Position 35493: 0.0023802958869225633
Position 1919: 0.0021671642322981435
Position 31708: 0.00204710665460195
Position 38317: 0.0019786346215570345
Position 33768: 0.0018681833627862399
Position 614: 0.0015818014576706502
Position 26616: 0.0015510103324991899
Position 1834: 0.0014858149573386999
Position 11795: 0.0014829997322995377
Position 33165: 0.0011585055899774946
Position 36227: 0.0011165320349002788
Position 839: 0.001089310201361596
Position 38031: 0.0010831606086008252
Position 2845: 0.0008540239854965854
Position 2198: 0.0008536002090895278
Position 37597: 0.0007689940835525202
Position 4270: 0.0006802430388314747
Position 2974: 0.0006705627866984752
Position 33653: 0.0006651426629009674
Position 33543: 0.0006541349112919577
Position 38128: 0.0006514056061885442
Position 32839: 0.0005976900075606121
Position 4212: 0.0005889019348999385
Position 1185: 0.000545814281319628
Position 2786: 0.0005291331428342426
Position 1106: 0.0005076293792929125
Position 1848: 0.00044566253055604706
Position 1518: 0.00043244854257680764
Position 27006: 0.0004031442022461382
Position 1846: 0.0003852212543602542
