Gene = Gsap
index = 522
Annotated 5SS: [   171   8188   9813  21022  21353  31190  35007  36151  40060  40545
  41779  42958  56594  60712  64545  64868  67151  67753  71635  83742
  84326  84960  86755  91852  94778  95314 101508 102361 103602 103856]
Annotated 3SS: [  8110   9755  20951  21298  31100  34936  36100  39954  40484  41734
  42871  56515  60609  64451  64649  67080  67669  71580  83612  84266
  84927  86692  91755  94706  95218 101387 102298 103499 103755 104248]
SMsplice 5SS: [   171   8188  21022  21353  27950  31190  35007  39487  40060  42958
  44962  49010  60548  64545  64868  67151  67753  71714  83742  84326
  86755  91852  93293  95314  96373 101508 102361 103602 103856]
SMsplice 3SS: [  8110  20951  21228  27866  31100  34936  39273  39954  42871  44759
  48887  60423  64451  64649  67080  67669  71580  83612  84266  86692
  91755  93168  95218  96259 101387 102298 103499 103755 105043]
top_k =  1000
Partition function (log Z): -59.13599049381784

Sorted 5' Splice Sites (High to Low Probability):
Position 8188: 0.9858092054395607
Position 171: 0.7883242367992392
Position 5757: 0.39155780402108564
Position 1600: 0.3338667545308268
Position 841: 0.25990664753384535
Position 1620: 0.25539424039409353
Position 7162: 0.23923021659045343
Position 9813: 0.2171641597428453
Position 7022: 0.20778345149272429
Position 5671: 0.14277688698228008
Position 13524: 0.1270305987930492
Position 5598: 0.07998167190076852
Position 21022: 0.07623779324948271
Position 1372: 0.06776592274797276
Position 1177: 0.06269336806734482
Position 7123: 0.05613289550660476
Position 880: 0.03870612417105819
Position 1301: 0.03729019879251143
Position 1540: 0.03309092145708997
Position 5637: 0.02812796983221614
Position 7999: 0.02592378362996786
Position 1580: 0.025218369072344007
Position 7166: 0.024314346145596924
Position 1132: 0.022316309507840488
Position 1229: 0.019046792314055407
Position 13305: 0.015723876326171525
Position 1727: 0.01547298384108894
Position 3645: 0.014233840639654625
Position 650: 0.011670656215873246
Position 184: 0.011599833830817564
Position 13415: 0.011338358772459622
Position 7059: 0.010725683774643238
Position 4447: 0.010210252964907148
Position 5425: 0.009344261589425588
Position 8978: 0.009318576885658778
Position 6980: 0.009045604508022376
Position 1156: 0.009035164562770105
Position 7561: 0.008434640350627423
Position 13273: 0.008415008931997196
Position 9328: 0.008322832314570728
Position 1182: 0.006852870110004387
Position 4153: 0.006440780666424305
Position 1259: 0.0057399523997345115
Position 4220: 0.005480064115949253
Position 1714: 0.00484507168837841
Position 13285: 0.004722164164333123
Position 2613: 0.004583577404340089
