Gene = Cd2bp2
index = 236
Annotated 5SS: [  72  640  978 1257 1798 1986]
Annotated 3SS: [ 538  841 1098 1358 1878 2069]
SMsplice 5SS: [  86  640  978 1257 1798 1986 2177]
SMsplice 3SS: [ 532  841 1160 1358 1878 2069 2917]
top_k =  1000
Partition function (log Z): 4.445325567058207

Sorted 5' Splice Sites (High to Low Probability):
Position 978: 0.9707221124411634
Position 1986: 0.9405666486904649
Position 2177: 0.8620369763219269
Position 1798: 0.8372114594072696
Position 1257: 0.6829644614824802
Position 640: 0.6398553173178686
Position 86: 0.5210487025340925
Position 1299: 0.23680088259419516
Position 214: 0.126653377879163
Position 72: 0.09162051050625529
Position 2464: 0.0667601839160205
Position 226: 0.046981197082650694
Position 2366: 0.04118431680841569
Position 262: 0.03484162207397023
Position 1426: 0.033334096964942765
Position 1601: 0.02655633195536859
Position 4122: 0.02433201406425194
Position 155: 0.02180374403628741
Position 3316: 0.015909600200528954
Position 1636: 0.014014909271362612
Position 3888: 0.013446401602837742
Position 235: 0.012354296823919121
Position 732: 0.011249513633642115
Position 1259: 0.01089340102941069
Position 1359: 0.007077918761281632
Position 199: 0.006951390185849812
Position 248: 0.006681802121227053
Position 4096: 0.006181321921072443
Position 3279: 0.005686560957965497
Position 1478: 0.005618833221535877
Position 1661: 0.005239135733648464
Position 2076: 0.005001787592186446
Position 166: 0.004765013157929798
Position 2259: 0.00426551280272785
Position 1328: 0.004188343495615558
Position 1395: 0.003294486893367504
Position 608: 0.0031491899942633563
Position 2928: 0.0028830223661270036
Position 3945: 0.0028586323099498725
Position 3160: 0.002740402910901338
Position 1040: 0.002406301705550545
Position 2749: 0.0022146517323145287
Position 1033: 0.0021919399048685962
Position 1494: 0.0019932676172441997
Position 1762: 0.0017111819884726724
Position 3355: 0.0016569304174361402
Position 1472: 0.0014325936682924028
Position 2987: 0.0014166845709069331
Position 395: 0.0013404170313846351
Position 1475: 0.001311233711060351
Position 461: 0.0012533638047902786
Position 1681: 0.0011856386541794146
Position 278: 0.0006789472434993089
Position 1099: 0.0006783550760936422
Position 2171: 0.0006446731356580765
Position 1293: 0.0005669052907310425
Position 3574: 0.0005634073318549956
Position 16: 0.0005534194009958538
