Gene = Smco4
index = 988
Annotated 5SS: [  198 32273]
Annotated 3SS: [32195 51106]
SMsplice 5SS: [  198  6187 27448 30287 32273 46591]
SMsplice 3SS: [ 6057 27315 30115 32195 46434 51394]
top_k =  1000
Partition function (log Z): -33.166228944528996

Sorted 5' Splice Sites (High to Low Probability):
Position 6187: 0.8714760034513033
Position 198: 0.663017053896691
Position 675: 0.3149720236402858
Position 718: 0.3132462609072584
Position 1912: 0.24871139699350622
Position 7767: 0.22914310557982842
Position 4098: 0.13708181767180094
Position 3196: 0.11387280531409551
Position 3083: 0.04389661273016704
Position 12852: 0.04174521996490907
Position 7308: 0.04118838191909551
Position 4275: 0.03510197967218477
Position 1714: 0.02858275055798656
Position 2102: 0.023981309012943926
Position 6872: 0.02341706617109741
Position 9374: 0.018179307283477112
Position 1413: 0.014795643518726238
Position 8134: 0.009471827623840978
Position 10710: 0.009392118632334742
Position 1146: 0.00481775601458961
Position 6673: 0.0036586729261487115
Position 477: 0.0029736095897682263
Position 1386: 0.0027386968436591773
Position 1585: 0.0018699343547058116
Position 7556: 0.0018472461573676804
Position 2144: 0.0018249056889323935
Position 7292: 0.0015255512619023388
Position 2607: 0.001156368152080287
Position 1377: 0.0009925885715318073
Position 171: 0.0009840479002757056
Position 1907: 0.0009115010578335785
Position 181: 0.0008715926961039192
Position 963: 0.0007973066871013513
Position 2620: 0.0006609858912263712
Position 1420: 0.00047391485833288895
Position 383: 0.00029367912476998496
Position 651: 0.00026479617156128236
Position 2050: 0.00024997006860401865
Position 253: 0.00022884714843831357
Position 3231: 0.00021528499748251333
Position 1621: 0.00015111254944348063
Position 2319: 0.00015056627586257682
Position 2316: 0.0001456068973664494
Position 694: 0.00014367039388707127
Position 1370: 0.00014089029718849922
Position 2246: 0.00014004412442802217
Position 1695: 0.0001362415308994084
Position 2266: 0.00012950961695587824
Position 51: 0.00010779750422726805
Position 1703: 0.00010285043415388165
Position 2558: 9.161068918684676e-05
Position 3554: 9.009083378012968e-05
Position 679: 8.309979571407425e-05
Position 614: 7.539805009010657e-05
Position 1416: 7.486996648761472e-05
Position 1659: 7.391550092962836e-05
Position 345: 7.036345009201054e-05
Position 3824: 6.120569742100789e-05
Position 1594: 5.377025489207401e-05
Position 1633: 5.1128470883642505e-05
Position 277: 4.4770331014972594e-05
Position 102: 3.3593266110966794e-05
Position 2106: 3.289608228820402e-05
Position 247: 3.281188446925377e-05
Position 1384: 2.9108697870316436e-05
Position 16: 2.9044307453883474e-05
Position 469: 2.283442890471658e-05
Position 2359: 2.1612792887019545e-05
Position 1771: 2.092017576736795e-05
Position 2306: 2.087734625232898e-05
Position 1512: 1.9337857616156352e-05
Position 23: 1.759329258669757e-05
