Gene = Irak1bp1
index = 593
Annotated 5SS: [  800  7944 16890]
Annotated 3SS: [ 7877 16758 16986]
SMsplice 5SS: [   82  7944 16890]
SMsplice 3SS: [ 7877 16758 16986]
top_k =  1000
Partition function (log Z): -12.01422457730446

Sorted 5' Splice Sites (High to Low Probability):
Position 8499: 0.5372883064968752
Position 800: 0.5365359856129602
Position 7944: 0.4986260478545647
Position 82: 0.4429590769919999
Position 316: 0.3657286138557876
Position 7955: 0.31741940752489356
Position 1142: 0.2052013087804539
Position 2329: 0.13785540088435852
Position 963: 0.11845928924304551
Position 3968: 0.11002661574269672
Position 968: 0.09879658965718989
Position 8262: 0.0778096907678289
Position 1838: 0.06820671219584401
Position 8476: 0.059055231730842074
Position 4295: 0.056717148971649624
Position 1369: 0.04844743551199385
Position 4967: 0.041298817620843614
Position 647: 0.0386707690115408
Position 11091: 0.03707348228463193
Position 3501: 0.028279272891567786
Position 5076: 0.02318039230818439
Position 4174: 0.017904681836826333
Position 3706: 0.0167551423133647
Position 704: 0.015461577404353076
Position 1852: 0.009095425418377424
Position 14452: 0.007161900208775233
Position 8208: 0.005819961562818064
Position 8688: 0.005742912475073622
Position 10537: 0.005007619521145289
Position 7429: 0.004513007396195192
Position 3481: 0.00438205653784366
Position 3818: 0.0043528816548606885
Position 2250: 0.0038126670603109386
Position 636: 0.003795389858150564
Position 1478: 0.0034436620811066853
Position 7995: 0.0031725179442441
Position 1335: 0.0025151045467130574
Position 830: 0.0024877763080026023
Position 8503: 0.0017195191851642159
Position 1157: 0.0016655286390098096
Position 1890: 0.0015652538815717214
Position 1933: 0.0014760480592106405
Position 1868: 0.0014191849257980853
Position 2653: 0.0012677106004731387
Position 722: 0.0012263152648870033
Position 665: 0.001214077149353279
Position 295: 0.0012069350236772725
Position 66: 0.0010243425678185107
Position 490: 0.0007045883428276882
Position 744: 0.0005819057960842292
Position 692: 0.0004501300100056986
Position 641: 0.0004253741715499876
Position 1393: 0.00042493715438120494
Position 518: 0.0004097975235634679
Position 242: 0.0003963385165211413
Position 1482: 0.00036784584007437313
Position 746: 0.00035309549472596684
Position 258: 0.0002841000793163037
Position 165: 0.00028285790172045077
Position 698: 0.00026802350850268987
Position 1976: 0.0002171167023882044
Position 1858: 0.0001875124598548619
Position 1786: 0.00016909113743506413
Position 127: 0.0001573241676116963
Position 459: 0.0001349391151136706
Position 1879: 0.0001219255441369141
Position 611: 8.24254069680732e-05
Position 793: 7.4385910070883e-05
Position 96: 7.036816112046284e-05
Position 1495: 6.861787645019268e-05
Position 750: 6.405946612181204e-05
Position 1146: 6.394384274434841e-05
Position 1225: 5.152053850408567e-05
Position 1137: 4.884732777433394e-05
Position 1416: 4.656875377356653e-05
Position 819: 4.618869553277344e-05
Position 973: 4.429781775893557e-05
Position 247: 4.251231437366794e-05
Position 331: 3.988880511132646e-05
Position 1910: 2.9403898897396282e-05
Position 27: 2.5701269979510485e-05
Position 667: 2.4269375983959015e-05
Position 1118: 1.5377152902253273e-05
Position 748: 1.4337979013305647e-05
Position 520: 1.2366920201803355e-05
Position 926: 9.958441629918596e-06
Position 435: 5.402319241407603e-06
Position 1195: 5.1014006580841955e-06
Position 4: 3.86786271912906e-06
Position 724: 3.2145096475462327e-06
Position 838: 2.333422563651503e-06
Position 1172: 1.9099344988132763e-06
Position 533: 1.198955351955114e-06
Position 364: 1.1770920453396924e-06
Position 333: 9.337819127738109e-07
Position 30: 2.869876066349028e-07
Position 1134: 4.6569293486898085e-08
Position 1486: 4.749552904596121e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 7877: 0.9464666428270926
Position 8394: 0.548244316201499
Position 583: 0.19217088158008902
Position 14223: 0.17812938662989816
Position 11043: 0.1515157434455705
Position 1010: 0.13407361695725728
Position 866: 0.13363847341219715
Position 3906: 0.11595444454438157
Position 909: 0.11192305750433906
Position 10043: 0.10790865535427756
Position 8415: 0.09392791348607224
Position 378: 0.09243473349086641
Position 14572: 0.09014045779098094
Position 1738: 0.08849921055401075
Position 17775: 0.08369246781005775
Position 2044: 0.07583062845614373
Position 589: 0.0752787718409801
Position 16986: 0.06114722269781071
Position 4117: 0.0600710407542696
Position 4858: 0.05722988083832955
Position 2134: 0.054809575776130375
Position 3388: 0.05331601943056944
Position 1330: 0.048162585649579925
Position 17743: 0.04283846567292897
Position 10395: 0.03699764609002444
Position 8687: 0.02888589767668939
Position 8184: 0.027309303805875762
Position 878: 0.023952898620693237
Position 8352: 0.02161610357280046
Position 14538: 0.019363157336319388
Position 1053: 0.016564055788327817
Position 4017: 0.012772895410801847
Position 11000: 0.012439409004195216
Position 14226: 0.011487960423098964
Position 8568: 0.01100073849532665
Position 10920: 0.009200672673489377
Position 177: 0.00838150788926019
Position 8892: 0.007767629978050047
Position 5001: 0.007669886207181387
Position 619: 0.0070159096139588385
Position 304: 0.006822929072934003
Position 664: 0.006805900277670373
Position 9096: 0.0068058664488244635
Position 7274: 0.006328248801189446
Position 14451: 0.005980251905634628
Position 3346: 0.005852898892234237
Position 675: 0.0057615234996777984
Position 8543: 0.005709786500014512
Position 10349: 0.005571452034749918
Position 12349: 0.005201535289908178
Position 202: 0.004855127929156562
Position 10399: 0.004748494068762605
Position 2192: 0.004715201063044149
Position 1101: 0.00425444598149449
Position 9836: 0.003385199624356983
Position 2057: 0.0033769813258312654
Position 1025: 0.0031496062037974963
Position 414: 0.003137321454598932
Position 476: 0.0023073792616813095
Position 8669: 0.002078963213389567
Position 8320: 0.002045899079576515
Position 686: 0.0020218234623315587
Position 219: 0.0019195638781427497
Position 640: 0.0016311916916725345
Position 7410: 0.0013051915408094593
Position 338: 0.0012765718601085352
Position 1006: 0.0012365042525905494
Position 1188: 0.0012001391162825652
Position 9862: 0.0011002537415509858
Position 1306: 0.0010109634099061036
Position 253: 0.0008793272128023426
Position 711: 0.0008108990815603585
Position 4560: 0.0007953427843949172
Position 2487: 0.0007655035665841953
Position 1244: 0.0007519193907056704
Position 8802: 0.0007071157929827802
Position 632: 0.0006595139663351921
Position 2073: 0.0005962192367738231
Position 2510: 0.0005035377868780835
Position 775: 0.0004818334972423422
Position 651: 0.0004188540576870734
Position 485: 0.00038461800906168975
Position 1058: 0.00036168240555370655
Position 1516: 0.00035860667195912243
Position 2000: 0.000354056039050058
Position 1368: 0.0003506106616375854
Position 9300: 0.00033606873942826246
Position 718: 0.0003267307465729522
Position 4050: 0.000238546208137609
Position 179: 0.00020618017157654703
Position 708: 0.00018730655657800012
Position 418: 0.00017489195594908415
Position 280: 0.00016407182962618671
Position 1172: 0.0001608308441238482
Position 225: 0.00012555026512052342
Position 145: 0.00010362592800271151
Position 210: 9.11710451871229e-05
Position 733: 8.465255063638324e-05
Position 2636: 8.448944807456536e-05
Position 233: 7.116086987559007e-05
Position 1885: 6.825461942262006e-05
Position 6230: 6.503529123914138e-05
Position 742: 6.466585038226981e-05
Position 428: 6.433865730681121e-05
Position 739: 5.8131871464944854e-05
Position 2438: 5.699621791260826e-05
Position 704: 5.065628218145282e-05
Position 275: 4.961858932396145e-05
Position 285: 3.587720955994771e-05
Position 1957: 3.211927106173715e-05
Position 799: 2.5383296486648062e-05
Position 916: 2.4015324421125794e-05
Position 1456: 1.8049715929192133e-05
