Gene = Lce1k
index = 627
Annotated 5SS: [55]
Annotated 3SS: [992]
SMsplice 5SS: [158]
SMsplice 3SS: [992]
top_k =  1000
Partition function (log Z): -9.413640990071137

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.5202200365155658
Position 380: 0.39929967982233794
Position 55: 0.2777326997145913
Position 721: 0.10986537646203652
Position 853: 0.02099639003587174
Position 476: 0.014236828709113879
Position 1494: 0.009834665819939203
Position 188: 0.005301237934521274
Position 126: 0.004878336518250716
Position 518: 0.004318079314887887
Position 565: 0.004084568063626984
Position 80: 0.0033365921999752735
Position 176: 0.002744709861108063
Position 265: 0.002580433854240008
Position 1084: 0.0021828490805036824
Position 1060: 0.0019602800410984745
Position 1133: 0.001395172905190603
Position 745: 0.0013745257412091745
Position 1399: 0.001020083791112175
Position 399: 0.0009255508651779439
Position 162: 0.0009184189072150136
Position 22: 0.0008129997684261018
Position 365: 0.0006195961897261472
Position 1123: 0.0005759326346044255
Position 1498: 0.00046919372827160504
Position 220: 0.00046761244093184215
Position 819: 0.00044788573325221803
Position 839: 0.00041454781112085345
Position 321: 0.00039156795124524403
Position 821: 0.00035044556334654005
Position 494: 0.0003173700607101499
Position 1146: 0.00030379089340142935
Position 846: 0.0002885765158666465
Position 42: 0.00026891286679993245
Position 1113: 0.0002495851570804969
Position 1365: 0.0002002081986279837
Position 442: 0.00015713728281462608
Position 337: 0.0001224363829748131
Position 1419: 0.00012051948125510904
Position 617: 0.00011149101685018571
Position 554: 8.834297654039326e-05
Position 33: 8.044151598960208e-05
Position 711: 6.32497711479601e-05
Position 37: 5.560906396825796e-05
Position 873: 4.8466630227405805e-05
Position 124: 3.979804116649025e-05
Position 59: 3.562358231704045e-05
Position 1155: 3.298409034828464e-05
Position 1164: 2.9729791606526368e-05
Position 592: 2.5800073671909665e-05
Position 424: 2.5515812710865e-05
Position 1469: 2.356978513734465e-05
Position 725: 1.858542934044813e-05
Position 1188: 1.0151478938234937e-05
Position 222: 1.0080591180921101e-05
Position 4: 8.621857777314987e-06
Position 44: 8.521393127248894e-06
Position 542: 8.057309768938201e-06
Position 965: 7.283039855905222e-06
Position 82: 6.1165142136511706e-06
Position 61: 5.894897951089297e-06
Position 280: 3.2971729117080103e-06
Position 411: 2.4678440820301454e-06
Position 24: 1.9750518130150797e-06
Position 257: 1.6098701970227319e-06
Position 269: 1.4244288136576828e-06
Position 290: 1.0582301720482454e-06
Position 46: 8.694752793985827e-07
Position 502: 7.792493773861503e-07
Position 260: 5.451180965487873e-07
Position 346: 5.382883171086261e-07
Position 693: 3.675732009090212e-07
Position 552: 3.622027454314704e-07
Position 788: 1.916978845043796e-07
Position 777: 1.874736731129992e-07
Position 701: 4.6806712180716753e-08
Position 293: 1.9450051097747654e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 992: 0.5518861983230665
Position 1571: 0.16404644334138882
Position 265: 0.12804346890703847
Position 301: 0.12261035503498596
Position 278: 0.10136735862580384
Position 611: 0.0985697065767014
Position 637: 0.04169672472540246
Position 1149: 0.021834227753633726
Position 1221: 0.01855785624970304
Position 1257: 0.017048750307480605
Position 665: 0.014979762402312994
Position 1492: 0.011334578545949499
Position 1290: 0.009805666036918806
Position 1197: 0.009735018574747213
Position 899: 0.009604548385328059
Position 1497: 0.00850793694927972
Position 592: 0.00783631145755192
Position 362: 0.006700494753081692
Position 542: 0.0057107048162453895
Position 784: 0.005388025896023558
Position 238: 0.0053633457300691365
Position 1173: 0.004512992359805932
Position 1266: 0.004170358159157063
Position 584: 0.0036030919703086976
Position 310: 0.003052517494494282
Position 693: 0.002223995079968304
Position 1305: 0.002033255160839092
Position 1060: 0.0018360749098676205
Position 1203: 0.0017121044921538998
Position 1414: 0.0014495618875013658
Position 719: 0.001361868743080976
Position 1010: 0.0012574381154380934
Position 1123: 0.0011810053980935366
Position 337: 0.001155281967003563
Position 452: 0.0007809711532702653
Position 379: 0.0007211727471195826
Position 1027: 0.0007078724010448957
Position 1308: 0.000615340096751609
Position 699: 0.00047331953886612255
Position 424: 0.00042941192063024065
Position 341: 0.0003325449350837367
Position 1338: 0.0003004389565032013
Position 431: 0.00026510162590976614
Position 1084: 0.0002183302716189664
Position 1335: 0.00019552540335827302
Position 905: 0.00019392005831365803
Position 494: 0.0001889371116435885
Position 786: 0.00016892462512695566
Position 428: 0.00013315052304012706
Position 1365: 7.979684528415874e-05
Position 1573: 7.617690589107617e-05
Position 721: 6.508897039623549e-05
Position 209: 5.190095843430908e-05
Position 1179: 4.294228994516374e-05
Position 814: 4.1638995506514784e-05
Position 1032: 4.12905271841236e-05
Position 1534: 3.814578983153949e-05
Position 937: 3.5429683723171344e-05
Position 517: 3.356791413601066e-05
Position 1368: 2.9283184539883416e-05
Position 435: 2.2976952174077897e-05
Position 1248: 1.972740247131623e-05
Position 392: 1.857373033793086e-05
Position 1039: 1.8413269197367202e-05
Position 523: 4.299781176659664e-06
Position 372: 4.237261666465361e-06
Position 215: 3.615521348744651e-06
Position 512: 3.531899625959851e-06
Position 136: 2.4965849215879156e-06
Position 472: 1.8971485916958706e-06
Position 475: 1.5410327221262393e-06
Position 158: 1.3572419409030133e-06
Position 188: 1.2037553571048485e-06
Position 151: 1.1647681890811485e-06
Position 155: 6.881652431365258e-07
Position 206: 5.576588418174018e-07
Position 397: 3.099657908690265e-07
Position 468: 1.4291040965735527e-07
Position 399: 1.0595715361159033e-07
Position 388: 8.180265700881229e-08
Position 129: 7.37180461607044e-08
Position 406: 6.025787524120487e-08
Position 404: 5.4862359752399605e-08
Position 171: 3.5655230279037784e-08
Position 120: 3.334891237673887e-08
Position 140: 3.005591868116334e-08
Position 402: 2.496697854532251e-08
Position 466: 6.117810633012724e-09
Position 68: 5.456355529457184e-09
Position 94: 4.938034647514005e-09
Position 91: 4.598320272132962e-09
Position 169: 3.959173197272773e-11
Position 103: 2.3571153109774214e-11
Position 79: 8.274531014207125e-13
Position 110: 7.320814860241562e-13
Position 113: 5.575418693841163e-13
Position 73: 4.1793370373241546e-13
Position 118: 2.545712997283796e-13
Position 76: 1.9646625774488205e-17
Position 108: 6.13217912868226e-18
Position 116: 4.080170453029479e-18
