Gene = Spc24
index = 1010
Annotated 5SS: [ 185 2619 3014 3187]
Annotated 3SS: [2473 2908 3109 4007]
SMsplice 5SS: [185]
SMsplice 3SS: [2473]
top_k =  1000
Partition function (log Z): -7.296911908778928

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9637687372042149
Position 1036: 0.18189063720789275
Position 684: 0.11687397897848736
Position 2692: 0.10057968216421043
Position 2566: 0.036948686726492576
Position 52: 0.026926288976640782
Position 3014: 0.026815271449873553
Position 3110: 0.014741930624952921
Position 1856: 0.014734141418649089
Position 2528: 0.012328413574450024
Position 1658: 0.012271888182550808
Position 2032: 0.011660777868651467
Position 643: 0.009137460923927332
Position 2367: 0.008197954141013236
Position 1260: 0.007426990542731827
Position 2138: 0.0074138092116653
Position 458: 0.005324427484396397
Position 3357: 0.005181656450962708
Position 195: 0.0051295319884811464
Position 905: 0.004349221709218662
Position 921: 0.003294812135590017
Position 2861: 0.0023366999968751708
Position 2600: 0.0022364803127884105
Position 3187: 0.0020275287230416476
Position 3073: 0.001593663796754317
Position 2018: 0.0015491217760623492
Position 238: 0.0014070810546950303
Position 986: 0.0013726651135150844
Position 3018: 0.001004605881142409
Position 1203: 0.0009627728882082745
Position 2711: 0.0009605725161901916
Position 2638: 0.0009317429566221736
Position 1669: 0.0008951276464366133
Position 1673: 0.000852592856688101
Position 1634: 0.0008336220305442237
Position 481: 0.0006818732809097567
Position 4198: 0.0006304448968013978
Position 1384: 0.0005204616763844127
Position 503: 0.0005193070902040743
Position 2161: 0.0005010169894266084
Position 645: 0.00048160737058827594
Position 1438: 0.0004747881655563193
Position 994: 0.00036927005986522773
Position 1289: 0.0003308940721422378
Position 1349: 0.0002779730189365633
Position 865: 0.00023883315506764794
Position 4108: 0.0002083108229395575
Position 3499: 0.00020024770289532308
Position 2028: 0.0001690047553199798
Position 2602: 0.00016721969412671382
Position 946: 0.00014149683205154102
Position 839: 0.00013586000270047753
Position 2318: 0.00013078104758023953
Position 466: 0.00012464936695368568
Position 2633: 0.00011955682378943752
Position 2760: 0.00011068948530808723
Position 665: 5.04495762788151e-05
Position 341: 3.464812164436105e-05
Position 254: 2.668115616991984e-05
Position 1341: 2.6156420589946305e-05
Position 1272: 1.816686852267541e-05
Position 411: 1.6558414788441112e-05
Position 2165: 1.647912442759331e-05
Position 1905: 1.4713457316606743e-05
Position 1309: 1.3347110456958385e-05
Position 810: 1.334253467940549e-05
Position 334: 1.2349199047333171e-05
Position 518: 1.0572541168486315e-05
Position 2219: 1.0370208496891402e-05
Position 1061: 7.3651849713760776e-06
Position 362: 7.292006628400862e-06
Position 1831: 5.930881260843202e-06
Position 401: 2.23149980057958e-06
Position 667: 1.751198179505292e-06
Position 46: 1.6367843157668195e-06
Position 628: 1.1237705657932654e-06
Position 677: 1.061047736498367e-06
Position 722: 9.668052874445513e-07
Position 732: 7.489471214807647e-07
Position 567: 6.574213381488553e-07
Position 636: 6.269224815807425e-07
Position 22: 6.021663534118419e-07
Position 774: 5.5945379090825e-07
Position 938: 4.879181315112422e-07
Position 484: 4.2575729493606167e-07
Position 1095: 4.234172801086936e-07
Position 289: 4.0269134886585003e-07
Position 299: 3.686923364721146e-07
Position 469: 3.2553928328434465e-07
Position 429: 2.6170975241061334e-07
Position 301: 6.313108538929915e-08
Position 688: 7.4182893240994615e-09
Position 889: 7.065645576367981e-09
Position 709: 3.040753336600853e-09
Position 699: 2.216723940148844e-09
Position 704: 7.413123868723451e-10
