Gene = Fam174b
index = 395
Annotated 5SS: [  527 26317]
Annotated 3SS: [26184 34593]
SMsplice 5SS: [  527 26317 31922 34685 35794]
SMsplice 3SS: [26184 31820 34593 35621 36018]
top_k =  1000
Partition function (log Z): -25.42775003682474

Sorted 5' Splice Sites (High to Low Probability):
Position 527: 0.7895233579011559
Position 1197: 0.5578384739451866
Position 910: 0.43177776569348864
Position 1872: 0.3563914805520449
Position 4483: 0.3163648199330263
Position 3420: 0.185586321646656
Position 1112: 0.08802164615011329
Position 181: 0.05565672701680421
Position 6609: 0.04835571450738468
Position 633: 0.035825804494575
Position 1102: 0.030352114582066103
Position 465: 0.024941131187722072
Position 1886: 0.024013308942299944
Position 119: 0.016720160188274977
Position 1590: 0.014648601076421476
Position 5835: 0.009820301665186167
Position 4032: 0.009439844893924873
Position 3989: 0.007527010653497729
Position 6021: 0.007133201421196696
Position 4475: 0.0071183477568529
Position 340: 0.006710030595395469
Position 1117: 0.005385388747527842
Position 1091: 0.005189244483347358
Position 1345: 0.004569429665884826
Position 2938: 0.004435161903613593
Position 293: 0.0040029231569692495
Position 1136: 0.00399473240246022
Position 6268: 0.0038266539188919523
Position 1332: 0.003400579914309276
Position 6646: 0.0030118011174024356
Position 8717: 0.002733653234500042
Position 414: 0.0024535275078546685
Position 1998: 0.0021369247193125025
Position 3834: 0.0018623623751685776
Position 4398: 0.001387136777552797
Position 1621: 0.001349549753543432
Position 4470: 0.0011801058526728957
Position 185: 0.001064094052942803
Position 769: 0.0007517731575851327
Position 3976: 0.0007048658997583718
Position 439: 0.0006762765691956815
Position 411: 0.0005980181803309009
Position 3671: 0.0005814535620297569
Position 536: 0.0005007017316406062
Position 688: 0.00047924025481832386
Position 1847: 0.0003873147851317445
Position 149: 0.0003454320967623181
Position 852: 0.0002752471862225261
Position 4152: 0.0002321375991244117
Position 478: 0.00022995735038187817
Position 531: 0.00020453271606701376
Position 1475: 0.0001995130701825553
Position 39: 0.00019441862786296035
Position 1493: 0.00016738939970732862
Position 3195: 0.0001671284810365145
Position 1266: 0.00015683423766233616
Position 610: 0.00014412741561246938
Position 746: 0.000123038405502723
Position 1095: 0.0001171627383738335
Position 1655: 0.00010632888826965419
Position 2075: 9.724633643315682e-05
Position 2803: 8.128606992642101e-05
Position 402: 7.704621557067293e-05
