Gene = 4930579F01Rik
index = 59
Annotated 5SS: [  175  2063 46069 51275 56080 60166 63206 64952 66142 73847]
Annotated 3SS: [ 1949 45839 51184 55872 60100 63061 64869 65939 73802 75127]
SMsplice 5SS: [  175  2063 12837 15707 51275 56080 60166 63206 64952]
SMsplice 3SS: [ 1949 12675 15542 51184 55872 60100 63061 64869 75127]
top_k =  1000
Partition function (log Z): -40.21346297262257

Sorted 5' Splice Sites (High to Low Probability):
Position 12837: 0.9197513292277214
Position 2063: 0.819377254164014
Position 175: 0.7235274037609774
Position 11675: 0.6289628893283619
Position 15707: 0.563219234528987
Position 2806: 0.5147130821090239
Position 9802: 0.4122000213538397
Position 7569: 0.3932621206048968
Position 442: 0.38290050741971415
Position 15665: 0.2791567836724877
Position 18227: 0.2395557290824888
Position 5484: 0.1716317306600504
Position 1323: 0.14144787681994075
Position 18183: 0.07738071149416473
Position 2102: 0.0644557286666987
Position 5475: 0.06205817677336947
Position 22172: 0.03681569746972744
Position 3743: 0.033435558875725246
Position 17137: 0.026919437201159687
Position 2574: 0.02636303568289683
Position 5254: 0.025989623139952386
Position 5730: 0.024719557085674197
Position 15693: 0.024317758782173265
Position 4499: 0.021176424959494067
Position 14333: 0.01965658131279648
Position 17148: 0.018274141984486323
Position 16051: 0.01823962625415902
Position 1350: 0.017936564719919754
Position 4451: 0.01636441872167725
Position 16958: 0.01633841980140143
Position 1208: 0.015236415121692291
Position 4850: 0.014812273381662643
Position 134: 0.012684371681601296
Position 15987: 0.011258040538139134
Position 853: 0.008645511071110284
Position 815: 0.008305054437891092
Position 6776: 0.007924922659900703
Position 2147: 0.007354072672147857
Position 15995: 0.00678532415717146
Position 2501: 0.0064706847685530415
Position 10618: 0.0064566181817487175
Position 7038: 0.005394720271044863
Position 7557: 0.005144217492315269
Position 4049: 0.004723999561660625
Position 16069: 0.004723270372394387
Position 8831: 0.004275415788687508
Position 10459: 0.0035304899757122696
Position 11280: 0.0034624713102733603
Position 1012: 0.0031627773337278733
Position 11772: 0.002832917258972835
Position 1268: 0.00268122697083578
Position 15716: 0.002549764598974686
Position 346: 0.0023762776975760564
Position 1551: 0.0021524066709757562
Position 126: 0.0019650254959287924
Position 8446: 0.001855052156446075
Position 5324: 0.0018513270246600583
Position 10901: 0.0017958539404784898
Position 10453: 0.0017563878420786107
Position 8670: 0.001431624560329213
Position 251: 0.0011600498723502368
Position 10: 0.0011280010749084083
Position 1741: 0.0010675674031205065
Position 8893: 0.0010513428460095112
Position 5101: 0.0009262094205874829
Position 3179: 0.0009141023996549416
Position 2229: 0.000872652001704881
Position 150: 0.000813626636787494
Position 15906: 0.0007928483255830661
Position 9736: 0.0007771083821463703
Position 6577: 0.0007519456916041803
Position 5445: 0.0007489121933498919
Position 740: 0.0007108767996424424
Position 627: 0.0007007295574431148
Position 5286: 0.0006998898628762524
Position 1577: 0.0005164122795756282
Position 2660: 0.0004795328598924489
Position 2531: 0.0004780083868556903
Position 388: 0.000326382133262863
Position 2644: 0.0002968174951251492
Position 9176: 0.00028654678985160967
Position 210: 0.00018044311902483783
Position 2537: 0.00016756361905746387
Position 1438: 0.000155715136937723
Position 978: 8.106876750455944e-05
Position 1458: 8.061355949664397e-05
Position 2880: 8.033922116279059e-05
Position 4195: 7.814464406886545e-05
Position 402: 7.742638684301719e-05
Position 980: 7.051786580421492e-05
Position 2980: 6.70222871880244e-05
Position 4661: 6.24787713777295e-05
Position 54: 2.5795403603841218e-05
Position 191: 1.5995366968080755e-05
Position 243: 1.3397258101540404e-05
Position 241: 1.2032885891105429e-05
Position 2036: 7.707996426152225e-06
Position 3865: 6.093804079792316e-06
Position 534: 4.929183167566092e-06
Position 483: 4.399616494198814e-06
Position 386: 3.2684240808015066e-06
Position 229: 2.803143816512738e-06
Position 1045: 2.7319135142086104e-06
Position 703: 2.5891704352784584e-06
Position 1030: 1.3160775930904681e-06
Position 465: 7.062093927109501e-07
Position 2033: 4.996113161558012e-07
Position 255: 4.854675090091396e-07
Position 521: 1.0677739602774503e-07
Position 504: 8.431293854014882e-08
Position 602: 7.281873517671448e-08
Position 474: 5.8571829926488765e-08
Position 561: 5.075764322706113e-08
Position 268: 4.358778437572649e-08
Position 266: 4.004945871479506e-08
Position 326: 3.713636481209429e-08
Position 519: 3.023788304440111e-08
Position 758: 2.3251966204605835e-08
Position 502: 2.171322388389839e-08
Position 785: 1.5448769902501135e-08
Position 778: 1.5292452330064977e-08
Position 485: 1.3443437109672177e-08
Position 609: 1.1617327706937072e-08
Position 494: 1.0356310011086915e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1949: 0.8684127435211183
Position 15542: 0.6948052334212396
Position 18073: 0.6837988540109478
Position 11567: 0.6033492922421673
Position 12675: 0.6006553290740774
Position 9712: 0.4140237306351244
Position 7436: 0.3984496824907071
Position 22539: 0.3685866590330329
Position 2659: 0.26739738331138957
Position 5372: 0.21692422027580516
Position 12479: 0.15895964673512325
Position 12710: 0.150569921340483
Position 284: 0.12670638518456248
Position 2742: 0.11963135201093822
Position 15580: 0.09744716275694408
Position 2697: 0.08693959138983304
Position 1166: 0.07238909716372327
Position 1116: 0.06866481668122186
Position 16872: 0.06363491902737019
Position 15794: 0.06045090365524215
Position 22082: 0.059239529535853784
Position 18350: 0.0476797477948289
Position 15458: 0.045021533805960516
Position 21762: 0.04369706064171755
Position 15554: 0.03720704307509551
Position 22581: 0.03597612136426536
Position 2389: 0.031413574464593905
Position 5171: 0.030853184670682987
Position 4407: 0.029295469447450796
Position 5587: 0.024079254166481566
Position 2415: 0.02008719837387581
Position 2536: 0.019286442097576184
Position 258: 0.018941404697985595
Position 3652: 0.015960533220441712
Position 14161: 0.01572426058791366
Position 18277: 0.01563857990970857
Position 4747: 0.014817569878283409
Position 11626: 0.014490957993650678
Position 11399: 0.014028650411965972
Position 18476: 0.013291567857146804
Position 12491: 0.012517209694562104
Position 3449: 0.011416158610748284
Position 16898: 0.010702212531037439
Position 20386: 0.009953224915738409
Position 19815: 0.00906458821312081
Position 10261: 0.008794459868755636
Position 2062: 0.008735588012172129
Position 5339: 0.008646111343373038
Position 6672: 0.007929340434222488
Position 19373: 0.007688837467808287
Position 4342: 0.007472028548806088
Position 6913: 0.0053947202710448615
Position 625: 0.0045765351258462575
Position 1973: 0.0045075339508268706
Position 16541: 0.004465513137490502
Position 14174: 0.004422252277078013
Position 5327: 0.00410247454355259
Position 1192: 0.004082022715746608
Position 721: 0.003813064731027686
Position 1213: 0.0037235089556538633
Position 1118: 0.003564150717299446
Position 11094: 0.0035502135495512144
Position 4949: 0.0035493951963976866
Position 16515: 0.0031120279665284817
Position 13802: 0.0031043599361296145
Position 3946: 0.003101363301582943
Position 10599: 0.0030346645137123963
Position 8734: 0.002994172426155902
Position 2530: 0.0027792970993113088
Position 288: 0.002740514694867205
Position 16577: 0.002655508486792032
Position 1808: 0.0025726797274843193
Position 881: 0.0025120287951224487
Position 1777: 0.002491542389611986
Position 8600: 0.002371812717968308
Position 1169: 0.0019600490328784735
Position 8348: 0.0019196498332113
Position 1634: 0.001913044130879138
Position 916: 0.0018409587428614815
Position 10762: 0.0017958539404784898
Position 1437: 0.0017722216573886117
Position 3511: 0.0016932972576046334
Position 3971: 0.0015029616533263938
Position 8673: 0.001465077689541485
Position 1121: 0.0013899713666931737
Position 3629: 0.0013534424171251155
Position 532: 0.0012912974314251186
Position 1653: 0.0012249836236806505
Position 972: 0.0011676816787586774
Position 3682: 0.0010598868985513712
Position 16684: 0.0010170735736703693
Position 345: 0.0009700367043132825
Position 1226: 0.0009632762499068442
Position 13737: 0.0009523473659064103
Position 14453: 0.0009510678154542959
Position 1877: 0.0009306770243343569
Position 3250: 0.0008533945799471279
Position 3739: 0.0008175530920015955
Position 602: 0.0007770283335353301
Position 3065: 0.0007479173810157475
Position 1309: 0.0007449557199344812
Position 1741: 0.0007076020920192479
Position 1272: 0.0006814691335500613
Position 2452: 0.0005720230782303681
Position 1207: 0.0005631653716301187
Position 6477: 0.0005079033173297397
Position 4426: 0.0004694154108809604
Position 13155: 0.000417388663590564
Position 2604: 0.00036139067557629955
Position 15706: 0.0003580636309857224
Position 1185: 0.0003536660938234664
Position 290: 0.0003437837442966701
Position 5400: 0.0003371396886082421
Position 1453: 0.0003206068757261902
Position 1780: 0.0003198399730947177
Position 1792: 0.0002935614261123658
Position 9012: 0.0002865467898516092
Position 1144: 0.0002540549986286253
Position 6430: 0.00024551796213194893
Position 3838: 0.0002105311121820599
Position 441: 0.00020744225546197407
Position 14567: 0.0002073175574899818
Position 4366: 0.00020687981708749335
Position 2359: 0.00019057751631678863
Position 674: 0.00018619388467201896
Position 4279: 0.00018371335828176798
