Gene = Pecr
index = 808
Annotated 5SS: [  222  7028  8149  9429 14038 16908 22363]
Annotated 3SS: [ 6893  7982  9346 13940 16796 22250 24880]
SMsplice 5SS: [  222  7028  8149 14038 16908 17232 22363]
SMsplice 3SS: [ 6893  7982 13940 16796 17143 22250 23333]
top_k =  1000
Partition function (log Z): 3.637523444852444

Sorted 5' Splice Sites (High to Low Probability):
Position 14038: 0.9930532998222703
Position 7028: 0.977201975284173
Position 22363: 0.9726183676792886
Position 17232: 0.9423482022301195
Position 222: 0.8884805183044713
Position 16908: 0.7874768847393666
Position 9429: 0.4806891049344339
Position 7689: 0.316331894331461
Position 14464: 0.24730848933859947
Position 933: 0.23979506425308958
Position 21509: 0.18580867383551763
Position 14821: 0.0957708972752259
Position 2431: 0.08827710579018622
Position 226: 0.07637252432194304
Position 17782: 0.06854452384791775
Position 9880: 0.0620974382117612
Position 17843: 0.05909211563022518
Position 4964: 0.056234178209144246
Position 21883: 0.05075493770167232
Position 2009: 0.04989037481750988
Position 16913: 0.04939971679163623
Position 20539: 0.044469989257225034
Position 11091: 0.04173238034844042
Position 9277: 0.04038458445462339
Position 21802: 0.04005432901601585
Position 21830: 0.0367335830849961
Position 7341: 0.03508954023467976
Position 23112: 0.034740062706896266
Position 1573: 0.029399241559786668
Position 6011: 0.029003004254105427
Position 8662: 0.028412664128144634
Position 8020: 0.023232194043242418
Position 15339: 0.02321897511244394
Position 16658: 0.023010649212712234
Position 11621: 0.022034349081923747
Position 275: 0.02147333625718749
Position 8271: 0.01847406832092871
Position 7693: 0.017901490776360173
Position 7295: 0.01763688854668646
Position 1687: 0.017394338095719105
Position 18880: 0.017346246134995906
Position 7107: 0.016838334596824225
Position 20642: 0.016822498392998153
Position 16121: 0.0160682882270985
Position 22869: 0.015464342074057663
Position 22554: 0.014587056318906017
Position 16873: 0.014545591905355393
Position 8365: 0.014492967573330507
Position 4604: 0.014127456906955188
Position 6221: 0.013056789767028518
Position 21726: 0.012491423159288974
Position 9725: 0.011581202498026532
Position 7946: 0.010956197230291466
Position 7177: 0.010765047768176222
Position 7983: 0.01005071930209774
Position 15410: 0.009675568659820485
Position 1490: 0.009653816657273414
Position 9721: 0.009433072360066201
Position 11662: 0.008689300055679916
Position 8103: 0.00855490867329777
Position 850: 0.008102694752408095
Position 2623: 0.00808048435389565
Position 17291: 0.0079495532713281
Position 7194: 0.007706638092833001
Position 8234: 0.00739331026989837
Position 9226: 0.0073279907650649415
Position 13603: 0.007320013255397349
Position 24658: 0.007235082068736687
Position 8153: 0.007039766076658256
Position 11223: 0.0064668622618894766
Position 791: 0.005903037699536071
Position 16962: 0.005870178191805727
Position 4944: 0.00549411414861917
Position 22418: 0.005270754359098889
Position 11271: 0.0051732647860944815
Position 1934: 0.005133105637837892
Position 20405: 0.00465742699514007
Position 24703: 0.004653863486570358
Position 17690: 0.004611512668596351
Position 4959: 0.0045319363886374186
Position 8138: 0.004358413087403502
Position 21682: 0.004300107674482563
Position 21868: 0.004275544765884179
Position 5821: 0.0040290353188462595
Position 14371: 0.0035866137444590137
Position 14117: 0.003549907491503725
Position 19759: 0.003420323556331634
Position 23170: 0.0030574133049930297
Position 5432: 0.002881642210675069
Position 23666: 0.0027141987154345737
Position 24014: 0.0024858557073703475
Position 1853: 0.002478751343240733
Position 19318: 0.002353182117195816
Position 2459: 0.002302950042582108
Position 21373: 0.0020764228308480996
Position 890: 0.0020079348312583584
Position 24229: 0.002002550933816046
Position 22647: 0.0019894742007025485
Position 929: 0.0019002466317571158
Position 11773: 0.0018471074035536872
Position 22988: 0.00181740411328678
Position 4703: 0.0018083345386918559
Position 3442: 0.0018028221234156435
Position 7810: 0.0017494883340275706
Position 7361: 0.0017490775316349988
Position 9667: 0.0016450290075902196
Position 14042: 0.0015397335078112474
Position 21776: 0.0015373561042630632
Position 16102: 0.001502508663821973
Position 16896: 0.0014412478867368572
Position 17788: 0.0013642965246628475
Position 3487: 0.001359323922058622
Position 2716: 0.0013291971059473811
Position 17057: 0.0012801985944415695
Position 15416: 0.0012144808890913908
Position 14684: 0.001194356279176823
Position 976: 0.00110708114871868
Position 2172: 0.0010334489086689038
Position 16518: 0.0010210029454040767
Position 14837: 0.000979280841950609
Position 378: 0.0009579316654541429
Position 5438: 0.0009089720003655002
Position 1020: 0.0008144970538001656
Position 16126: 0.0007993596687614409
Position 21815: 0.000685690214507594
Position 3817: 0.0005942026588917559
Position 8915: 0.0005857624065026373
Position 840: 0.0005717189010375567
Position 14588: 0.0005347755453908742
Position 8155: 0.0005338743637289366
Position 3830: 0.0005067959538218427
Position 22723: 0.00032744950718058285
Position 733: 0.0003050049017318767
Position 14014: 0.0003049729663277941
Position 197: 0.00030174860660237045
Position 17270: 0.00029479598903634147
