Gene = Sclt1
index = 952
Annotated 5SS: [   520   8347  11654  12224  15422  24786  31432  33046  39129  60233
  60819  67187  71130  75404  78563  80943  85311  95070 110862 112997]
Annotated 3SS: [  8278  11594  12150  15365  24649  31308  32979  39057  60141  60726
  67008  71030  75331  78487  80796  85117  94872 110782 112900 115279]
SMsplice 5SS: [   296    520   8347  12224  24786  31432  33046  42009  60233  60819
  62300  67187  71130  75404  78638  80636  80943  85311  86184  95070
 100287 109753 110862 112997]
SMsplice 3SS: [   372   8278  12150  24711  31308  32979  41868  60141  60726  62217
  67008  71030  75331  78487  80456  80796  85207  86107  94872 100163
 109552 110782 112900 115279]
top_k =  1000
Partition function (log Z): -41.350102714936035

Sorted 5' Splice Sites (High to Low Probability):
Position 15422: 0.999999996531192
Position 24786: 0.9999999913259424
Position 33046: 0.9805577704344514
Position 12224: 0.9768442460362172
Position 296: 0.9637065603507289
Position 31432: 0.9630299395818236
Position 8347: 0.9381184302365598
Position 42009: 0.9046295414370475
Position 520: 0.8160545129443938
Position 39129: 0.5704157220924295
Position 14731: 0.5466515638098928
Position 5304: 0.5241412424944331
Position 37801: 0.37202469411931055
Position 43380: 0.3618824069842315
Position 7796: 0.33390986468106965
Position 3625: 0.2924729528639604
Position 15035: 0.28803527638254
Position 10542: 0.2640119972484097
Position 5060: 0.17066764698910653
Position 44487: 0.16311272185892506
Position 42932: 0.12543198359926433
Position 36068: 0.11827961094865469
Position 28355: 0.10691020426086743
Position 42641: 0.1057435265581302
Position 9527: 0.10361654401831182
Position 27575: 0.0876646445249513
Position 25307: 0.08713380967207551
Position 27549: 0.08099991261551656
Position 43431: 0.0708753499706763
Position 39329: 0.06432066962673935
Position 46360: 0.06384102896109153
Position 561: 0.06181352335824076
Position 36207: 0.047407713441144056
Position 38302: 0.034984520826397976
Position 33833: 0.03421137933820322
Position 6575: 0.030986963563774485
Position 849: 0.026316085603896807
Position 11654: 0.024450386879285184
Position 556: 0.022880747112687446
Position 43376: 0.021049430583437362
Position 43728: 0.020183850290711073
Position 6162: 0.020173094459880105
Position 38325: 0.019677277092038047
Position 2032: 0.019261773168791047
Position 28819: 0.018538610182325208
Position 2617: 0.018056457828708433
Position 43332: 0.018041238997193794
