Gene = E030018B13Rik
index = 352
Annotated 5SS: [ 239 2572]
Annotated 3SS: [2382 3095]
SMsplice 5SS: [239]
SMsplice 3SS: [2264]
top_k =  1000
Partition function (log Z): -7.903852813228832

Sorted 5' Splice Sites (High to Low Probability):
Position 239: 0.846726590225617
Position 500: 0.5786913846538483
Position 1714: 0.5123045310083977
Position 1260: 0.2446961835718561
Position 2572: 0.06661126972877414
Position 2487: 0.04984044732202686
Position 504: 0.04204772848272276
Position 1868: 0.03515544708252555
Position 1891: 0.03166310068548453
Position 316: 0.01266853815968762
Position 243: 0.00861933280269717
Position 2050: 0.008314470076202543
Position 1872: 0.008231707017227018
Position 1693: 0.007806869471878141
Position 2351: 0.0076145115338503225
Position 2876: 0.007402519822738537
Position 2320: 0.0065307638358600316
Position 2437: 0.00560425710105785
Position 1372: 0.00536434131771181
Position 84: 0.005280684519167171
Position 1017: 0.004359027179767851
Position 739: 0.0036325723984619966
Position 285: 0.003415351822824146
Position 1850: 0.002301925164653028
Position 3282: 0.001753475551187127
Position 1094: 0.0010489964266143456
Position 158: 0.0005623686426973935
Position 2538: 0.00044909998339530475
Position 1881: 0.00044036382730533685
Position 1519: 0.0003916462712150175
Position 108: 0.00032866004027893117
Position 1196: 0.00032424493691116796
Position 342: 0.0003147651197066552
Position 777: 0.00027711817796559216
Position 866: 0.00024189406632024493
Position 2407: 0.0002190568850771929
Position 147: 0.00020624475286747028
Position 190: 0.00019761779584920124
Position 2227: 0.00019043453872693707
Position 354: 0.00018770452999357842
Position 369: 0.00016931929188142463
Position 263: 0.00013654872712269716
Position 248: 0.00012096498224574874
Position 841: 0.00011387188740734427
Position 3396: 0.00010053391893509843
Position 834: 9.425530678070217e-05
Position 820: 9.181336720210548e-05
Position 1029: 7.947449244212144e-05
Position 474: 7.859393479314122e-05
Position 1116: 7.241475370022256e-05
Position 826: 6.996277143023662e-05
Position 179: 6.767899334172003e-05
Position 1303: 5.564368705278729e-05
Position 227: 4.7477502191672395e-05
Position 547: 4.448383620283089e-05
Position 2033: 3.056163834289685e-05
Position 278: 3.0150217837605922e-05
Position 92: 2.1707572080693473e-05
Position 1563: 2.151295013891823e-05
Position 462: 1.9735708698047648e-05
Position 1000: 1.8404539208901425e-05
Position 2429: 1.6467629054316683e-05
Position 289: 1.642593024128005e-05
Position 2494: 1.5797604352047778e-05
Position 868: 1.5338830479341903e-05
Position 1118: 1.4317412948992464e-05
Position 668: 1.3006835533814859e-05
Position 732: 1.2422768227339084e-05
Position 994: 1.234977167656117e-05
Position 522: 1.2143544528130726e-05
Position 318: 1.1956906064793218e-05
Position 265: 9.400228932104019e-06
Position 577: 9.113658688306366e-06
Position 1007: 4.76050390397785e-06
Position 24: 3.4609400281556716e-06
Position 1301: 2.22998957508681e-06
Position 1704: 1.3044180511159225e-06
Position 1954: 1.1376414032694495e-06
Position 1723: 8.70617403280841e-07
Position 383: 1.1275254249287167e-07
Position 441: 9.682196221835637e-08
Position 555: 4.318488555929472e-08
Position 538: 1.0163354393589441e-08
Position 638: 5.942397966635498e-09
Position 663: 8.27492890950681e-10
Position 631: 8.157551360835866e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 406: 0.400575834625098
Position 2264: 0.35580162654654246
Position 1593: 0.16478187166187652
Position 1093: 0.1361569825235435
Position 2714: 0.13430654899388117
Position 1806: 0.12585109930203983
Position 1622: 0.0989870199157123
Position 3176: 0.0977793002831982
Position 1659: 0.09677548982332368
Position 434: 0.09155283108699011
Position 1638: 0.08679590989815969
Position 1062: 0.07405021520554601
Position 2115: 0.06810692195348769
Position 1756: 0.0576978733213035
Position 2382: 0.053234906818412815
Position 1563: 0.051656137154763235
Position 1929: 0.04658225115578633
Position 1212: 0.03443214912208418
Position 1641: 0.030293521957583974
Position 3100: 0.02675814621596765
Position 2891: 0.02658237155509942
Position 3095: 0.022900742287032316
Position 1460: 0.02084486526207169
Position 3650: 0.016354083468661684
Position 2049: 0.0148785059123227
Position 2436: 0.013239300350733448
Position 1149: 0.01256697760083374
Position 3319: 0.012544804817984744
Position 2159: 0.011186016889231331
Position 2875: 0.00913966007382566
Position 2407: 0.008565524758203541
Position 373: 0.007262977892062502
Position 994: 0.006865112365535625
Position 2094: 0.006416430382799804
