Gene = Ro60
index = 912
Annotated 5SS: [  148  6643 10479 11295 11636 15799 16716 17126]
Annotated 3SS: [ 6041 10257 11147 11497 15681 16601 16978 19173]
SMsplice 5SS: [  148 11295 11636 15799 16716 17126]
SMsplice 3SS: [11147 11497 15681 16601 16978 19173]
top_k =  1000
Partition function (log Z): -1.4149864664021963

Sorted 5' Splice Sites (High to Low Probability):
Position 11636: 0.989095224833101
Position 16716: 0.8847241756421792
Position 11295: 0.881834915615683
Position 148: 0.7395144656681817
Position 17126: 0.6981624997165851
Position 15799: 0.6789322667197117
Position 23024: 0.5390909652041623
Position 10479: 0.5106982997357946
Position 6643: 0.4849921986762603
Position 19294: 0.4768875117879593
Position 10662: 0.3955506970772213
Position 7081: 0.24215148184845453
Position 154: 0.24134256053204184
Position 21787: 0.21141917201614394
Position 11805: 0.19690930926975758
Position 19505: 0.13684116602164484
Position 13645: 0.1345244334688443
Position 400: 0.11893226773272757
Position 19791: 0.09270124519574434
Position 17090: 0.09258523186720599
Position 8978: 0.07396852217455892
Position 4594: 0.06774036626921774
Position 22828: 0.051043785773338075
Position 16840: 0.04666179753353585
Position 10433: 0.04218216673573563
Position 11316: 0.04134303420862792
Position 2725: 0.037007791828655046
Position 14671: 0.031575539683595846
Position 24923: 0.030376519746246847
Position 16525: 0.02926539643107209
Position 17723: 0.028445628442641122
Position 11301: 0.027864139389365106
Position 3877: 0.024713640333341152
Position 19066: 0.024008136246351893
Position 17282: 0.0238370463556929
Position 16695: 0.023539188847063863
Position 4556: 0.021938094061430345
Position 13555: 0.019313514727342888
Position 5121: 0.019084160249026233
Position 15755: 0.018400232221097795
Position 6190: 0.018154207263236757
Position 13894: 0.017692555944787323
Position 96: 0.016914628636743437
Position 18344: 0.013752711300545
Position 1152: 0.011781638084608234
Position 10727: 0.010956425772625799
Position 12377: 0.009894879881605296
Position 3190: 0.009236982675921861
Position 18067: 0.00876246233644773
Position 15724: 0.007733954955834326
Position 20096: 0.006515417876925576
Position 12182: 0.00617171099922895
Position 16535: 0.005642919725823006
Position 15984: 0.005616826107649734
Position 6781: 0.005042509736124065
Position 6197: 0.004975981915885304
Position 13507: 0.004491186673710324
Position 4691: 0.00444240872027113
Position 11247: 0.004424917575759586
Position 365: 0.004393355390984275
Position 16845: 0.003883784820545709
Position 21766: 0.0038488422758988293
Position 16901: 0.003521587520295122
Position 13467: 0.003505574736430117
Position 15773: 0.003205171511063412
Position 18655: 0.0031915118350254123
Position 15845: 0.0031529670602620918
Position 3600: 0.002971360354878872
Position 6141: 0.0029454749416164007
Position 7642: 0.0024403980023683823
Position 17396: 0.0021527780926776435
Position 8992: 0.002096511104319829
Position 9056: 0.0020592172296553875
Position 16013: 0.0020532733339712183
Position 19266: 0.0020243912574435543
Position 13794: 0.0018469914768438251
Position 19333: 0.0016860792217609198
Position 15223: 0.0015535218081993898
Position 236: 0.001433548245157015
Position 15792: 0.0012851612965033264
Position 17220: 0.0012826123687702032
Position 16140: 0.001213435448843784
Position 12459: 0.00106618982341158
Position 15206: 0.0010582457038183662
Position 13553: 0.0010497655900437637
Position 13847: 0.0009701706345533443
Position 12522: 0.0008422610155968983
Position 13573: 0.0008270111400360783
Position 13876: 0.00079457633254819
Position 11148: 0.0007915052344508964
Position 15842: 0.000748193527171711
Position 13476: 0.0005916174901692398
Position 509: 0.0005444544808694635
Position 17116: 0.0005397887815252686
Position 11785: 0.0005237632572796866
Position 934: 0.000518031831027404
Position 2076: 0.0004757915463562986
Position 15760: 0.0004742542699589062
Position 12625: 0.0004682698798762396
Position 12796: 0.00046214969344380295
Position 12824: 0.00041402163937607334
Position 2746: 0.0004011089611475731
Position 16632: 0.0003627235143369076
Position 16668: 0.0003512707330853478
Position 976: 0.00034613851052767364
Position 16661: 0.00031848643810990625
Position 17054: 0.00028002247427622425
Position 13394: 0.00025206009348113404
Position 11836: 0.00025106112596829907
Position 12404: 0.00023712184735639837
Position 17179: 0.00020314085673217293
Position 17248: 0.00018292986980464289
Position 1131: 0.00015895853438778977
Position 12897: 0.0001499914307909196
Position 14167: 0.00013599041519540248
Position 14559: 0.0001346748918475265
Position 4700: 0.00012522573695376764
Position 114: 0.00012459383192624213
Position 127: 0.00011383259451810214
Position 612: 9.87368688231187e-05
Position 12157: 9.492557985605896e-05
Position 4686: 8.783349943016153e-05
Position 13310: 6.662603296155502e-05
Position 1621: 6.0289062759437944e-05
Position 858: 5.252935773555311e-05
Position 3595: 5.064035353393482e-05
Position 971: 4.079603929820177e-05
Position 17672: 3.990827867399011e-05
Position 794: 3.683147537898132e-05
Position 3956: 3.300754532768515e-05
Position 2918: 3.071059496633391e-05
Position 5308: 2.7584509624868e-05
Position 2383: 2.104181390996626e-05
Position 5296: 2.0277773651508e-05
Position 3157: 1.7808209045929875e-05
Position 11891: 1.6900072864184088e-05
Position 158: 1.2838623230752038e-05
Position 2571: 1.1607530648170842e-05
Position 16656: 5.679542595801495e-06
