Gene = Utf1
index = 1173
Annotated 5SS: [641]
Annotated 3SS: [737]
SMsplice 5SS: [641 819]
SMsplice 3SS: [737 982]
top_k =  1000
Partition function (log Z): -3.808536305687198

Sorted 5' Splice Sites (High to Low Probability):
Position 641: 0.9725857854805913
Position 819: 0.8236023509989502
Position 40: 0.0642655298223966
Position 1139: 0.04696747691297388
Position 175: 0.02616227036510697
Position 1110: 0.009687203668344573
Position 156: 0.003161019271150821
Position 983: 0.002337687678957899
Position 811: 0.0011507958711475708
Position 631: 0.0009578195531056656
Position 1127: 0.000761857507632757
Position 105: 0.0005981865528410466
Position 403: 0.0005507105992499801
Position 655: 0.0004993403099067165
Position 609: 0.00042638920731447207
Position 1144: 0.00042623969082749587
Position 241: 0.00039201751784400323
Position 547: 0.0003476002184185126
Position 275: 0.00033950576947938216
Position 324: 0.00029004720274493
Position 480: 0.0002792266347664133
Position 243: 0.0002607608883028776
Position 926: 0.00022749331704665382
Position 378: 0.00022311495169232424
Position 126: 0.00020137535139997523
Position 5: 0.00019591571936930104
Position 1094: 0.0001692114456809688
Position 395: 0.00012581207316434098
Position 668: 0.00011518818216858353
Position 169: 9.98053208825885e-05
Position 376: 9.165794375904321e-05
Position 183: 8.93841226134538e-05
Position 795: 7.101103473764015e-05
Position 966: 4.8191104986780716e-05
Position 712: 3.81809859022853e-05
Position 95: 3.403151546775541e-05
Position 441: 3.2955316866412454e-05
Position 1075: 1.7071578524206523e-05
Position 1158: 1.4507165272858772e-05
Position 423: 1.3764991566162245e-05
Position 7: 9.750021132207705e-06
Position 597: 8.616925790598947e-06
Position 575: 7.920940127700788e-06
Position 431: 7.657939944155251e-06
Position 9: 7.329606348269856e-06
Position 58: 5.456955358419212e-06
Position 1215: 4.532495324738736e-06
Position 1049: 3.5822760462814184e-06
Position 674: 2.4646396625303084e-06
Position 1208: 8.079779063236294e-07
Position 994: 6.530152572467462e-07
Position 1009: 1.3103472155499645e-07
Position 997: 1.1351212147211463e-09
Position 725: 2.56089850751511e-10
Position 734: 4.7010574418592414e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 737: 0.9746640330717317
Position 982: 0.7157189956557297
Position 1049: 0.062191507181669076
Position 1287: 0.04293890699628004
Position 1018: 0.0368268967549044
Position 501: 0.020093782395027654
Position 1228: 0.018451447635235988
Position 582: 0.012628899296659496
Position 739: 0.010621890112517336
Position 961: 0.009978648435131913
Position 261: 0.009917536994059721
Position 133: 0.009076075895894703
Position 1072: 0.004655757353860956
Position 423: 0.004359779981205304
Position 350: 0.0037273921677041665
Position 471: 0.0036302153263423724
Position 399: 0.003371255505060965
Position 994: 0.003239528868285689
Position 1215: 0.002071364900470086
Position 441: 0.0019981318102174415
Position 613: 0.0013941171094355757
Position 315: 0.0007843249736014206
Position 789: 0.0007135376888731147
Position 1305: 0.0006317286827782582
Position 234: 0.0006305118291000583
Position 745: 0.0005711261274757725
Position 1090: 0.0005075532890867494
Position 354: 0.0003618946126520253
Position 1203: 0.0003577983112494345
Position 1241: 0.00024343467738766622
Position 137: 0.0002290025080979085
Position 477: 0.00020630722923844304
Position 450: 0.00019330148626945184
Position 104: 0.00014075958217191925
Position 403: 0.00013253252395591637
Position 818: 0.00010816170862893091
Position 545: 0.00010290591822295643
Position 1158: 8.664851913060759e-05
Position 837: 5.4611457454215515e-05
Position 931: 5.172842411075883e-05
Position 877: 4.92587733127966e-05
Position 811: 3.881801076137702e-05
Position 285: 3.4202424247494606e-05
Position 1163: 2.7918718981192443e-05
Position 150: 1.8539366916953102e-05
Position 795: 1.688649431152822e-05
Position 855: 1.6668324908078585e-05
Position 463: 1.3711322875195064e-05
Position 283: 1.2310458377626888e-05
Position 275: 8.319529759712073e-06
Position 943: 5.355601822971841e-06
Position 1109: 2.7730925277293634e-06
Position 82: 2.7139831813023315e-06
Position 1099: 2.6848738306945552e-06
Position 291: 1.3855224150143814e-06
Position 694: 8.827131256722626e-07
Position 636: 5.581902228135795e-07
Position 1171: 1.5555777649350183e-07
Position 686: 1.5283750056427402e-07
Position 701: 3.7097530844084473e-08
Position 640: 2.590884460345257e-08
Position 666: 7.261891936608135e-09
