Gene = Ate1
index = 147
Annotated 5SS: [   225   3476   5819   8770  10574  12099  14887  37898  52325  55450
 101133]
Annotated 3SS: [  3411   5755   8665  10321  11880  14757  37864  52142  55349 101011
 124843]
SMsplice 5SS: [   225   3476   5819   8770  10574  12099  14887  43990  52325  55450
  70208  73282  79302  80940  87922 101133 114296 123786]
SMsplice 3SS: [  3300   5755   8665  10321  11880  14757  43891  52142  55349  70083
  73175  79202  80845  87821 101011 114207 123510 124843]
top_k =  1000
Partition function (log Z): -65.46520093852887

Sorted 5' Splice Sites (High to Low Probability):
Position 8770: 0.9754610881912801
Position 3476: 0.8507931457362554
Position 225: 0.8193723718316438
Position 10574: 0.6772826645815501
Position 5819: 0.6517974601570318
Position 14887: 0.5862258587334419
Position 12099: 0.5197727320183266
Position 9756: 0.44872396414389065
Position 11995: 0.4376612014553406
Position 8970: 0.31622457780964713
Position 15859: 0.251048085489033
Position 4966: 0.22725093888285416
Position 937: 0.16821381384446643
Position 11654: 0.1453190469121614
Position 8966: 0.13640773502557368
Position 450: 0.13590874922946777
Position 10361: 0.10727518268542019
Position 13664: 0.093676836919961
Position 5128: 0.09201904052203692
Position 15160: 0.08427240981469514
Position 7470: 0.07262138095013188
Position 2085: 0.06934258969024347
Position 8955: 0.06533759711642508
Position 14368: 0.06106296582010982
Position 8002: 0.056858894130924466
Position 14878: 0.05235851764382057
Position 20359: 0.04909317932410791
Position 3067: 0.04791545397606104
Position 14339: 0.04461600684813387
Position 9105: 0.0422909797553198
Position 5168: 0.0408156702911124
Position 1798: 0.037448514057341564
Position 1510: 0.03200846540102029
Position 1934: 0.030538785557647774
Position 2569: 0.027191028006984395
Position 10529: 0.026501158612252513
Position 790: 0.020754582668096617
Position 9684: 0.019219653773503962
Position 3933: 0.01800900831876732
Position 6670: 0.01747375066605394
Position 6978: 0.016231222775730563
Position 264: 0.01572249751494494
Position 18377: 0.015720393127359355
Position 14519: 0.015526795843894556
Position 5278: 0.014830212665139345
Position 9789: 0.013552080449780443
Position 2955: 0.013010118652510113
Position 5667: 0.012894929117443256
Position 10679: 0.012259879977527631
Position 9026: 0.010995553644161904
Position 5598: 0.010568293131909072
Position 2888: 0.010141113572481106
Position 841: 0.009740810510088503
Position 5684: 0.009436020091446569
Position 11191: 0.00872292406267982
Position 17857: 0.008691431549345058
Position 2433: 0.007798192160928485
Position 2062: 0.007522951114607813
Position 2499: 0.007513777410333259
Position 6103: 0.006131479538063579
Position 3947: 0.005504328167864239
Position 5046: 0.005442714405170293
Position 67: 0.005431423752414719
Position 8764: 0.004765582340511218
Position 10579: 0.004689643802622569
Position 7887: 0.004520427181711838
Position 500: 0.004440933472863095
Position 10415: 0.0041709382918474385
Position 2599: 0.003795079604416316
Position 9305: 0.0033731178852268572
Position 3481: 0.00278483047814663
Position 16248: 0.0027085853850704984
Position 4057: 0.002530795668957447
Position 10463: 0.0024310148522941996
Position 1786: 0.0023056954159409097
Position 10395: 0.002273987451451511
Position 11752: 0.002242525332238671
Position 819: 0.0020984563801908617
Position 10619: 0.0018623599146583626
Position 9793: 0.0017980629079591484
