Gene = Tsacc
index = 1146
Annotated 5SS: [ 176 1609 9902]
Annotated 3SS: [ 1548  9781 14014]
SMsplice 5SS: [176]
SMsplice 3SS: [265]
top_k =  1000
Partition function (log Z): -13.883398526999628

Sorted 5' Splice Sites (High to Low Probability):
Position 176: 0.4830943060260134
Position 138: 0.41379478107437573
Position 1609: 0.3444709663314651
Position 1694: 0.12822893666499321
Position 601: 0.1261530443678152
Position 9902: 0.11195824079115205
Position 274: 0.04276185658155402
Position 615: 0.039868689347087025
Position 1864: 0.03679386871434268
Position 1779: 0.03137915754715953
Position 4223: 0.029837551525572135
Position 820: 0.027889085577061788
Position 7909: 0.023328764474981813
Position 7132: 0.02136226625640597
Position 2479: 0.02126891811413023
Position 5661: 0.019887413237803513
Position 6286: 0.015959481995943273
Position 124: 0.015424826608763691
Position 98: 0.0082848613693955
Position 2100: 0.008177628603611568
Position 172: 0.006538901551756997
Position 142: 0.0036793704590983383
Position 6269: 0.002510150371951795
Position 2004: 0.0020351127599739735
Position 1287: 0.0016192913350187954
Position 1066: 0.0013386974379156506
Position 1159: 0.0011495972604910587
Position 6877: 0.001044068649001846
Position 2483: 0.001042838339004191
Position 605: 0.0010192343771068218
Position 404: 0.0009630051237402983
Position 652: 0.0009608244346945991
Position 3837: 0.0006777036270548873
Position 1003: 0.0005954062200128978
Position 58: 0.0005452165045539183
Position 410: 0.000523105340219705
Position 521: 0.0004538318974971632
Position 4194: 0.00044739604217972377
Position 1177: 0.0003825019601530894
Position 4996: 0.0003636891264453399
Position 1164: 0.00036157266226962965
Position 331: 0.0003325085593444945
Position 5617: 0.0003159518717426059
Position 432: 0.0002931018094296674
Position 221: 0.0002651295380999896
Position 517: 0.0002538829733347585
Position 1229: 0.000246915103839268
Position 525: 0.00024596256050250765
Position 813: 0.00022778590086250657
Position 478: 0.00020131548886925143
Position 1383: 0.00018265703283382775
Position 1588: 0.00016770163593751434
Position 150: 0.00013282788161108545
Position 343: 0.00011935830385078381
Position 1055: 0.00011034931039701232
Position 71: 0.00010754572905320064
Position 589: 9.455848244183271e-05
Position 4345: 7.924559886617494e-05
Position 529: 7.417622683638862e-05
Position 213: 6.526949524453367e-05
Position 1147: 6.318437511374897e-05
Position 207: 5.8671232135820536e-05
Position 284: 5.801790614234965e-05
Position 500: 5.445723312590168e-05
Position 1274: 5.3823756946954535e-05
Position 1220: 5.182062861836269e-05
Position 337: 4.814918718902709e-05
Position 623: 4.518861394131664e-05
Position 407: 4.01444933926088e-05
Position 1150: 3.0042546626522768e-05
Position 4448: 2.510915214139971e-05
Position 4443: 2.4354612874239532e-05
Position 784: 2.3048399985366145e-05
Position 540: 2.1085993744054305e-05
Position 3: 2.024307445640636e-05
Position 775: 1.9481839001750777e-05
Position 505: 1.934821725173055e-05
Position 1449: 1.8142002511629105e-05
Position 1198: 1.766122581390026e-05
Position 3241: 1.4024851359218192e-05
Position 669: 1.3529434695789977e-05
Position 5789: 1.1419021849934306e-05
Position 760: 1.0200683900322498e-05
Position 699: 1.0089067259224238e-05
Position 677: 5.38669770152468e-06
Position 704: 5.197326540870086e-06
Position 1037: 4.592116296835876e-06
Position 305: 3.712676199580401e-06
Position 199: 3.465382860236704e-06
Position 194: 2.6622548404528945e-06
Position 346: 1.3497827969213635e-06
Position 40: 1.042809183941916e-06
Position 1625: 7.272153491256516e-07
Position 308: 7.005502906458625e-07
Position 245: 6.463425235714533e-07
Position 329: 3.4570317885564957e-07
Position 863: 1.4253376082617143e-07
Position 1017: 9.857926542951962e-08
Position 467: 9.205245844738712e-08
Position 765: 4.435864659244208e-08
Position 824: 1.88648406608865e-08
Position 906: 4.7864721032073884e-09
Position 498: 7.861010717531878e-12
Position 561: 2.4048283020121787e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1548: 0.455077028167747
Position 7814: 0.15588816085652457
Position 528: 0.12821965410309016
Position 5512: 0.11029311607222955
Position 4177: 0.10973725791872455
Position 11103: 0.09889305142658877
Position 9575: 0.09795619938986373
Position 6795: 0.08429412282734351
Position 9817: 0.07536337574690011
Position 265: 0.07352042252615931
Position 1487: 0.0679088981585177
Position 5983: 0.04200580820735262
Position 5788: 0.040596310246497944
Position 6094: 0.039185937156271396
Position 14014: 0.03443944679914231
Position 6268: 0.031777630540906765
Position 1085: 0.030679191120466402
Position 5422: 0.022100428942816438
Position 1750: 0.019790750270504223
Position 12254: 0.019445088227738872
Position 690: 0.018759577843082624
Position 12602: 0.017150849906839512
Position 3594: 0.01406050251285715
Position 1725: 0.012124305011327679
Position 2165: 0.011957243004622028
Position 2325: 0.009431735390918438
Position 7211: 0.00839877383433915
Position 8585: 0.008313426441636294
Position 1920: 0.008308285210034145
Position 1665: 0.008201238391056909
Position 5889: 0.008195013624970042
Position 5101: 0.007965410144139097
Position 1835: 0.007473731615998678
Position 2363: 0.007460150379789809
Position 7109: 0.0068738230919631795
Position 6157: 0.006634165590061745
Position 1810: 0.005643181749880956
Position 7181: 0.005601585473909712
Position 8286: 0.005188155116151028
Position 3747: 0.004506233458196625
Position 878: 0.0044603238841186025
Position 6136: 0.003930252317265516
Position 1895: 0.003921519720344494
Position 6586: 0.003583678411419166
Position 1640: 0.0035163349871198506
Position 4606: 0.003458832414072283
Position 1303: 0.0028726382943904663
Position 475: 0.0024283791438533017
Position 6119: 0.0023205151345510613
Position 5318: 0.00229346460816884
Position 8830: 0.0020244531917804317
Position 5762: 0.0017784020830898084
Position 8925: 0.0017748304023671075
Position 5728: 0.0017101361542128548
Position 3980: 0.0014924840175054158
Position 1047: 0.0011875093720482635
Position 1430: 0.0011123629933672073
Position 6139: 0.0010529034687770512
Position 423: 0.001044215906908256
Position 1728: 0.0010313903538335747
Position 2205: 0.000941880210760277
Position 4791: 0.0009161916327769422
Position 447: 0.0008781451947424381
Position 4440: 0.0008432952697281978
Position 2435: 0.0007763663202083585
Position 1758: 0.000700625738643295
Position 775: 0.0006444400590655258
Position 3779: 0.0006257575492404615
Position 808: 0.0005461465838920709
Position 1499: 0.0005056885100132989
Position 1673: 0.0005023437270196763
Position 1167: 0.0004767350097723753
Position 2407: 0.0004761897506734392
Position 3303: 0.0004719093735981233
Position 226: 0.00043136159832062905
Position 175: 0.0004065353474498354
Position 760: 0.00040417010559164765
Position 2009: 0.00039874159661585246
Position 5987: 0.0003944994942036449
Position 1555: 0.0003896770083920181
Position 1813: 0.000334725775933429
Position 1898: 0.00030773051653954994
Position 2305: 0.0003035265395978225
Position 3076: 0.00029376522673169774
Position 1190: 0.00027936347063550797
Position 1928: 0.0002781417385660763
Position 1956: 0.00025967680492810797
Position 452: 0.0002415797980752996
Position 2281: 0.0002298081560877851
Position 2587: 0.00022868674169536777
Position 1142: 0.0002035079343168545
Position 1643: 0.000159663744705186
Position 271: 0.00015562873650624658
Position 4409: 0.00014874612648251075
Position 2327: 0.00012749810477550346
Position 1843: 8.849205102780528e-05
Position 317: 7.897855994122769e-05
Position 1571: 7.110956224405547e-05
Position 3015: 6.663088590522905e-05
Position 1447: 5.633705522120486e-05
Position 1492: 5.400692493519047e-05
Position 4946: 4.2876491338315744e-05
Position 710: 4.0812488018653776e-05
Position 232: 2.831089964388522e-05
Position 1778: 2.7066384368375044e-05
Position 1693: 2.4463398633422058e-05
