Gene = Atp5k
index = 151
Annotated 5SS: [123 423 718]
Annotated 3SS: [ 367  618 1110]
SMsplice 5SS: [123 423 718]
SMsplice 3SS: [ 367  618 1110]
top_k =  1000
Partition function (log Z): -2.8450229455538962

Sorted 5' Splice Sites (High to Low Probability):
Position 718: 0.9105225504653665
Position 123: 0.8760798790190006
Position 423: 0.7212799979843947
Position 456: 0.13216633116971044
Position 532: 0.1299337250680228
Position 105: 0.04710221013386005
Position 75: 0.010904584503471607
Position 150: 0.010862920655225587
Position 99: 0.010354593244323146
Position 1006: 0.008588137863644823
Position 998: 0.008032984874264222
Position 902: 0.002594287276099872
Position 142: 0.002254961295068727
Position 90: 0.0016984450326655675
Position 277: 0.0011667117541151945
Position 292: 0.0010152849227794733
Position 1012: 0.00100817340834619
Position 139: 0.0008408988848793768
Position 376: 0.0007002534163632799
Position 956: 0.0006329783852773647
Position 191: 0.0006004027528804547
Position 304: 0.0005692749914158294
Position 846: 0.0005472760273992999
Position 55: 0.0005059954069451052
Position 489: 0.0003725125983133078
Position 761: 0.000287980911250885
Position 992: 0.00027586535484045924
Position 874: 0.00027323451484915356
Position 466: 0.0002618668428555489
Position 1057: 0.00016766896693177932
Position 468: 0.00016083227935284665
Position 973: 0.00013815187668865357
Position 230: 9.538157897639297e-05
Position 335: 7.038105250062844e-05
Position 427: 5.6340505889845185e-05
Position 1062: 3.705635496183507e-05
Position 946: 2.87888815563756e-05
Position 935: 2.105910129042223e-05
Position 750: 2.0391641700674048e-05
Position 619: 1.4011850966861354e-05
Position 812: 1.1631750865638149e-05
Position 42: 1.0897159754369475e-05
Position 227: 6.593755059622272e-06
Position 933: 5.472081783431194e-06
Position 686: 3.576470958672511e-06
Position 1038: 2.941123165960061e-06
Position 822: 2.6186487284236376e-06
Position 844: 2.2683347255449908e-06
Position 807: 1.560978723299868e-06
Position 1071: 1.4660280813160504e-06
Position 594: 1.4122507941727323e-06
Position 367: 1.0030720514744622e-06
Position 817: 9.697169861640068e-07
Position 829: 8.685082962030337e-07
Position 839: 7.053856707478771e-07
Position 775: 6.664733860631517e-07
Position 1092: 4.6542392663306247e-07
Position 560: 4.327902478697873e-07
Position 354: 3.3769062045335186e-07
Position 1051: 2.7693536049421185e-07
Position 1075: 2.2694917138591953e-07
Position 326: 1.1220258593196877e-07
Position 337: 6.027520167948611e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 367: 0.940340224898689
Position 618: 0.935161713636923
Position 1110: 0.7681144185411488
Position 877: 0.09262757414346355
Position 817: 0.07208976223079261
Position 1163: 0.013519122248949933
Position 292: 0.012467651342966287
Position 580: 0.011561005542329358
Position 639: 0.0073458366194397535
Position 956: 0.006520023059147714
Position 1045: 0.003243026885047001
Position 589: 0.003024063815576109
Position 199: 0.002491858827388101
Position 839: 0.002075860515181649
Position 1027: 0.0020269829144488475
Position 1116: 0.0012936001096135366
Position 644: 0.001039225552195574
Position 577: 0.0008280336005205995
Position 901: 0.000710571269782721
Position 1061: 0.000680408054385619
Position 641: 0.0006694864151514941
Position 916: 0.0005186035605863582
Position 834: 0.00045843588404027966
Position 489: 0.000410112820286718
Position 647: 0.0004091707629029132
Position 531: 0.00035011152504760485
Position 1071: 0.00031051991534602547
Position 783: 0.0003054163055334491
Position 1051: 0.00029779934119167204
Position 899: 0.0002825549756167591
Position 594: 0.00020192924088371507
Position 1137: 0.00017149757129570652
Position 960: 0.00011196352636772646
Position 504: 8.905157484682221e-05
Position 514: 8.078927539407009e-05
Position 237: 6.566541016290703e-05
Position 521: 6.229180662291846e-05
Position 998: 3.74182792396054e-05
Position 1123: 3.0023111921275027e-05
Position 750: 2.817423694931717e-05
Position 560: 2.6378777310847887e-05
Position 1182: 2.183569629647773e-05
Position 652: 2.12123608558962e-05
Position 551: 2.0501281061027075e-05
Position 591: 1.2753945236498109e-05
Position 1133: 1.1901354967461705e-05
Position 1010: 1.1661764804366951e-05
Position 1144: 1.1601417008512504e-05
Position 649: 1.0861524530893827e-05
Position 415: 1.0095029670771668e-05
Position 764: 1.0088644703972434e-05
Position 541: 8.579263401819545e-06
Position 423: 8.079083227914103e-06
Position 674: 7.84130443770903e-06
Position 660: 7.514406088556019e-06
Position 671: 6.298440271531624e-06
Position 730: 5.41178148838154e-06
Position 913: 5.346883746515116e-06
Position 761: 4.752235459640551e-06
Position 500: 3.888550767198812e-06
Position 657: 3.8220214495584965e-06
Position 523: 2.637783954551084e-06
Position 987: 2.3285133638756306e-06
Position 1171: 1.6045877668615263e-06
Position 844: 1.3892872221236363e-06
Position 462: 1.2841945131267862e-06
Position 159: 1.2312755126831133e-06
Position 681: 1.0752391086281136e-06
Position 1006: 9.631398467190315e-07
Position 775: 9.410750903941827e-07
Position 850: 9.205757323886158e-07
Position 969: 7.001886456446426e-07
Position 665: 5.631435559751202e-07
Position 966: 5.360659944576913e-07
Position 852: 5.360255455327697e-07
Position 705: 4.844274304515824e-07
Position 701: 4.297377568596282e-07
Position 442: 4.187952729502576e-07
Position 482: 3.151405007917827e-07
Position 427: 1.1817640874775613e-07
Position 122: 3.4607007167440724e-08
Position 676: 1.205606221853496e-08
Position 104: 8.53652011186849e-09
Position 703: 7.02731725076776e-09
Position 686: 1.976048905523614e-09
Position 717: 1.6425349833139592e-10
