Gene = Sdhd
index = 959
Annotated 5SS: [  75 3265 5052]
Annotated 3SS: [3147 4906 6561]
SMsplice 5SS: [  75 3265]
SMsplice 3SS: [3147 6561]
top_k =  1000
Partition function (log Z): -6.093951751259246

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.942864917397727
Position 3265: 0.8022853758508038
Position 3034: 0.6029905633962107
Position 3680: 0.2013462598989966
Position 4845: 0.07917236648609359
Position 3224: 0.07014771134283085
Position 1980: 0.0671718318548195
Position 1984: 0.06045706139291879
Position 1253: 0.044835998368661645
Position 3013: 0.034232882928701636
Position 98: 0.03363451376125237
Position 3229: 0.032591653081178465
Position 5056: 0.03195672113134924
Position 5581: 0.024103519637732433
Position 765: 0.01985187019186287
Position 5197: 0.019783947614869672
Position 5086: 0.019266653744843272
Position 4403: 0.01890151148421083
Position 790: 0.01832032087309102
Position 4823: 0.01639016871177204
Position 938: 0.016243563276436078
Position 2238: 0.015732652939661827
Position 4940: 0.01339328497774009
Position 2562: 0.01327442350731349
Position 1145: 0.009238357826842944
Position 5585: 0.00890173175445257
Position 925: 0.007793155085800802
Position 4379: 0.007647965642280672
Position 4211: 0.007473384222004614
Position 2699: 0.007060640662537756
Position 3817: 0.006816584730194104
Position 80: 0.006696241369011871
Position 5673: 0.0062930844659693915
Position 5654: 0.005335562468550049
Position 2178: 0.005286490823083829
Position 2703: 0.005173641748542297
Position 918: 0.005173439686842376
Position 4840: 0.005152505150278075
Position 2757: 0.005148948746838544
Position 4816: 0.0050031993223415075
Position 4345: 0.004760548328795908
Position 814: 0.00428281360069643
Position 6014: 0.004150871732894727
Position 2592: 0.0038223536323695076
Position 5894: 0.0036013816213321254
Position 4986: 0.0031334924041987043
Position 6458: 0.002950065419768954
Position 2750: 0.0028844786317267076
Position 4715: 0.002820482793557588
Position 628: 0.0025678710242159207
Position 5230: 0.0023840487820751006
Position 5577: 0.00196299334603403
Position 359: 0.0019032716296796717
Position 2201: 0.0014448649621056466
Position 6498: 0.0012528610912275373
Position 2814: 0.0010614899592333723
Position 280: 0.0010486749748651117
Position 2441: 0.0010304408505833053
Position 837: 0.001029018627108265
Position 4362: 0.0009008954077254325
Position 3030: 0.0007314220021961205
Position 4853: 0.0006816444769960162
Position 156: 0.0005685765961528234
Position 2022: 0.0005424801829799998
Position 2102: 0.0004667220004994988
Position 5365: 0.0004608506404080653
Position 3071: 0.00044632981357337856
Position 303: 0.00041738977194781464
Position 2400: 0.0004136389072348969
Position 4795: 0.00039942815506012453
Position 3269: 0.0003923316099598801
Position 4133: 0.00037784876983820633
Position 3319: 0.00037414333913085443
Position 222: 0.0003449374431097648
Position 5074: 0.0003188332362043119
Position 684: 0.00030989398062545247
Position 6793: 0.0003062765323536368
Position 3669: 0.00030584363559095766
Position 257: 0.0003021386616934714
Position 249: 0.000257342193337743
Position 3296: 0.00025332048702565567
Position 2871: 0.0002376998890774736
Position 3415: 0.00023010453880258953
Position 2576: 0.00021363343648069495
Position 134: 0.00019605702810221798
Position 267: 0.00019486450947818267
Position 306: 0.0001887641007392162
Position 1537: 0.00016747985479338093
Position 3171: 0.0001664908500961001
Position 829: 0.0001433417237576658
Position 4526: 0.00014173228784602684
Position 269: 0.00013726654515781774
Position 3660: 0.00013706858597096455
Position 2951: 0.0001333361162047475
Position 2082: 0.00012500566129145172
Position 2249: 7.1626661692889e-05
Position 740: 6.615533685246136e-05
Position 823: 6.582351624736002e-05
Position 300: 6.419549443583901e-05
Position 2232: 6.395368902114662e-05
Position 4793: 6.239772169098438e-05
Position 251: 5.5441215643088245e-05
Position 2026: 5.29258780685903e-05
Position 2222: 4.385903329785235e-05
Position 3289: 4.322286912143393e-05
Position 2845: 3.951230996729801e-05
Position 4814: 3.458242187639438e-05
Position 3406: 3.2154077497692865e-05
Position 947: 2.4907906932163162e-05
Position 2334: 2.4526957221008938e-05
Position 153: 2.3860139412802793e-05
Position 835: 2.2407946325334444e-05
Position 4342: 1.918723204680127e-05
Position 1976: 1.6455595418595333e-05
Position 489: 1.6042189607765422e-05
