Gene = Lce6a
index = 629
Annotated 5SS: [ 66 530]
Annotated 3SS: [ 239 1140]
SMsplice 5SS: [66]
SMsplice 3SS: [1140]
top_k =  1000
Partition function (log Z): -6.305942423711417

Sorted 5' Splice Sites (High to Low Probability):
Position 66: 0.7767497114009315
Position 530: 0.4853763484274585
Position 636: 0.11076337175846405
Position 266: 0.03679426198390287
Position 87: 0.02979840231352579
Position 664: 0.006646174626922637
Position 1428: 0.0050515719486925416
Position 502: 0.00292040280863537
Position 776: 0.0025269628433571595
Position 339: 0.0017296913528824052
Position 843: 0.0017133864174424154
Position 421: 0.0015796167328074426
Position 1370: 0.0009174418180887825
Position 1070: 0.0008734220911160893
Position 1244: 0.0008007973353622482
Position 1250: 0.00047365147243254264
Position 448: 0.0004501000833863556
Position 106: 0.00044056681750254746
Position 817: 0.0004140759252878782
Position 357: 0.00036639773358253887
Position 101: 0.0003652783810118715
Position 1102: 0.0003046033036305929
Position 50: 0.0002778666162522344
Position 876: 0.0002525856073790037
Position 1005: 0.0002296090001948092
Position 1022: 0.00020148951063441413
Position 867: 0.00013984780938312274
Position 886: 0.00013697729463255093
Position 1262: 9.96415209506553e-05
Position 591: 8.376269857666619e-05
Position 1274: 8.159273507580765e-05
Position 1324: 8.152886375429653e-05
Position 735: 8.073101633188826e-05
Position 80: 7.445168597348949e-05
Position 111: 5.9387346195205626e-05
Position 26: 5.907950724313154e-05
Position 833: 5.730192739527711e-05
Position 1011: 5.504484329380018e-05
Position 70: 5.4601544854913324e-05
Position 252: 2.5195619606181238e-05
Position 546: 2.287891239206641e-05
Position 993: 1.6143583517781174e-05
Position 840: 1.3548435424810194e-05
Position 463: 1.3175249445371888e-05
Position 823: 1.0762414277336905e-05
Position 803: 1.0684035179262325e-05
Position 150: 6.892952332255246e-06
Position 113: 6.028578090984999e-06
Position 228: 5.958266180166739e-06
Position 890: 5.250134514323005e-06
Position 1286: 4.656795679359102e-06
Position 973: 4.633324435748052e-06
Position 509: 3.633101169127743e-06
Position 649: 3.4713124007210806e-06
Position 1373: 3.3453361674448096e-06
Position 1401: 2.3251583766922965e-06
Position 250: 1.075307793724119e-06
Position 226: 9.517313231696855e-07
Position 1361: 7.294403375078461e-07
Position 564: 1.1205857964253293e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1140: 0.8821148503968669
Position 239: 0.17033692874817796
Position 336: 0.13258265844302491
Position 619: 0.12728551526883783
Position 387: 0.041879700473794725
Position 902: 0.022054913342918498
Position 406: 0.020986740950753834
Position 270: 0.014199594646825573
Position 1533: 0.0119089151994407
Position 1154: 0.008879426904583002
Position 1367: 0.007157559909163877
Position 1282: 0.0034622368908362577
Position 529: 0.003250460104321803
Position 1279: 0.003034410440832616
Position 833: 0.002379096204437686
Position 424: 0.0017749955901587063
Position 274: 0.0015715556880318696
Position 576: 0.0014153592995923474
Position 346: 0.0012836052520150284
Position 489: 0.0011944047391363967
Position 1011: 0.0008134628369702909
Position 421: 0.0007722418476204196
Position 1173: 0.0007592373324945671
Position 1225: 0.0006369166587332546
Position 1102: 0.0006293371803498342
Position 500: 0.0006053312662836403
Position 200: 0.0005474416784066461
Position 1304: 0.0004831772566168306
Position 1189: 0.0004327013722767652
Position 197: 0.0004103645514407224
Position 956: 0.0003723264477486919
Position 458: 0.0003470174478343996
Position 288: 0.000344508402096429
Position 250: 0.00026609835263717097
Position 1546: 0.00024917905074286865
Position 635: 0.00023000995524939037
Position 156: 0.0002248655079565932
Position 1506: 0.0002104488303766141
Position 444: 0.0002034537526096858
Position 150: 0.00015768749347842663
Position 534: 0.00014174487163772921
Position 944: 0.00012496368757941722
Position 1453: 0.00011177563081609807
Position 632: 0.00010622512194773704
Position 787: 0.00010604382144622797
Position 1170: 8.593847602689701e-05
Position 1475: 8.320294435312194e-05
Position 438: 7.899472748697364e-05
Position 774: 7.354418402818669e-05
Position 690: 7.28802047754282e-05
Position 143: 7.249545191170038e-05
Position 907: 6.500949533429069e-05
Position 733: 6.065069238006877e-05
Position 986: 6.05788662913043e-05
Position 131: 5.9768687714752375e-05
Position 1087: 3.981844608991068e-05
Position 281: 3.817648093657882e-05
Position 429: 3.670865284962917e-05
Position 905: 3.0608792042153905e-05
Position 431: 2.9520479795646368e-05
Position 1049: 2.8865202289274337e-05
Position 725: 2.5504193275970158e-05
Position 553: 2.5218605944410033e-05
Position 652: 2.1642700832034418e-05
Position 1396: 2.1280347671824523e-05
Position 587: 1.9778365560486205e-05
Position 1176: 1.9520649235280604e-05
Position 1399: 1.910643734424444e-05
Position 1244: 1.5154328022515445e-05
Position 163: 1.4041261475135873e-05
Position 128: 1.2234962445776347e-05
Position 687: 1.1286550755162527e-05
Position 1373: 1.0174505297350189e-05
Position 351: 9.251885498317651e-06
Position 740: 8.435584695252233e-06
Position 1317: 8.24312213022507e-06
Position 1159: 7.476742924754291e-06
Position 655: 7.39873142433671e-06
Position 1479: 7.066013010203423e-06
Position 1335: 4.496080817583558e-06
Position 1068: 4.131338796859965e-06
Position 914: 4.106111519752387e-06
Position 1393: 3.2834917329707667e-06
Position 590: 2.4252688184191395e-06
Position 639: 1.8586811876418146e-06
Position 1022: 1.8329131997121044e-06
Position 803: 1.357062324699161e-06
Position 119: 4.806487591727111e-07
Position 122: 3.5246664420486806e-08
Position 546: 5.312059818438976e-09
Position 101: 1.2813297330967396e-10
Position 564: 4.163539653199062e-12
Position 644: 3.750976718346606e-12
Position 662: 5.110355871373487e-13
Position 659: 3.8971715860199624e-13
