Gene = Ccpg1
index = 231
Annotated 5SS: [  245 12042 13716 14111 16447 20464 24984 27564]
Annotated 3SS: [11972 13594 14033 16247 20211 24867 26500 29902]
SMsplice 5SS: [  245 12042 13716 14111 16447 18508 24984]
SMsplice 3SS: [11972 13594 14033 16247 18397 24867 29902]
top_k =  1000
Partition function (log Z): 1.2364589300166995

Sorted 5' Splice Sites (High to Low Probability):
Position 24984: 0.9992867128387319
Position 245: 0.9914987627415429
Position 14111: 0.8913009118060283
Position 16447: 0.8761100927225947
Position 13716: 0.8703881910836858
Position 12042: 0.8577372127017175
Position 18508: 0.7430627128939176
Position 30001: 0.736473862914068
Position 7195: 0.5248532378407105
Position 8231: 0.3995976831117097
Position 20464: 0.3754100449279013
Position 16792: 0.232813588596246
Position 28832: 0.21583621257040644
Position 7178: 0.21348627943195472
Position 27898: 0.18185676796878214
Position 6302: 0.17402151050045467
Position 20377: 0.16097461961970827
Position 21964: 0.15342454512923073
Position 7399: 0.12106475029377128
Position 20536: 0.10356159518152938
Position 4589: 0.09543080717856076
Position 12091: 0.0882638854522373
Position 15861: 0.0845228685755095
Position 24754: 0.08127743975605028
Position 18533: 0.08052117708387564
Position 22227: 0.06578629247530851
Position 20408: 0.06438942430680884
Position 17613: 0.06322010566988628
Position 24594: 0.06027726495741812
Position 12584: 0.05012227522094318
Position 28617: 0.04515212319825917
Position 25214: 0.04058503572912551
Position 8555: 0.040259634001461674
Position 22709: 0.03961983054169986
Position 22281: 0.03495280325553986
Position 21396: 0.033245044158040464
Position 25695: 0.030816550253570853
Position 16421: 0.029894330771992595
Position 10895: 0.027860717041347113
Position 3447: 0.0275030934330695
Position 27564: 0.02698042970452259
Position 18773: 0.026585614226946434
Position 7404: 0.02621267666525148
Position 13116: 0.02515534553418604
Position 11766: 0.025151220904261938
Position 21735: 0.02301682453477477
Position 19924: 0.022479405352282274
Position 3686: 0.0220044186647933
Position 4287: 0.021902922106627337
Position 7182: 0.02045377179690336
Position 21835: 0.018664535388359337
Position 15998: 0.01779365637469076
Position 1236: 0.016685546610674208
Position 13710: 0.016617582027291748
Position 24277: 0.016047174834483396
Position 29815: 0.015220645516888181
Position 5946: 0.014575878703633922
Position 6495: 0.01347402237269614
