Gene = Bri3bp
index = 188
Annotated 5SS: [  325 10205]
Annotated 3SS: [10101 12757]
SMsplice 5SS: [  325 10205 11988]
SMsplice 3SS: [10101 11870 18200]
top_k =  1000
Partition function (log Z): -8.430625041811307

Sorted 5' Splice Sites (High to Low Probability):
Position 325: 0.9265570989592675
Position 10205: 0.8536207293456063
Position 11988: 0.6742128857185726
Position 10678: 0.436738599458686
Position 1818: 0.39485246679308256
Position 4794: 0.23242309027496375
Position 13120: 0.22281007388692464
Position 3653: 0.21889220695507883
Position 10209: 0.14290650881773254
Position 8371: 0.13008477912409053
Position 3648: 0.10344147465351956
Position 8441: 0.10334300308876829
Position 4178: 0.10183411858236897
Position 2189: 0.09055612757330578
Position 11978: 0.08462042567157654
Position 4527: 0.08370390590773895
Position 14562: 0.06869616209352668
Position 1589: 0.06325015556171008
Position 4167: 0.0450103080670005
Position 307: 0.03858137357057538
Position 12826: 0.03159126795147631
Position 13188: 0.031494618332551086
Position 990: 0.027504551095072362
Position 3466: 0.026477706021523016
Position 4541: 0.026092055865682025
Position 1170: 0.020477073225124993
Position 3701: 0.019688546119604324
Position 13964: 0.016163374524760056
Position 280: 0.013055804693833559
Position 10467: 0.012849505072890137
Position 3491: 0.01169049520077812
Position 4851: 0.011302867997771419
Position 11329: 0.010112053392064866
Position 11101: 0.009110771320428172
Position 3377: 0.007820563036482783
Position 11068: 0.006624433588814331
Position 442: 0.006515410606915237
Position 14446: 0.006072113871016958
Position 13307: 0.005971520664166529
Position 12922: 0.004374882070024832
Position 11401: 0.003884616119815235
Position 3414: 0.0038432814948098468
Position 5046: 0.003822901262511727
Position 4222: 0.003797426591795514
Position 13584: 0.0035377045984781776
Position 130: 0.0035190251584071783
Position 4185: 0.003019891449152843
Position 11259: 0.0029545689239386342
Position 11118: 0.0029128806464462347
Position 11597: 0.0022607338385777667
Position 960: 0.0021936028912380194
Position 13: 0.0020569493775223113
Position 12163: 0.0018297519149196276
Position 1302: 0.0017686726285537793
Position 14507: 0.0016802920014079455
Position 11093: 0.0016232441231476288
Position 11585: 0.001606851888094614
Position 10718: 0.0015649999597621902
Position 11491: 0.001488715775892751
Position 4576: 0.0014132815393570074
Position 14993: 0.0013231240591954083
Position 937: 0.001132463144411385
Position 2072: 0.000987374329839084
Position 1124: 0.0007530371706585878
Position 2436: 0.0006963113683733847
Position 148: 0.0006168566690593423
Position 1153: 0.0005682802832596882
Position 1584: 0.0005052551192836412
Position 4206: 0.0004097025490745975
Position 941: 0.0003884951497610525
Position 3123: 0.0003342596577066489
Position 4044: 0.0003187168335113627
Position 512: 0.0002809277257837791
Position 12003: 0.00027516201619810006
Position 650: 0.0002698969126669887
Position 343: 0.00025940099011441197
Position 1362: 0.00025032637021852553
Position 772: 0.00023592546821665154
Position 1840: 0.00022537977486387087
Position 12156: 0.0002071613397568225
Position 518: 0.00020147255314751218
Position 824: 0.0001991587621662368
Position 374: 0.00016650001015404845
Position 1306: 0.00016633884333778993
Position 160: 0.00016187218319483845
Position 792: 0.00014637331835687804
Position 482: 0.00014226392894500057
Position 1082: 0.00014159803691261792
Position 614: 0.00014116491049588197
Position 956: 0.0001045309862616033
Position 473: 0.00010393452983026003
Position 661: 9.98458631401755e-05
Position 1634: 9.548220906952204e-05
Position 1838: 9.063018582127489e-05
Position 1133: 9.008208364727285e-05
Position 108: 8.499145550817698e-05
Position 1726: 8.099823359237465e-05
Position 964: 8.018841240707735e-05
Position 1889: 7.640802658858465e-05
Position 1221: 7.566398996749368e-05
Position 2158: 7.384564994037062e-05
Position 2317: 6.836421016299885e-05
Position 141: 6.759366577478491e-05
Position 606: 6.629100371785922e-05
Position 1581: 5.572227565721593e-05
Position 2780: 4.990744755820683e-05
Position 193: 4.2578703383159136e-05
Position 589: 4.200711345224794e-05
Position 2517: 3.920148852139892e-05
Position 1101: 3.8383811910590234e-05
Position 1686: 3.7413843035361256e-05
Position 855: 3.5313621193584024e-05
Position 667: 3.432773854507899e-05
Position 3074: 3.32365075554744e-05
Position 843: 3.238092371908864e-05
Position 862: 3.198619214644885e-05
Position 12969: 3.032992588143836e-05
Position 3105: 2.5388249161921145e-05
Position 785: 2.156804913998524e-05
Position 1272: 2.0265431037382416e-05
Position 1145: 1.896234633575453e-05
Position 2076: 1.8868340235617454e-05
Position 1179: 1.636824874022707e-05
Position 809: 1.6225997081955708e-05
Position 1954: 1.2718966828331834e-05
Position 2015: 1.0924369355167944e-05
Position 1972: 9.446168263413383e-06
Position 1612: 8.790957598607586e-06
Position 1274: 8.188936222640527e-06
Position 1191: 7.642840530614845e-06
Position 1314: 7.4418688910998565e-06
Position 1052: 7.30631460879464e-06
Position 1820: 6.492548320445208e-06
Position 1822: 6.409584936133776e-06
Position 10685: 2.740321157603541e-06
Position 367: 6.250299876537032e-07
Position 41: 6.148726191871982e-07
Position 39: 4.5431886993473424e-07
Position 682: 4.2233771252843037e-07
Position 900: 3.922387273357165e-07
Position 448: 3.7819593559950007e-07
Position 1969: 3.5253650721698357e-07
Position 870: 3.0246881935175085e-07
Position 979: 1.113859511913506e-07
Position 894: 9.380777162788963e-08
Position 780: 5.760857394422987e-08
Position 715: 5.034470683468436e-08
Position 402: 4.976535105154505e-08
Position 654: 3.9762255601809273e-08
Position 695: 3.537110154577617e-08
Position 1730: 2.7176265718806585e-08
Position 878: 1.656844489606795e-08
Position 971: 8.602621188955906e-09
Position 652: 1.6181486836409866e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 10101: 0.9967880915322973
Position 11870: 0.7329391116999263
Position 10579: 0.41972118311710027
Position 1729: 0.3500328862787467
Position 14445: 0.1994601037472066
Position 4664: 0.18675831138433646
Position 8285: 0.1859341009420219
Position 3347: 0.1696117679408883
Position 13079: 0.1586237299897892
Position 18200: 0.15344356286835845
Position 15396: 0.13374951638902807
Position 4469: 0.12522617871272423
Position 12757: 0.12186111273264802
Position 3558: 0.11692801566259832
Position 3955: 0.10235482567091901
Position 2103: 0.07802552092778596
Position 3409: 0.07093294666342762
Position 18169: 0.06664952735357396
Position 1580: 0.05653724524966906
Position 15323: 0.05261257243374436
Position 8331: 0.047493681270836925
Position 12884: 0.04689788339018889
Position 17495: 0.04636932296103969
Position 13148: 0.04618659381243824
Position 18060: 0.04533560157442281
Position 16695: 0.04409021473113493
Position 11892: 0.03823973925289222
Position 13885: 0.03422473563339344
Position 10935: 0.03346773197052544
Position 1481: 0.03222560465819754
Position 3465: 0.030584213397267978
Position 4630: 0.03039043492184261
Position 11866: 0.028751403699053567
Position 15865: 0.025160092780096923
Position 4010: 0.02356204222419768
Position 14718: 0.021395268976607935
Position 1052: 0.021190585503971005
Position 10363: 0.017063366928544862
Position 925: 0.01628361245434326
Position 14636: 0.016122791449805544
Position 14333: 0.016012296478107715
Position 16150: 0.013228970457956379
Position 10296: 0.012311325469773858
Position 16224: 0.012094331226120664
Position 1920: 0.011887864577857161
Position 3835: 0.011592974166596244
Position 17077: 0.010886040530673791
Position 12714: 0.010677322585681761
Position 14817: 0.009091838544026875
Position 13834: 0.007762120058667826
Position 11025: 0.007737045472284598
Position 3963: 0.007689079898029335
Position 3865: 0.007244615055728927
Position 4779: 0.007066379290318059
Position 12683: 0.006146327052376896
Position 4846: 0.0056766553039094255
Position 922: 0.005542674171152381
Position 11196: 0.005487202012293616
Position 13494: 0.005435855765209026
Position 11089: 0.004842605085369477
Position 11427: 0.004774578055521852
Position 14148: 0.004032063592825642
Position 700: 0.0035273205471925487
Position 1543: 0.0032772890787033868
Position 15933: 0.0030942847216122327
Position 1749: 0.0030405250127232422
Position 17754: 0.002966777049143846
Position 1735: 0.0026232837033127745
Position 1664: 0.002610102171766615
Position 12969: 0.002574646110847069
Position 13333: 0.0023041012199965494
Position 14584: 0.0022772290849318996
Position 12314: 0.002083761216848089
Position 13905: 0.0020745961860688124
Position 1028: 0.00206693196071982
Position 12774: 0.0020621456479123623
Position 3423: 0.0019281173966452
Position 1463: 0.001825483691593402
Position 4071: 0.0017857860083723628
Position 17139: 0.0016485807183313265
Position 10436: 0.0016431226404848758
Position 4479: 0.001604987419772655
Position 4288: 0.0014915191536091588
Position 2121: 0.0014547396860049115
Position 418: 0.0013347713841077645
Position 13562: 0.0013038653963250001
Position 12270: 0.0012072704613533443
Position 11433: 0.0011343537367481706
Position 1710: 0.0011321150622941676
Position 12204: 0.0011084991186544836
Position 12486: 0.001096465200370525
Position 12071: 0.000885566412411665
Position 14259: 0.0008604189093285254
Position 3695: 0.0008477648122864547
Position 11259: 0.0008089780313772902
Position 10395: 0.0007855027473417588
Position 1151: 0.0007487792745092992
Position 1215: 0.0006781866050066386
Position 1754: 0.0006516701406341985
Position 4915: 0.000636170674291234
Position 1449: 0.0006236807963224781
Position 210: 0.0005727854058069984
Position 747: 0.0005068096710705985
Position 13844: 0.0004928209395352603
Position 12457: 0.00047183651032773943
Position 1950: 0.00046518207405733906
Position 12534: 0.0004545923996481697
Position 14838: 0.0004470216558237387
Position 3286: 0.0003640811083435088
Position 10348: 0.0003568939721677476
Position 10365: 0.0003506359490536789
Position 750: 0.0003501655759465216
Position 3580: 0.0003275286743739902
Position 13085: 0.00029508207355773944
Position 2925: 0.00029471771237464317
Position 3439: 0.000288332298907033
Position 2044: 0.0002349795809060722
Position 1033: 0.0002134062554425553
Position 1059: 0.0002054975954484015
Position 2106: 0.00018080887028793844
Position 1773: 0.00017675545964020864
Position 13508: 0.000152531428165219
Position 4040: 0.00014487147410325012
Position 900: 0.00013422712580343757
Position 10907: 0.00011001248943240646
Position 1776: 0.00010923127650740094
Position 602: 0.00010186326842604188
Position 3321: 9.370295002553679e-05
Position 10707: 9.121879530980501e-05
Position 11952: 8.623131175209466e-05
Position 1344: 8.242854480758411e-05
Position 713: 7.414603957704895e-05
Position 2885: 6.207475841589937e-05
Position 1117: 6.200803681390667e-05
Position 1235: 5.8330775297424356e-05
Position 1003: 5.511766934818841e-05
Position 114: 4.781628905355141e-05
Position 883: 4.760362499145918e-05
Position 1612: 4.1552403499552e-05
Position 3056: 4.042293173943646e-05
Position 1631: 3.477294414020365e-05
Position 4096: 3.2077032009953185e-05
Position 1405: 3.10436940341853e-05
Position 2188: 2.831252905031271e-05
Position 3743: 2.7892989357933232e-05
Position 2435: 2.559531503898293e-05
Position 1314: 2.334438919957687e-05
Position 266: 2.1722532082158176e-05
Position 2628: 2.0640171110442224e-05
Position 1560: 2.0314741769705073e-05
Position 205: 1.725263290182881e-05
Position 2111: 1.681105092128311e-05
Position 2687: 1.6269154520207725e-05
Position 931: 1.538815637376002e-05
Position 240: 1.4813571905169576e-05
Position 2583: 1.2998121927556842e-05
Position 989: 1.012342898238067e-05
Position 1331: 9.833045865507006e-06
Position 1373: 9.153588959339355e-06
Position 734: 8.64538089768115e-06
Position 1670: 8.410847295855094e-06
Position 1169: 8.149556744728781e-06
Position 878: 6.551839869700122e-06
Position 804: 6.516029980654984e-06
Position 2131: 6.172475695891626e-06
Position 1064: 5.988472474585466e-06
Position 1221: 4.97635277151138e-06
Position 885: 4.707521132584684e-06
Position 3628: 4.65821252405267e-06
Position 429: 4.055577363926643e-06
Position 276: 3.867407660039241e-06
Position 1321: 3.721277105777979e-06
Position 402: 3.435974708231166e-06
Position 1925: 3.2307559745721113e-06
Position 936: 3.1554433093208694e-06
Position 245: 2.967028165706342e-06
Position 1318: 2.7753957094952997e-06
Position 5347: 2.2413619205496835e-06
Position 575: 2.1708709285703867e-06
Position 971: 2.1127571772628706e-06
Position 1179: 2.0790143722680113e-06
Position 809: 2.036548044646648e-06
