Gene = Colca2
index = 283
Annotated 5SS: [ 221  974 4689 6242]
Annotated 3SS: [ 878 4633 6011 7643]
SMsplice 5SS: [ 230  974 4689]
SMsplice 3SS: [ 878 4633 6011]
top_k =  1000
Partition function (log Z): -3.4684278261618333

Sorted 5' Splice Sites (High to Low Probability):
Position 974: 0.9883864295751686
Position 230: 0.8534762479477975
Position 4689: 0.6241436526429898
Position 6242: 0.44873001530205503
Position 7346: 0.21369316707732247
Position 1753: 0.1540609609000404
Position 3788: 0.13986535089311952
Position 3938: 0.13723141708337916
Position 2273: 0.09999155927217272
Position 221: 0.07824877285898477
Position 5113: 0.07564581189633639
Position 4814: 0.06325410250516415
Position 143: 0.050121331378533446
Position 420: 0.03749241394563306
Position 3755: 0.03627705163855246
Position 1597: 0.022600968721353906
Position 554: 0.018891707817375158
Position 4225: 0.01809405723574302
Position 4453: 0.015975100620527812
Position 7361: 0.015520191774138279
Position 3635: 0.009701006321157555
Position 331: 0.009598104751938874
Position 772: 0.007214905219603782
Position 7297: 0.007099707081514125
Position 6290: 0.007061344618461379
Position 1452: 0.0068496715515367085
Position 2869: 0.006150987678252018
Position 674: 0.005517611853344946
Position 4221: 0.005195753652589335
Position 5604: 0.004267103232695494
Position 425: 0.004069181738083449
Position 5196: 0.004045123217630532
Position 1245: 0.0039835058874760675
Position 1583: 0.0037824643158294253
Position 2840: 0.0034694595049683066
Position 7399: 0.0034282812586637623
Position 6325: 0.002857550196699885
Position 497: 0.00257179405875586
Position 678: 0.0021602907489294805
Position 4269: 0.0020751320155058383
Position 4353: 0.002004063497716971
Position 3078: 0.0017155058690042394
Position 6212: 0.0017048184161962692
Position 91: 0.001136895559525487
Position 6127: 0.0009395633530566691
Position 790: 0.0005547007694163472
Position 2998: 0.00014595241942282847
Position 376: 0.00014036024160090296
Position 4580: 0.0001235790035323292
Position 4693: 0.00011903221337896347
Position 1593: 0.00011155191980598456
Position 1111: 9.302157964886042e-05
Position 118: 8.169736909310097e-05
Position 559: 7.508724145187341e-05
Position 1575: 7.145322291648456e-05
Position 1518: 5.5263032817040056e-05
Position 1607: 5.441991401631428e-05
Position 690: 5.349857568232105e-05
Position 1603: 5.3450984710677424e-05
Position 225: 5.285542114139668e-05
Position 234: 5.1146686915867355e-05
Position 334: 5.100875514394138e-05
Position 2823: 4.823063167170472e-05
Position 1493: 4.783029224506504e-05
Position 2124: 4.681860794864644e-05
Position 821: 3.931248407582552e-05
Position 890: 3.1531238095427346e-05
Position 2609: 2.9409531821897524e-05
Position 646: 2.91924761122447e-05
Position 1952: 2.5032595304532483e-05
Position 616: 1.7780291988106137e-05
Position 2255: 1.728525970259575e-05
