Gene = Defb41
index = 330
Annotated 5SS: [55]
Annotated 3SS: [4413]
SMsplice 5SS: [227]
SMsplice 3SS: [4413]
top_k =  1000
Partition function (log Z): -8.464639672526898

Sorted 5' Splice Sites (High to Low Probability):
Position 227: 0.5819507286909742
Position 55: 0.40092136714715765
Position 2537: 0.16521949912960923
Position 2630: 0.0806792295324798
Position 2531: 0.0627773764448985
Position 2555: 0.05104850727375059
Position 592: 0.03417216512032515
Position 1595: 0.0217815933718712
Position 1807: 0.018798725579004354
Position 410: 0.01548007162802571
Position 249: 0.005713383513239129
Position 3604: 0.005684308302888139
Position 1208: 0.005664405783074989
Position 2216: 0.004757395405749052
Position 414: 0.0035614968494537837
Position 2621: 0.0031322808142810942
Position 1870: 0.0028936846345383885
Position 804: 0.0025273992693708096
Position 3816: 0.002454097979509149
Position 3700: 0.0021500875363260285
Position 4280: 0.0020850990506451695
Position 2546: 0.001496678083106495
Position 2418: 0.001409147352313996
Position 2604: 0.0013259193924239682
Position 2567: 0.0006267248364327687
Position 353: 0.0005735494996113988
Position 3149: 0.0005517889207461808
Position 815: 0.0005216929904937013
Position 472: 0.00048259256186876994
Position 1324: 0.0003887572221825731
Position 828: 0.000387834602406121
Position 2803: 0.00037606541370468734
Position 2875: 0.00036192822513729875
Position 2740: 0.0003447185139841681
Position 3545: 0.00022250109994556778
Position 2116: 0.00020959396832607487
Position 2503: 0.0001938057300802349
Position 88: 0.00014319797749692928
Position 4167: 0.00014245974552347455
Position 634: 0.00013702981690725413
Position 324: 0.00013635241002281476
Position 2090: 0.00010254818553726134
Position 1034: 7.663705964819286e-05
Position 2924: 7.658547680123224e-05
Position 2912: 7.372175005553746e-05
Position 731: 7.196533818064144e-05
Position 5: 7.159788409563039e-05
Position 2932: 6.766250864365236e-05
Position 841: 5.9964524314385986e-05
Position 3794: 5.340710739798095e-05
Position 839: 4.969572686555451e-05
Position 79: 4.628601661130214e-05
Position 1815: 3.726124610929295e-05
Position 1040: 2.8552288099910187e-05
Position 982: 2.805426878892121e-05
Position 761: 2.6877282855797202e-05
Position 208: 2.2274435440595972e-05
Position 2157: 2.1771885415753017e-05
Position 2331: 2.1249530824661475e-05
Position 1895: 1.6685210125196584e-05
Position 2350: 1.4952627038045668e-05
Position 972: 1.4684089354781062e-05
Position 596: 1.3307828507605166e-05
Position 111: 9.41799624750882e-06
Position 72: 1.0749624259529297e-06
Position 1431: 8.232769694404755e-07
Position 117: 7.980242670879273e-07
Position 397: 7.781043634988179e-07
Position 265: 6.152158711310958e-07
Position 357: 5.083585358628332e-07
Position 2679: 3.950283247697632e-07
Position 337: 2.869407205926619e-07
Position 514: 1.5394192280779917e-07
Position 121: 1.505341301849243e-07
Position 506: 1.4305455508215985e-07
