Gene = Ndufa3
index = 735
Annotated 5SS: [  35  319 2135]
Annotated 3SS: [ 243 2056 2627]
SMsplice 5SS: [ 127  319 2135]
SMsplice 3SS: [ 243 2056 2627]
top_k =  1000
Partition function (log Z): -2.170230853431834

Sorted 5' Splice Sites (High to Low Probability):
Position 2135: 0.9778484832182568
Position 319: 0.8818345765786972
Position 127: 0.49354056498099297
Position 35: 0.3130405400813715
Position 768: 0.2007089128330928
Position 967: 0.17629891444750206
Position 45: 0.07375274303063838
Position 1391: 0.037036197722410714
Position 599: 0.027606140863739345
Position 1905: 0.021698687996030322
Position 633: 0.011244656684084442
Position 67: 0.0055139224026044915
Position 458: 0.005073019188144362
Position 1342: 0.004610586545048201
Position 178: 0.004310065670252102
Position 165: 0.002740282833222322
Position 959: 0.002411200968851954
Position 2091: 0.0012367686620478084
Position 1360: 0.001223588159383865
Position 1003: 0.001121069464295579
Position 39: 0.001082729732095178
Position 134: 0.0008506987135718943
Position 1490: 0.0007982072243147942
Position 103: 0.0007024649058734247
Position 1395: 0.0006409181776499015
Position 1632: 0.0005956965042493483
Position 854: 0.0005741246890567692
Position 83: 0.0005216769073890272
Position 387: 0.0004376930383875643
Position 346: 0.0004132461440848223
Position 1954: 0.0003880023478465641
Position 2176: 0.00033908698483518383
Position 820: 0.00025298288183449856
Position 285: 0.0002529493143670671
Position 558: 0.0002511176390617434
Position 198: 0.000245950414933981
Position 772: 0.00023559399928517463
Position 430: 0.0002109759348392138
Position 1560: 0.00019736854562175357
Position 1364: 0.00017523579281988753
Position 662: 0.00017400057354342058
Position 220: 0.00016735095888922966
Position 365: 0.00014014523470461023
Position 1919: 0.00013178982237762262
Position 95: 0.00012268974144212066
Position 156: 0.00010620843759509832
Position 677: 8.152797316600543e-05
Position 484: 7.680934150977135e-05
Position 2399: 7.602209765620133e-05
Position 323: 7.527903402556995e-05
Position 606: 7.276925943443304e-05
Position 673: 7.242364644776567e-05
Position 2716: 6.221540824486939e-05
Position 801: 5.063035889685304e-05
Position 706: 4.8978176353945727e-05
Position 291: 4.7777348532123376e-05
Position 1910: 4.549823773200003e-05
Position 1083: 4.399307713298499e-05
Position 109: 3.632951817424852e-05
Position 70: 3.5769208528868736e-05
